dataset_name,file_path,file_type,size,modified_time,possible_content,usable_for_confidence_scoring,has_context_field,has_perturbation_field,has_control_treated,can_compute_true_effect,has_multi_context_proxy,suitable_heldout_context_proxy,suitable_pair_split_proxy,has_existing_split,has_prediction_result,obs_columns_preview
Afriat,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Afriat.h5ad,.h5ad,1.7GB,2026-04-17 15:43,genetic_single / RNA / n_obs=19053 / n_vars=5000,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"barcode,mouse,marker,time,infected,experiment,coarse_time,MB,eta,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,mt_qc,SUMPBA,n_counts,n_genes,mus_rRNA,pba_rRNA,pba_rRNA_fraction,nCount_PBA,nFeature_PBA,nCount_MUS,nFeature_MUS,RNA_snn_res.0.2,seurat_clusters,MBinfected,cluster_names,ide"
Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,.h5ad,565.5MB,2026-04-17 15:43,genetic_single / RNA / n_obs=9842 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"barcode,condition,cell_label,perturbation,cell_type,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,batch,iid_test"
KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,.h5ad,1.1GB,2026-04-17 15:43,genetic_single / RNA / n_obs=23653 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"library_id,plate_name,well,row,col,cell_id,donor_id,cell_type,sm_lincs_id,sm_name,SMILES,dose_uM,timepoint_hr,control,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,iid_test,condition1,condition2,batch"
KaggleCrossPatient,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,.h5ad,1.2GB,2026-04-17 15:43,genetic_single / RNA / n_obs=25583 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"library_id,plate_name,well,row,col,cell_id,donor_id,cell_type,sm_lincs_id,sm_name,SMILES,dose_uM,timepoint_hr,control,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,batch,iid_test"
McFarland,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/McFarland.h5ad,.h5ad,259.8MB,2026-04-17 15:43,genetic_single / RNA / n_obs=8464 / n_vars=5000,是-可直接构造effect task,True,True,True,True,False,False,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"DepMap_ID,cancer,cell_det_rate,cell_line,cell_quality,channel,disease,dose_unit,dose_value,doublet_CL1,doublet_CL2,doublet_GMM_prob,doublet_dev_imp,doublet_z_margin,hash_assignment,hash_tag,num_SNPs,organism,percent.mito,perturbation,perturbation_type,sex,singlet_ID,singlet_dev,singlet_dev_z,singlet"
Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,.h5ad,249.6MB,2026-04-17 15:43,genetic_single / RNA / n_obs=4346 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gene,media,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,iid_test,cell_type"
TCDD,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/TCDD.h5ad,.h5ad,2.4GB,2026-04-17 15:43,chemical_single / RNA / n_obs=103745 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"Dose,celltype,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,dose,iid_test"
crossPatient,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/crossPatient.h5ad,.h5ad,4.7GB,2026-04-17 15:44,genetic_single / RNA / n_obs=117363 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"GSM_ID,patient,patientBatch,treatment,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,batch,iid_test"
crossSpecies,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/crossSpecies.h5ad,.h5ad,3.3GB,2026-04-17 15:44,genetic_single / RNA / n_obs=112903 / n_vars=5000,是-可直接构造effect task,True,True,True,True,False,False,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"species,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,condition3,iid_test"
kangCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/kangCrossCell.h5ad,.h5ad,779.1MB,2026-04-17 15:44,genetic_single / RNA / n_obs=13576 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"orig.ident,nCount_RNA,nFeature_RNA,stim,seurat_annotations,integrated_snn_res.0.5,seurat_clusters,condition,cell_type,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,iid_test"
