file,columns,has_predictor_name,has_context,has_perturbation,has_true_error,has_predicted_risk,has_confidence,has_unsafe_flag,has_rmse
46_q1_cpu_push_20260520/results/SAFETY_TASK_METRICS.csv,"pearson, spearman, rmse, top20_overlap, deg_precision_top50, program_shift_consistency, phase, dataset, split_type, heldout, seed, n_train, n_tasks, model, task_id, confidence, unsafe_flag",True,False,False,True,True,True,True,True
46_q1_cpu_push_20260520/results/RISK_COVERAGE.csv,"coverage, abstention_rate, mean_confidence, rmse, top20_overlap, deg_precision_top50, n_kept, n_total, phase, dataset, split_type, heldout, seed, n_train, n_tasks, model",True,False,False,True,False,False,False,True
46_q1_cpu_push_20260520/results/SAFE_UNSAFE_CONTRAST.csv,"phase, dataset, split_type, heldout, seed, n_train, n_tasks, model, n_safe, n_unsafe, status, unsafe_minus_safe_rmse, safe_minus_unsafe_top20, safe_minus_unsafe_deg, safe_minus_unsafe_program",True,False,False,False,False,False,False,False
46_q1_cpu_push_20260520/results/SAFETY_SUMMARY.csv,"phase, dataset, split_type, model, n_runs, n_tasks_mean, pearson_mean, pearson_std, spearman_mean, spearman_std, rmse_mean, rmse_std, top20_overlap_mean, top20_overlap_std, deg_precision_top50_mean, deg_precision_top50_std, program_shift_consistency_mean, program_shift_consistency_std",True,False,False,False,False,False,False,True
46_q1_cpu_push_20260520/results/Q1_READINESS_REPORT.json,"json keys: results_dir, label, primary_model, checks, gaps, n_summary_rows, models_present",,,,,,,,
51_policy_calibrated_q1_20260520/results/SAFETY_TASK_METRICS.csv,"pearson, spearman, rmse, top20_overlap, deg_precision_top50, program_shift_consistency, phase, dataset, split_type, heldout, seed, n_train, n_tasks, model, task_id, confidence, unsafe_flag",True,False,False,True,True,True,True,True
51_policy_calibrated_q1_20260520/results/RISK_COVERAGE.csv,"coverage, abstention_rate, mean_confidence, rmse, top20_overlap, deg_precision_top50, n_kept, n_total, phase, dataset, split_type, heldout, seed, n_train, n_tasks, model",True,False,False,True,False,False,False,True
51_policy_calibrated_q1_20260520/results/SAFE_UNSAFE_CONTRAST.csv,"phase, dataset, split_type, heldout, seed, n_train, n_tasks, model, n_safe, n_unsafe, status, unsafe_minus_safe_rmse, safe_minus_unsafe_top20, safe_minus_unsafe_deg, safe_minus_unsafe_program",True,False,False,False,False,False,False,False
51_policy_calibrated_q1_20260520/results/SAFETY_SUMMARY.csv,"phase, dataset, split_type, model, n_runs, n_tasks_mean, pearson_mean, pearson_std, spearman_mean, spearman_std, rmse_mean, rmse_std, top20_overlap_mean, top20_overlap_std, deg_precision_top50_mean, deg_precision_top50_std, program_shift_consistency_mean, program_shift_consistency_std",True,False,False,False,False,False,False,True
51_policy_calibrated_q1_20260520/results/Q1_READINESS_REPORT.json,"json keys: results_dir, label, primary_model, checks, gaps, n_summary_rows, models_present",,,,,,,,
52_gpu_policy_fix_main_20260520/results/GPU_DEEP_TASK_METRICS.csv,"pearson, spearman, rmse, top20_overlap, deg_precision_top50, program_shift_consistency, phase, dataset, split_type, heldout, seed, n_train, n_tasks, device, v2_effect_blend, v2_effect_gain, v2_effect_has_gain, graft_blend, graft_top_k, graft_gain, graft_has_gain, deep_best_blend, deep_best_blend_objective, deep_unsafe_rate, deep_calibrated_transport_rate, deep_calibrated_gate_threshold, deep_calibrated_gate_val_loss, deep_calibrated_gate_gain, deep_epochs, model, task_id",True,False,False,True,False,False,False,True
52_gpu_policy_fix_main_20260520/results/GPU_DEEP_SUMMARY.csv,"phase, dataset, split_type, model, n_runs, n_tasks_mean, pearson_mean, pearson_std, spearman_mean, spearman_std, rmse_mean, rmse_std, top20_overlap_mean, top20_overlap_std, deg_precision_top50_mean, deg_precision_top50_std, program_shift_consistency_mean, program_shift_consistency_std",True,False,False,False,False,False,False,True
53_gpu_policy_fix_external_20260520/results/GPU_DEEP_TASK_METRICS.csv,"pearson, spearman, rmse, top20_overlap, deg_precision_top50, program_shift_consistency, phase, dataset, split_type, heldout, seed, n_train, n_tasks, device, v2_effect_blend, v2_effect_gain, v2_effect_has_gain, graft_blend, graft_top_k, graft_gain, graft_has_gain, deep_best_blend, deep_best_blend_objective, deep_unsafe_rate, deep_calibrated_transport_rate, deep_calibrated_gate_threshold, deep_calibrated_gate_val_loss, deep_calibrated_gate_gain, deep_epochs, model, task_id",True,False,False,True,False,False,False,True
53_gpu_policy_fix_external_20260520/results/GPU_DEEP_SUMMARY.csv,"phase, dataset, split_type, model, n_runs, n_tasks_mean, pearson_mean, pearson_std, spearman_mean, spearman_std, rmse_mean, rmse_std, top20_overlap_mean, top20_overlap_std, deg_precision_top50_mean, deg_precision_top50_std, program_shift_consistency_mean, program_shift_consistency_std",True,False,False,False,False,False,False,True
