cytokine_label,scgpt_token,mapping_rule,scgpt_vocab_id,eligible,selection_uses_effect_or_error
41BBL,,unmapped,,False,False
APRIL,,unmapped,,False,False
Adiponectin,,unmapped,,False,False
BAFF,,unmapped,,False,False
C3a,,unmapped,,False,False
C5a,,unmapped,,False,False
CD27L,,unmapped,,False,False
CD30L,,unmapped,,False,False
CD40L,,unmapped,,False,False
Cardiotrophin-1,,unmapped,,False,False
Decorin,,unmapped,,False,False
FGF-basic,,unmapped,,False,False
FasL,,unmapped,,False,False
Flt3l,,unmapped,,False,False
G-CSF,,unmapped,,False,False
GITRL,,unmapped,,False,False
GM-CSF,,unmapped,,False,False
IFNb,,unmapped,,False,False
IGF-I,,unmapped,,False,False
IL-Y,,unmapped,,False,False
IL12,,unmapped,,False,False
IL17E,,unmapped,,False,False
IL1ra,,unmapped,,False,False
IL23,,unmapped,,False,False
IL30,,unmapped,,False,False
IL36RA,,unmapped,,False,False
LIGHT,,unmapped,,False,False
LTA1-B2,,unmapped,,False,False
LTA2-B1,,unmapped,,False,False
Leptin,,unmapped,,False,False
M-CSF,,unmapped,,False,False
Neuropoietin,,unmapped,,False,False
Noggin,,unmapped,,False,False
OX40L,,unmapped,,False,False
Persephin,,unmapped,,False,False
Prolactin,,unmapped,,False,False
RANKL,,unmapped,,False,False
Resistin,,unmapped,,False,False
SCF,,unmapped,,False,False
TGF-beta-1,,unmapped,,False,False
TL1A,,unmapped,,False,False
TNFa,,unmapped,,False,False
TRAIL,,unmapped,,False,False
TWEAK,,unmapped,,False,False
VEGF,,unmapped,,False,False
