fold_id,setting,split,n_tasks,min_cells,median_cells
Cui_direct_context_holdout_1_Macrophage,context_and_perturbation_unseen,test,9,100,100.0
Cui_direct_context_holdout_1_Macrophage,context_unseen_row,test,32,97,100.0
Cui_direct_context_holdout_1_Macrophage,perturbation_unseen_column,test,45,100,100.0
Cui_direct_context_holdout_1_Macrophage,random_missing_pair,test,16,100,100.0
Cui_direct_context_holdout_1_Macrophage,source_train_pair,train,128,100,100.0
Cui_direct_context_holdout_1_Macrophage,source_validation_pair,val,16,100,100.0
Cui_direct_context_holdout_2_MigDC,context_and_perturbation_unseen,test,9,100,100.0
Cui_direct_context_holdout_2_MigDC,context_unseen_row,test,32,100,100.0
Cui_direct_context_holdout_2_MigDC,perturbation_unseen_column,test,45,97,100.0
Cui_direct_context_holdout_2_MigDC,random_missing_pair,test,16,100,100.0
Cui_direct_context_holdout_2_MigDC,source_train_pair,train,128,100,100.0
Cui_direct_context_holdout_2_MigDC,source_validation_pair,val,16,100,100.0
Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,test,9,100,100.0
Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,test,32,100,100.0
Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,test,45,100,100.0
Cui_direct_context_holdout_3_T_cell_CD4,random_missing_pair,test,16,100,100.0
Cui_direct_context_holdout_3_T_cell_CD4,source_train_pair,train,128,97,100.0
Cui_direct_context_holdout_3_T_cell_CD4,source_validation_pair,val,16,100,100.0
Cui_direct_context_holdout_4_T_cell_CD8,context_and_perturbation_unseen,test,9,100,100.0
Cui_direct_context_holdout_4_T_cell_CD8,context_unseen_row,test,32,100,100.0
Cui_direct_context_holdout_4_T_cell_CD8,perturbation_unseen_column,test,45,100,100.0
Cui_direct_context_holdout_4_T_cell_CD8,random_missing_pair,test,16,97,100.0
Cui_direct_context_holdout_4_T_cell_CD8,source_train_pair,train,128,100,100.0
Cui_direct_context_holdout_4_T_cell_CD8,source_validation_pair,val,16,100,100.0
Cui_direct_context_holdout_5_T_cell_gd,context_and_perturbation_unseen,test,9,100,100.0
Cui_direct_context_holdout_5_T_cell_gd,context_unseen_row,test,32,100,100.0
Cui_direct_context_holdout_5_T_cell_gd,perturbation_unseen_column,test,45,100,100.0
Cui_direct_context_holdout_5_T_cell_gd,random_missing_pair,test,16,97,100.0
Cui_direct_context_holdout_5_T_cell_gd,source_train_pair,train,128,100,100.0
Cui_direct_context_holdout_5_T_cell_gd,source_validation_pair,val,16,100,100.0
Cui_direct_context_holdout_6_Treg,context_and_perturbation_unseen,test,9,100,100.0
Cui_direct_context_holdout_6_Treg,context_unseen_row,test,32,100,100.0
Cui_direct_context_holdout_6_Treg,perturbation_unseen_column,test,45,100,100.0
Cui_direct_context_holdout_6_Treg,random_missing_pair,test,16,100,100.0
Cui_direct_context_holdout_6_Treg,source_train_pair,train,128,97,100.0
Cui_direct_context_holdout_6_Treg,source_validation_pair,val,16,100,100.0
