raw_gene,scgpt_token
Ash1l,ASH1L
Brd9,BRD9
Carm1,CARM1
Cbx3,CBX3
Cebpa,CEBPA
Chd4,CHD4
Crebbp,CREBBP
Ehmt1,EHMT1
Ehmt2,EHMT2
Ezh2,EZH2
Bicra,BICRA
Hdac1,HDAC1
Hmgxb4,HMGXB4
Kdm6a,KDM6A
Kmt2a,KMT2A
Kmt2d,KMT2D
Mbd2,MBD2
Mbd3,MBD3
Men1,MEN1
Phf10,PHF10
Prmt1,PRMT1
Prmt5,PRMT5
Rbbp4,RBBP4
Rcor1,RCOR1
Setdb1,SETDB1
Setdb2,SETDB2
Smarcd1,SMARCD1
Smarcd2,SMARCD2
Smc2,SMC2
Spi1,SPI1
Stag2,STAG2
Rps8,RPS8
Rps12,RPS12
mt-Co3,MT-CO3
mt-Atp6,MT-ATP6
mt-Co1,MT-CO1
Rplp1,RPLP1
Rps20,RPS20
Rpl13,RPL13
Rpl32,RPL32
Tmsb4x,TMSB4X
mt-Co2,MT-CO2
Rpl23,RPL23
Rps27a,RPS27A
Rps24,RPS24
Rpsa,RPSA
Rpl41,RPL41
Rps2,RPS2
Rpl27a,RPL27A
Rps16,RPS16
Rpl28,RPL28
Eef1a1,EEF1A1
Rps18,RPS18
Rps29,RPS29
Rps23,RPS23
Rps14,RPS14
Ptma,PTMA
Rpl12,RPL12
Fau,FAU
Rps10,RPS10
Rps15a,RPS15A
Rpl26,RPL26
Rps19,RPS19
Rpl35a,RPL35A
Rpl39,RPL39
Rps11,RPS11
Tpt1,TPT1
Rpl18a,RPL18A
Rpl19,RPL19
Rpl30,RPL30
Rplp0,RPLP0
Rpl11,RPL11
Rps7,RPS7
Hsp90ab1,HSP90AB1
Rpl37a,RPL37A
Rps4x,RPS4X
Rps28,RPS28
Rps5,RPS5
Rpl34,RPL34
Rpl37,RPL37
Rps21,RPS21
Rpl8,RPL8
Rpl15,RPL15
Rps13,RPS13
Rplp2,RPLP2
Rps9,RPS9
Rpl6,RPL6
Rps3,RPS3
Ppia,PPIA
Rps25,RPS25
Malat1,MALAT1
Rpl18,RPL18
Rpl17,RPL17
Actb,ACTB
Rps17,RPS17
