fold_id,task_id,split,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,training_support_count,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,safeconf_frozen_pair_risk,safeconf_calibrated_pair_risk,test_truth_used_for_score_or_threshold,dataset,error_scgpt_rmse,error_gears_rmse,error_two_predictor_mean_rmse,error_two_predictor_max_rmse
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Arvcf,test,context_and_perturbation_unseen,Interneurons_Sst_Pvalb,Arvcf,0.033334664380167106,0.015904901549220085,0.594468290822921,0,1.0,-0.622050957955868,-0.5602137764019042,0.972417332867053,0.05856174926938046,False,Santinha,0.04638476724240114,0.041289616134814515,0.04383719168860783,0.04638476724240114
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Dgcr14,test,context_and_perturbation_unseen,Interneurons_Sst_Pvalb,Dgcr14,0.03278709974546815,0.015423822216689587,0.594468290822921,0,1.0,-0.8931943283100837,-1.1448057824245332,0.7012739625128372,0.05856174926938046,False,Santinha,0.10126146445588893,0.09991540322238603,0.10058843383913749,0.10126146445588893
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Dgcr6,test,context_and_perturbation_unseen,Interneurons_Sst_Pvalb,Dgcr6,0.03353281384634272,0.015773603692650795,0.594468290822921,0,1.0,-0.5239311914697011,-0.7197626744070929,1.0705370993532197,0.05856174926938046,False,Santinha,0.05046791978796733,0.05229608895739892,0.05138200437268313,0.05229608895739892
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Pi4ka,test,context_and_perturbation_unseen,Interneurons_Sst_Pvalb,Pi4ka,0.03305202048821127,0.01602204144001007,0.594468290822921,0,1.0,-0.7620107227370106,-0.41786917934348017,0.8324575680859103,0.05856174926938046,False,Santinha,0.043142250884496344,0.04151791650924965,0.042330083696872994,0.043142250884496344
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Rimbp3,test,context_and_perturbation_unseen,Interneurons_Sst_Pvalb,Rimbp3,0.03532365337331268,0.017092665657401085,0.594468290822921,0,1.0,0.36285775422828015,0.8831186549267478,1.9573260450512011,0.05856174926938046,False,Santinha,0.053195147791859076,0.05159186641732722,0.052393507104593146,0.053195147791859076
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Ccdc74a,test,context_unseen_row,Interneurons_Sst_Pvalb,Ccdc74a,0.03265100769402545,0.01593012362718582,0.594468290822921,4,0.2,-0.9605844685204372,-0.5295647250770601,-0.16611617769751624,0.05071686329395958,False,Santinha,0.044112805760942446,0.04065925008642965,0.04238602792368605,0.044112805760942446
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Comt,test,context_unseen_row,Interneurons_Sst_Pvalb,Comt,0.031017603961156607,0.015706580132246017,0.594468290822921,3,0.25,-1.769414267257733,-0.801207531789994,-0.9249459764348122,0.05071686329395958,False,Santinha,0.045888962255922525,0.04043536076488184,0.04316216151040218,0.045888962255922525
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Crkl,test,context_unseen_row,Interneurons_Sst_Pvalb,Crkl,0.033999895281038243,0.01624821498990059,0.594468290822921,3,0.25,-0.2926415383260942,-0.14303041513326545,0.5518267524968268,0.05071686329395958,False,Santinha,0.045409826686238844,0.040494105380227276,0.04295196603323306,0.045409826686238844
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Dgcr2,test,context_unseen_row,Interneurons_Sst_Pvalb,Dgcr2,0.03509023803819947,0.01678484119474888,0.594468290822921,4,0.2,0.24727501450340403,0.5090603490374942,1.041743305326325,0.05071686329395958,False,Santinha,0.04345724690575473,0.04061059902703064,0.04203392296639269,0.04345724690575473
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Dgcr8,test,context_unseen_row,Interneurons_Sst_Pvalb,Dgcr8,0.0352967359795015,0.01677381992340088,0.594468290822921,3,0.25,0.34952878369838547,0.49566765745717495,1.1939970745213064,0.05071686329395958,False,Santinha,0.051849663811382854,0.049753220949806935,0.05080144238059489,0.051849663811382854
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Hic2,test,context_unseen_row,Interneurons_Sst_Pvalb,Hic2,0.036871352498696074,0.01782916858792305,0.594468290822921,2,0.3333333333333333,1.1292482961986243,1.778093135186893,2.0570499203548787,0.051178327174866686,False,Santinha,0.04291743107015061,0.04007416915559037,0.04149580011287049,0.04291743107015061
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Lztr1,test,context_unseen_row,Interneurons_Sst_Pvalb,Lztr1,0.03277460723441148,0.015626555308699608,0.594468290822921,2,0.3333333333333333,-0.8993803771113466,-0.8984511025801334,0.028421247044907727,0.051178327174866686,False,Santinha,0.04503361165597033,0.044115713197889775,0.04457466242693005,0.04503361165597033
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Med15,test,context_unseen_row,Interneurons_Sst_Pvalb,Med15,0.035054017667558966,0.016385171562433243,0.594468290822921,3,0.25,0.22933939056314762,0.023394771028254078,1.0738076813860686,0.05071686329395958,False,Santinha,0.04728585735568165,0.042978204590521714,0.045132030973101686,0.04728585735568165
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Mrpl40,test,context_unseen_row,Interneurons_Sst_Pvalb,Mrpl40,0.03686751403015111,0.01670438051223755,0.594468290822921,3,0.25,1.1273475611395516,0.4112871365657942,1.9718158519624724,0.05071686329395958,False,Santinha,0.049254173119190545,0.05374598615779822,0.051500079638494387,0.05374598615779822
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Ranbp1,test,context_unseen_row,Interneurons_Sst_Pvalb,Ranbp1,0.03151085403173668,0.015990059822797775,0.594468290822921,3,0.25,-1.5251664139644576,-0.45673220358449435,-0.6806981231415367,0.05071686329395958,False,Santinha,0.057110277896830534,0.05229683462196882,0.054703556259399676,0.057110277896830534
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Scarf2,test,context_unseen_row,Interneurons_Sst_Pvalb,Scarf2,0.03493015355268131,0.01620374247431755,0.594468290822921,2,0.3333333333333333,0.16800428700531014,-0.19707197406037402,1.0958059111615643,0.051178327174866686,False,Santinha,0.049642014312705304,0.044725081197594725,0.04718354775515002,0.049642014312705304
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Slc25a1,test,context_unseen_row,Interneurons_Sst_Pvalb,Slc25a1,0.034498542564245796,0.016938591375947,0.594468290822921,2,0.3333333333333333,-0.045721090183559424,0.6958925839210279,0.8820805339726949,0.051178327174866686,False,Santinha,0.048933891583971094,0.044291134881084784,0.046612513232527936,0.048933891583971094
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Snap29,test,context_unseen_row,Interneurons_Sst_Pvalb,Snap29,0.03197134260067579,0.015493863262236118,0.594468290822921,3,0.25,-1.2971414198733309,-1.0596941749385194,-0.4526731290504099,0.05071686329395958,False,Santinha,0.046453757280551775,0.03938898496369686,0.04292137112212432,0.046453757280551775
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Tango2,test,context_unseen_row,Interneurons_Sst_Pvalb,Tango2,0.0387804332413126,0.02061457931995392,0.594468290822921,4,0.2,2.074587994983161,5.0,2.869056285806082,0.05071686329395958,False,Santinha,0.047885866868156136,0.05051048856350322,0.04919817771582968,0.05051048856350322
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb::Tmem191c,test,context_unseen_row,Interneurons_Sst_Pvalb,Tmem191c,0.034083093336992935,0.016825813800096512,0.594468290822921,4,0.2,-0.25144347718601284,0.5588489305301901,0.5430248136369081,0.05071686329395958,False,Santinha,0.04468149748735433,0.03984745274130626,0.04226447511433029,0.04468149748735433
