dataset,context,n_tasks,mean_safeconf_risk,mean_gears_error,mean_scgpt_error,mean_gears_excess_error,biological_context,gears_error_rank_within_dataset,gears_excess_rank_within_dataset
Frangieh,Co-culture,282,0.061875312299681115,0.053696232388546664,0.04933132929663853,0.0043649030919081224,肿瘤细胞与免疫细胞共培养状态,3.0,1.0
Frangieh,IFNγ,285,0.06590955206805213,0.05760372194738872,0.05329135328507006,0.004312368662318657,干扰素-γ刺激状态,2.0,2.0
Frangieh,Control,270,0.06490602404374164,0.05855973343691711,0.05524922737056903,0.0033105060663480776,未额外刺激的基线状态,1.0,3.0
Lara_exvivo,GMP (late),68,0.09416141444251275,0.13613682498677765,0.13777238449585075,-0.0016355595090731029,较晚期粒细胞-单核细胞祖细胞,1.0,1.0
Lara_exvivo,GMP,68,0.09860448358522697,0.09467971049556234,0.09873304103587549,-0.004053330540313151,粒细胞-单核细胞祖细胞,3.0,2.0
Lara_exvivo,HSC,69,0.09876011439833939,0.08416837371132571,0.09194018669542586,-0.007771812984100148,造血干细胞,5.0,3.0
Lara_exvivo,MkP,68,0.08628839939479338,0.10025841099435147,0.10831340109140196,-0.008054990097050501,巨核细胞祖细胞,2.0,4.0
Lara_exvivo,EBMP,72,0.08830191833138717,0.08837836905237673,0.10035312956427636,-0.01197476051189964,红系/嗜碱/巨核祖细胞群,4.0,5.0
Santinha,Neurons_L_5,52,0.04932626558416184,0.04226710098478329,0.04167631037498168,0.0005907906098016135,皮层第 5 层神经元,4.0,1.0
Santinha,Neurons_L_2_3,49,0.054099568733290075,0.04224306642748627,0.041843427359480274,0.000399639068005996,皮层第 2/3 层神经元,5.0,2.0
Santinha,Neurons_L_6,52,0.05508794194192578,0.05428545319022366,0.05607602473554329,-0.0017905715453196249,皮层第 6 层神经元,2.0,3.0
Santinha,Interneurons_Sst_Pvalb,51,0.05266524316254737,0.04605761808526624,0.04837616472622977,-0.002318546640963535,Sst/Pvalb 类中间神经元,3.0,4.0
Santinha,Interneurons_Vip_Adarb2,51,0.0511201699076031,0.07504115632762774,0.0787663793604389,-0.0037252230328111537,Vip/Adarb2 类中间神经元,1.0,5.0
