dataset,modality,fold_id,heldout_context,source_contexts,split,setting,context,patient,tcr_state,perturbation,n_cells,perturbation_seen_in_training,context_seen_in_training,selected_without_expression,in_train_fraction_25,in_train_fraction_50,in_train_fraction_75,in_train_fraction_100
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_nostim,D1,nostim,CD3D,203,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_nostim,D1,nostim,DGKA,454,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_nostim,D1,nostim,DGKZ,222,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_nostim,D1,nostim,LCP2,247,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_nostim,D1,nostim,PDCD1,348,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,ARID1A,112,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,BTLA,310,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,C10orf54,213,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,CBLB,279,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,CD5,197,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,CDKN1B,139,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,HAVCR2,347,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,LAG3,188,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,MEF2D,233,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,RASA2,161,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,SOCS1,182,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,STAT6,131,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,TCEB2,185,True,False,True,False,False,False,False
