raw_gene,scgpt_token
ARID1A,ARID1A
BTLA,BTLA
C10orf54,VSIR
CBLB,CBLB
CD3D,CD3D
CD5,CD5
CDKN1B,CDKN1B
DGKA,DGKA
DGKZ,DGKZ
HAVCR2,HAVCR2
LAG3,LAG3
LCP2,LCP2
MEF2D,MEF2D
PDCD1,PDCD1
RASA2,RASA2
SOCS1,SOCS1
STAT6,STAT6
TCEB2,ELOB
TMEM222,TMEM222
TNFRSF9,TNFRSF9
TMSB4X,TMSB4X
MALAT1,MALAT1
B2M,B2M
RPL13A,RPL13A
RPLP1,RPLP1
RPL10,RPL10
EEF1A1,EEF1A1
RPS2,RPS2
RPL13,RPL13
MT-CO1,MT-CO1
RPS18,RPS18
RPS4X,RPS4X
RPS19,RPS19
RPS15A,RPS15A
TMSB10,TMSB10
RPS3,RPS3
RPS14,RPS14
RPS12,RPS12
RPL21,RPL21
RPL28,RPL28
MT-CO3,MT-CO3
RPS27A,RPS27A
RPS6,RPS6
RPL19,RPL19
RPS23,RPS23
RPL27A,RPL27A
RPL11,RPL11
RPLP2,RPLP2
RPS8,RPS8
RPS3A,RPS3A
RPL18A,RPL18A
RPL32,RPL32
RPS27,RPS27
RPL15,RPL15
RPS15,RPS15
RPL23A,RPL23A
RPL3,RPL3
RPL7,RPL7
TPT1,TPT1
ACTB,ACTB
RPL26,RPL26
RPL34,RPL34
MT-CO2,MT-CO2
RPL41,RPL41
RPS16,RPS16
RPS24,RPS24
RPL12,RPL12
FTL,FTL
RPL14,RPL14
RPL18,RPL18
RPSA,RPSA
RPL29,RPL29
GAPDH,GAPDH
RPS25,RPS25
RPS17,RPS17
RPS28,RPS28
RPS20,RPS20
RPS13,RPS13
RPL30,RPL30
RPL39,RPL39
RPL9,RPL9
MT-ND4,MT-ND4
RPLP0,RPLP0
RPL7A,RPL7A
RPL31,RPL31
PTMA,PTMA
RPS7,RPS7
RPL35A,RPL35A
RPL6,RPL6
RPL8,RPL8
RPL10A,RPL10A
RPS5,RPS5
RPS9,RPS9
RPL5,RPL5
HLA-B,HLA-B
HLA-A,HLA-A
ACTG1,ACTG1
RPL37,RPL37
RPS11,RPS11
RPS29,RPS29
FAU,FAU
CD52,CD52
RPL35,RPL35
UBA52,UBA52
RPL36,RPL36
RPL24,RPL24
RPL27,RPL27
RPL4,RPL4
MT-ATP6,MT-ATP6
RPL37A,RPL37A
MT-CYB,MT-CYB
PFN1,PFN1
MT-ND1,MT-ND1
HLA-C,HLA-C
NACA,NACA
S100A4,S100A4
RPS26,RPS26
RPL23,RPL23
BTF3,BTF3
NPM1,NPM1
CCL5,CCL5
EIF1,EIF1
TRAC,TRAC
SERF2,SERF2
RPL22,RPL22
HNRNPA1,HNRNPA1
MT-ND2,MT-ND2
RPS21,RPS21
HINT1,HINT1
FTH1,FTH1
LDHB,LDHB
EEF1B2,EEF1B2
SH3BGRL3,SH3BGRL3
YBX1,YBX1
CFL1,CFL1
EEF2,EEF2
IL32,IL32
HMGB1,HMGB1
CORO1A,CORO1A
MYL6,MYL6
COX4I1,COX4I1
ARPC2,ARPC2
S100A6,S100A6
OAZ1,OAZ1
ARHGDIB,ARHGDIB
RPS10,RPS10
SLC25A6,SLC25A6
PPIA,PPIA
RPL38,RPL38
EEF1D,EEF1D
RPL36AL,RPL36AL
MYL12A,MYL12A
COX7C,COX7C
SRP14,SRP14
PTPRC,PTPRC
VIM,VIM
LIMD2,LIMD2
UQCRB,UQCRB
CHCHD2,CHCHD2
NAP1L1,NAP1L1
PABPC1,PABPC1
LGALS1,LGALS1
PFDN5,PFDN5
CD74,CD74
GMFG,GMFG
MT-ND3,MT-ND3
ARPC1B,ARPC1B
UBB,UBB
TMA7,TMA7
BTG1,BTG1
NEAT1,NEAT1
LTB,LTB
COTL1,COTL1
CALM1,CALM1
ARPC3,ARPC3
CYBA,CYBA
SUMO2,SUMO2
HLA-E,HLA-E
ENO1,ENO1
CD2,CD2
OST4,OST4
SARAF,SARAF
HSP90AA1,HSP90AA1
HSPA8,HSPA8
TPI1,TPI1
GYPC,GYPC
CLIC1,CLIC1
MT-ND5,MT-ND5
LAPTM5,LAPTM5
EIF3F,EIF3F
UQCRH,UQCRH
EIF3E,EIF3E
ALDOA,ALDOA
TOMM7,TOMM7
RPL36A,RPL36A
SUB1,SUB1
COX7A2,COX7A2
COX6B1,COX6B1
SNRPD2,SNRPD2
LCK,LCK
RAC2,RAC2
PARK7,PARK7
EIF3H,EIF3H
EVL,EVL
SLC25A5,SLC25A5
EIF3K,EIF3K
HMGN2,HMGN2
FXYD5,FXYD5
ANP32B,ANP32B
HMGN1,HMGN1
COX6C,COX6C
HNRNPA2B1,HNRNPA2B1
NDUFA4,NDUFA4
RGS10,RGS10
S100A10,S100A10
RAN,RAN
GPX4,GPX4
GPSM3,GPSM3
DBI,DBI
UBC,UBC
ARPC5,ARPC5
TRBC2,TRBC2
ITM2B,ITM2B
SLC25A3,SLC25A3
