fold_id,setting,split,n_tasks,min_cells,median_cells
Liang_context_holdout_1_DM2_1,context_and_perturbation_unseen,test,5,82,93.0
Liang_context_holdout_1_DM2_1,context_unseen_row,test,13,45,118.0
Liang_context_holdout_1_DM2_1,perturbation_unseen_column,test,40,31,74.5
Liang_context_holdout_1_DM2_1,random_missing_pair,test,10,39,100.0
Liang_context_holdout_1_DM2_1,source_train_pair,train,84,30,99.5
Liang_context_holdout_1_DM2_1,source_validation_pair,val,10,37,89.5
Liang_context_holdout_2_DM2_2,context_and_perturbation_unseen,test,5,79,141.0
Liang_context_holdout_2_DM2_2,context_unseen_row,test,13,54,83.0
Liang_context_holdout_2_DM2_2,perturbation_unseen_column,test,40,39,122.5
Liang_context_holdout_2_DM2_2,random_missing_pair,test,10,37,108.5
Liang_context_holdout_2_DM2_2,source_train_pair,train,84,30,85.5
Liang_context_holdout_2_DM2_2,source_validation_pair,val,10,56,104.0
Liang_context_holdout_3_DM2_3,context_and_perturbation_unseen,test,5,34,88.0
Liang_context_holdout_3_DM2_3,context_unseen_row,test,13,56,77.0
Liang_context_holdout_3_DM2_3,perturbation_unseen_column,test,40,30,99.5
Liang_context_holdout_3_DM2_3,random_missing_pair,test,10,59,78.0
Liang_context_holdout_3_DM2_3,source_train_pair,train,84,31,93.5
Liang_context_holdout_3_DM2_3,source_validation_pair,val,10,83,100.0
Liang_context_holdout_4_DM2_4,context_and_perturbation_unseen,test,5,80,85.0
Liang_context_holdout_4_DM2_4,context_unseen_row,test,13,59,90.0
Liang_context_holdout_4_DM2_4,perturbation_unseen_column,test,40,31,92.0
Liang_context_holdout_4_DM2_4,random_missing_pair,test,10,38,115.5
Liang_context_holdout_4_DM2_4,source_train_pair,train,84,30,90.5
Liang_context_holdout_4_DM2_4,source_validation_pair,val,10,50,115.5
Liang_context_holdout_5_DM2_5,context_and_perturbation_unseen,test,5,70,105.0
Liang_context_holdout_5_DM2_5,context_unseen_row,test,13,42,94.0
Liang_context_holdout_5_DM2_5,perturbation_unseen_column,test,40,30,92.0
Liang_context_holdout_5_DM2_5,random_missing_pair,test,10,50,108.5
Liang_context_holdout_5_DM2_5,source_train_pair,train,84,32,90.0
Liang_context_holdout_5_DM2_5,source_validation_pair,val,10,51,101.5
Liang_context_holdout_6_DM2_6,context_and_perturbation_unseen,test,5,93,110.0
Liang_context_holdout_6_DM2_6,context_unseen_row,test,13,51,85.0
Liang_context_holdout_6_DM2_6,perturbation_unseen_column,test,40,30,114.0
Liang_context_holdout_6_DM2_6,random_missing_pair,test,10,45,87.5
Liang_context_holdout_6_DM2_6,source_train_pair,train,84,31,82.5
Liang_context_holdout_6_DM2_6,source_validation_pair,val,10,59,127.5
Liang_context_holdout_7_EM2_1,context_and_perturbation_unseen,test,5,66,154.0
Liang_context_holdout_7_EM2_1,context_unseen_row,test,13,56,104.0
Liang_context_holdout_7_EM2_1,perturbation_unseen_column,test,40,37,100.0
Liang_context_holdout_7_EM2_1,random_missing_pair,test,10,38,102.5
Liang_context_holdout_7_EM2_1,source_train_pair,train,84,30,88.5
Liang_context_holdout_7_EM2_1,source_validation_pair,val,10,34,90.5
Liang_context_holdout_8_EM2_2,context_and_perturbation_unseen,test,5,37,39.0
Liang_context_holdout_8_EM2_2,context_unseen_row,test,13,30,50.0
Liang_context_holdout_8_EM2_2,perturbation_unseen_column,test,40,34,119.0
Liang_context_holdout_8_EM2_2,random_missing_pair,test,10,63,98.5
Liang_context_holdout_8_EM2_2,source_train_pair,train,84,51,92.0
Liang_context_holdout_8_EM2_2,source_validation_pair,val,10,56,86.0
Liang_context_holdout_9_EM2_3,context_and_perturbation_unseen,test,5,59,117.0
Liang_context_holdout_9_EM2_3,context_unseen_row,test,13,60,124.0
Liang_context_holdout_9_EM2_3,perturbation_unseen_column,test,40,34,92.0
Liang_context_holdout_9_EM2_3,random_missing_pair,test,10,51,87.0
Liang_context_holdout_9_EM2_3,source_train_pair,train,84,30,90.0
Liang_context_holdout_9_EM2_3,source_validation_pair,val,10,32,101.5
