dataset_name,fold_id,n_tasks_total,n_candidate_test_pairs,n_skipped_candidate_pairs,n_train,n_val,n_test,n_contexts,n_perturbations,support_check_pass,support_errors,n_folds
kangCrossCell,0,8,0,0,7,1,0,8,1,True,,1
kangCrossPatient,0,8,0,0,7,1,0,8,1,True,,1
KaggleCrossPatient,0,40,40,0,27,5,8,6,10,True,,5
KaggleCrossPatient,1,40,40,0,27,5,8,6,10,True,,5
KaggleCrossPatient,2,40,40,0,27,5,8,6,10,True,,5
KaggleCrossPatient,3,40,40,0,27,5,8,6,10,True,,5
KaggleCrossPatient,4,40,40,0,27,5,8,6,10,True,,5
crossPatient,0,10,8,0,6,1,3,6,2,True,,3
crossPatient,1,10,8,0,7,1,2,6,2,True,,3
crossPatient,2,10,8,0,6,1,3,6,2,True,,3
TCDD,0,6,0,0,5,1,0,6,1,True,,1
sciplex3,0,106,106,0,72,13,21,3,36,True,,5
sciplex3,1,106,106,0,72,13,21,3,36,True,,5
sciplex3,2,106,106,0,72,13,21,3,36,True,,5
sciplex3,3,106,106,0,72,13,21,3,36,True,,5
sciplex3,4,106,106,0,71,13,22,3,36,True,,5
