dataset_name,fold_id,predictor_name,status,error,n_eval
kangCrossCell,0,V0StrongBaseline,ok,,8
kangCrossCell,0,ContextSimBaseline,ok,,8
kangCrossPatient,0,V0StrongBaseline,ok,,8
kangCrossPatient,0,ContextSimBaseline,ok,,8
KaggleCrossPatient,0,V0StrongBaseline,ok,,40
KaggleCrossPatient,0,ContextSimBaseline,ok,,40
KaggleCrossPatient,1,V0StrongBaseline,ok,,40
KaggleCrossPatient,1,ContextSimBaseline,ok,,40
KaggleCrossPatient,2,V0StrongBaseline,ok,,40
KaggleCrossPatient,2,ContextSimBaseline,ok,,40
KaggleCrossPatient,3,V0StrongBaseline,ok,,40
KaggleCrossPatient,3,ContextSimBaseline,ok,,40
KaggleCrossPatient,4,V0StrongBaseline,ok,,40
KaggleCrossPatient,4,ContextSimBaseline,ok,,40
crossPatient,0,V0StrongBaseline,ok,,10
crossPatient,0,ContextSimBaseline,ok,,10
crossPatient,1,V0StrongBaseline,ok,,10
crossPatient,1,ContextSimBaseline,ok,,10
crossPatient,2,V0StrongBaseline,ok,,10
crossPatient,2,ContextSimBaseline,ok,,10
TCDD,0,V0StrongBaseline,ok,,6
TCDD,0,ContextSimBaseline,ok,,6
sciplex3,0,V0StrongBaseline,ok,,106
sciplex3,0,ContextSimBaseline,ok,,106
sciplex3,1,V0StrongBaseline,ok,,106
sciplex3,1,ContextSimBaseline,ok,,106
sciplex3,2,V0StrongBaseline,ok,,106
sciplex3,2,ContextSimBaseline,ok,,106
sciplex3,3,V0StrongBaseline,ok,,106
sciplex3,3,ContextSimBaseline,ok,,106
sciplex3,4,V0StrongBaseline,ok,,106
sciplex3,4,ContextSimBaseline,ok,,106
