dataset_name,perturbation,score_name,score_type,mean_score,mean_rmse,n
KaggleCrossPatient,AT13387,learned_risk_score,risk,0.047335808156713316,0.14490379081723334,4
KaggleCrossPatient,AT13387,simple_combined_confidence,confidence,-0.3825382822064428,0.14490379081723334,4
KaggleCrossPatient,CEP18770,learned_risk_score,risk,0.04750776499565293,0.06873799443537089,4
KaggleCrossPatient,CEP18770,simple_combined_confidence,confidence,-0.6067840731851617,0.06873799443537089,4
KaggleCrossPatient,CHIR99021,learned_risk_score,risk,0.047357819003607575,0.04923355606111902,12
KaggleCrossPatient,CHIR99021,simple_combined_confidence,confidence,1.3555233352048235,0.04923355606111902,12
KaggleCrossPatient,Ganetespib,learned_risk_score,risk,0.04496033906820788,0.1463799968276961,4
KaggleCrossPatient,Ganetespib,simple_combined_confidence,confidence,-1.4471029946459366,0.1463799968276961,4
KaggleCrossPatient,LDN,learned_risk_score,risk,0.04570296840404465,0.04282662019556177,12
KaggleCrossPatient,LDN,simple_combined_confidence,confidence,1.1305544362165962,0.04282662019556177,12
KaggleCrossPatient,Linagliptin,learned_risk_score,risk,0.048283925861579834,0.04747599971589015,12
KaggleCrossPatient,Linagliptin,simple_combined_confidence,confidence,1.7690561997344796,0.04747599971589015,12
KaggleCrossPatient,MLN,learned_risk_score,risk,0.047360183914657794,0.06875249376248971,4
KaggleCrossPatient,MLN,simple_combined_confidence,confidence,-0.020747819342544715,0.06875249376248971,4
KaggleCrossPatient,Oprozomib,learned_risk_score,risk,0.044943058043414065,0.1082381313471647,4
KaggleCrossPatient,Oprozomib,simple_combined_confidence,confidence,-2.2335093154242234,0.1082381313471647,4
KaggleCrossPatient,Palbociclib,learned_risk_score,risk,0.047395492014076744,0.050090389817459356,12
KaggleCrossPatient,Palbociclib,simple_combined_confidence,confidence,1.0507776572307073,0.050090389817459356,12
KaggleCrossPatient,Penfluridol,learned_risk_score,risk,0.04658978339032883,0.048009849564910854,12
KaggleCrossPatient,Penfluridol,simple_combined_confidence,confidence,0.7952075435787934,0.048009849564910854,12
crossPatient,Etoposide,learned_risk_score,risk,0.06350169207024588,0.075246784439996,8
crossPatient,Etoposide,simple_combined_confidence,confidence,1.28839545809066,0.075246784439996,8
crossPatient,Panobinostat,learned_risk_score,risk,0.06350169207024588,0.08078235884330043,8
crossPatient,Panobinostat,simple_combined_confidence,confidence,1.2085522905076862,0.08078235884330043,8
sciplex3,Alvespimycin_10.0,learned_risk_score,risk,0.06340458780334854,0.043145289423581125,6
sciplex3,Alvespimycin_10.0,simple_combined_confidence,confidence,1.6596011326291806,0.043145289423581125,6
sciplex3,Alvespimycin_100.0,learned_risk_score,risk,0.05908809489914876,0.09275073962236756,6
sciplex3,Alvespimycin_100.0,simple_combined_confidence,confidence,1.3467835827439272,0.09275073962236756,6
sciplex3,Alvespimycin_1000.0,learned_risk_score,risk,0.08479806389830087,0.10186167194349095,6
sciplex3,Alvespimycin_1000.0,simple_combined_confidence,confidence,0.6242099429391412,0.10186167194349095,6
sciplex3,Alvespimycin_10000.0,learned_risk_score,risk,0.09327337276444125,0.12133598594092036,4
sciplex3,Alvespimycin_10000.0,simple_combined_confidence,confidence,0.9270798221708407,0.12133598594092036,4
sciplex3,Belinostat_10.0,learned_risk_score,risk,0.04360357628681516,0.0367886091859005,6
sciplex3,Belinostat_10.0,simple_combined_confidence,confidence,0.8613237454870687,0.0367886091859005,6
sciplex3,Belinostat_100.0,learned_risk_score,risk,0.05991632771774585,0.055767951005939696,6
sciplex3,Belinostat_100.0,simple_combined_confidence,confidence,1.2637609776234755,0.055767951005939696,6
sciplex3,Belinostat_1000.0,learned_risk_score,risk,0.08111807673057563,0.08806016359208434,6
sciplex3,Belinostat_1000.0,simple_combined_confidence,confidence,1.2381574092462062,0.08806016359208434,6
sciplex3,Belinostat_10000.0,learned_risk_score,risk,0.10116370389875264,0.17642220822776286,6
sciplex3,Belinostat_10000.0,simple_combined_confidence,confidence,0.40045723479036527,0.17642220822776286,6
sciplex3,Dacinostat_10.0,learned_risk_score,risk,0.0328316198046549,0.0984402323826503,6
sciplex3,Dacinostat_10.0,simple_combined_confidence,confidence,0.6078040220741759,0.0984402323826503,6
sciplex3,Dacinostat_100.0,learned_risk_score,risk,0.08015669330260973,0.12553590920045873,6
sciplex3,Dacinostat_100.0,simple_combined_confidence,confidence,0.55692977109421,0.12553590920045873,6
sciplex3,Dacinostat_1000.0,learned_risk_score,risk,0.10298545029774192,0.181061693019032,6
sciplex3,Dacinostat_1000.0,simple_combined_confidence,confidence,0.6118618713358296,0.181061693019032,6
sciplex3,Dacinostat_10000.0,learned_risk_score,risk,0.06246248403951293,0.20109265034095206,6
sciplex3,Dacinostat_10000.0,simple_combined_confidence,confidence,0.15607772066208084,0.20109265034095206,6
sciplex3,Flavopiridol_10.0,learned_risk_score,risk,0.044358466067266865,0.04814818314447191,6
sciplex3,Flavopiridol_10.0,simple_combined_confidence,confidence,0.8687536893747331,0.04814818314447191,6
sciplex3,Flavopiridol_100.0,learned_risk_score,risk,0.09584549692585531,0.08177782567095154,6
sciplex3,Flavopiridol_100.0,simple_combined_confidence,confidence,1.2346988099123426,0.08177782567095154,6
sciplex3,Flavopiridol_1000.0,learned_risk_score,risk,0.11721583110826339,0.15812118652449705,6
sciplex3,Flavopiridol_1000.0,simple_combined_confidence,confidence,0.3977094605368306,0.15812118652449705,6
sciplex3,Flavopiridol_10000.0,learned_risk_score,risk,0.11059286778600794,0.12821539503846172,4
sciplex3,Flavopiridol_10000.0,simple_combined_confidence,confidence,0.6830030159454276,0.12821539503846172,4
sciplex3,Givinostat_10.0,learned_risk_score,risk,0.06080273656421731,0.055762588176392534,6
sciplex3,Givinostat_10.0,simple_combined_confidence,confidence,1.4893132071222999,0.055762588176392534,6
sciplex3,Givinostat_100.0,learned_risk_score,risk,0.0535421764507261,0.05566850583531366,6
sciplex3,Givinostat_100.0,simple_combined_confidence,confidence,1.2213332185615213,0.05566850583531366,6
sciplex3,Givinostat_1000.0,learned_risk_score,risk,0.06425081460433456,0.08485955401441503,6
sciplex3,Givinostat_1000.0,simple_combined_confidence,confidence,1.2556794599487495,0.08485955401441503,6
sciplex3,Givinostat_10000.0,learned_risk_score,risk,0.08173481857272855,0.19409477056961633,6
sciplex3,Givinostat_10000.0,simple_combined_confidence,confidence,0.4044487533707401,0.19409477056961633,6
sciplex3,Hesperadin_10.0,learned_risk_score,risk,0.04162003437646115,0.07629657036879377,6
sciplex3,Hesperadin_10.0,simple_combined_confidence,confidence,1.2442348070654505,0.07629657036879377,6
sciplex3,Hesperadin_100.0,learned_risk_score,risk,0.06749297253421226,0.06924841377241042,6
sciplex3,Hesperadin_100.0,simple_combined_confidence,confidence,1.253865455668057,0.06924841377241042,6
sciplex3,Hesperadin_1000.0,learned_risk_score,risk,0.08294402623305637,0.08105942204268042,6
sciplex3,Hesperadin_1000.0,simple_combined_confidence,confidence,1.2940590184580285,0.08105942204268042,6
sciplex3,Hesperadin_10000.0,learned_risk_score,risk,0.09705660091832073,0.11519849860890458,6
sciplex3,Hesperadin_10000.0,simple_combined_confidence,confidence,0.6521073349151753,0.11519849860890458,6
sciplex3,Quisinostat_10.0,learned_risk_score,risk,0.11001484538393001,0.1471218909838473,6
sciplex3,Quisinostat_10.0,simple_combined_confidence,confidence,0.5970890356808961,0.1471218909838473,6
sciplex3,Quisinostat_100.0,learned_risk_score,risk,0.1289575983241422,0.17317204256071814,6
sciplex3,Quisinostat_100.0,simple_combined_confidence,confidence,0.6137930040425729,0.17317204256071814,6
sciplex3,Quisinostat_1000.0,learned_risk_score,risk,0.10479168750402636,0.18850804389501263,6
sciplex3,Quisinostat_1000.0,simple_combined_confidence,confidence,0.18117784496271253,0.18850804389501263,6
sciplex3,Quisinostat_10000.0,learned_risk_score,risk,0.0810496657834495,0.19382544151187595,6
sciplex3,Quisinostat_10000.0,simple_combined_confidence,confidence,0.3841891600886915,0.19382544151187595,6
sciplex3,TAK901_10.0,learned_risk_score,risk,0.03787309623367652,0.03632043775109972,6
sciplex3,TAK901_10.0,simple_combined_confidence,confidence,1.055172716004549,0.03632043775109972,6
sciplex3,TAK901_100.0,learned_risk_score,risk,0.04492416318062156,0.06870089936214725,6
sciplex3,TAK901_100.0,simple_combined_confidence,confidence,1.1937298233943558,0.06870089936214725,6
sciplex3,TAK901_1000.0,learned_risk_score,risk,0.05938150762701025,0.08494845461860999,6
sciplex3,TAK901_1000.0,simple_combined_confidence,confidence,0.6061081836402754,0.08494845461860999,6
sciplex3,TAK901_10000.0,learned_risk_score,risk,0.04457945442938662,0.10295513208574415,6
sciplex3,TAK901_10000.0,simple_combined_confidence,confidence,0.6141989184004784,0.10295513208574415,6
sciplex3,Tanespimycin_10.0,learned_risk_score,risk,0.03910873510776893,0.034434289175504555,6
sciplex3,Tanespimycin_10.0,simple_combined_confidence,confidence,0.7192824534394523,0.034434289175504555,6
sciplex3,Tanespimycin_100.0,learned_risk_score,risk,0.057808165297264257,0.06473201351022502,6
sciplex3,Tanespimycin_100.0,simple_combined_confidence,confidence,0.7528955524450924,0.06473201351022502,6
sciplex3,Tanespimycin_1000.0,learned_risk_score,risk,0.06414395791323868,0.09663810558341847,6
sciplex3,Tanespimycin_1000.0,simple_combined_confidence,confidence,1.1265119471784153,0.09663810558341847,6
