dataset,fold_id,score,endpoint,n_tasks,spearman
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,279,0.07218170164329367
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,error_centered_pearson_mean,279,-0.4206516814198411
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,error_centered_cosine_mean,279,-0.4220043320182564
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,279,-0.45985313131982897
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,279,0.08477494502094177
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,error_centered_pearson_mean,279,-0.30842146559250294
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,error_centered_cosine_mean,279,-0.3110604603874504
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,279,-0.3356457690990065
Frangieh,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,error_two_predictor_mean_rmse,279,0.08931638099658523
Frangieh,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,error_centered_pearson_mean,279,-0.01393373780238482
Frangieh,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,error_centered_cosine_mean,279,-0.0181850832697897
Frangieh,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,279,-0.021441280155599023
Frangieh,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,error_two_predictor_mean_rmse,279,0.11016863928212271
Frangieh,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,error_centered_pearson_mean,279,0.01697333377537601
Frangieh,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,error_centered_cosine_mean,279,0.011944545745891766
Frangieh,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,279,0.0031816021836908355
Frangieh,frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,279,0.4420089734663882
Frangieh,frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,error_centered_pearson_mean,279,-0.5891649813789521
Frangieh,frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,error_centered_cosine_mean,279,-0.5937080750146426
Frangieh,frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,279,-0.5806302423498989
Frangieh,frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,279,0.41914873631049077
Frangieh,frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,error_centered_pearson_mean,279,-0.5224215097967708
Frangieh,frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,error_centered_cosine_mean,279,-0.5273967001513996
Frangieh,frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,279,-0.5050376288830687
Frangieh,frangieh_context_holdout_2_Control,risk_model_disagreement,error_two_predictor_mean_rmse,279,0.16859618296146495
