score,endpoint,n_datasets,dataset_equal_macro_spearman
baseline_predicted_magnitude,error_centered_cosine_mean,6,0.027763788114490397
baseline_predicted_magnitude,error_centered_pearson_mean,6,0.037512529813351285
baseline_predicted_magnitude,error_two_predictor_mean_rmse,6,0.09266412365423882
baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,6,0.034229696726805835
risk_model_disagreement,error_centered_cosine_mean,6,0.004179720187670307
risk_model_disagreement,error_centered_pearson_mean,6,0.010952265253498565
risk_model_disagreement,error_two_predictor_mean_rmse,6,0.04910223063920482
risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,6,-0.012634937659128065
safeconf_calibrated_pair_risk,error_centered_cosine_mean,6,-0.03150940039972858
safeconf_calibrated_pair_risk,error_centered_pearson_mean,6,-0.038508207030170626
safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,6,0.20400411584447495
safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,6,-0.05244767323139607
safeconf_frozen_pair_risk,error_centered_cosine_mean,6,-0.03884279446764909
safeconf_frozen_pair_risk,error_centered_pearson_mean,6,-0.03974466179072672
safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,6,0.1447964204419874
safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,6,-0.06314864192081111
