model,endpoint,n_datasets,dataset_equal_macro_spearman,min_dataset_spearman
extra_depth3_leaf30,direction_error_rank_target,6,0.3430894539726741,0.1192086241878221
extra_depth3_leaf30,error_centered_cosine_mean,6,0.33831760015662105,0.12152619400820441
extra_depth3_leaf30,error_centered_pearson_mean,6,0.34140822472491256,0.1172608238545097
hist_leaf7_l2_10,direction_error_rank_target,6,0.31154397619816304,0.1484933263082914
hist_leaf7_l2_10,error_centered_cosine_mean,6,0.3057635886901654,0.14965065111467638
hist_leaf7_l2_10,error_centered_pearson_mean,6,0.31157962825538493,0.14665743483565044
rf_depth3_leaf30,direction_error_rank_target,6,0.2874142168946248,0.1070718518040027
rf_depth3_leaf30,error_centered_cosine_mean,6,0.2818746237097312,0.10881308819405006
rf_depth3_leaf30,error_centered_pearson_mean,6,0.28631755909683226,0.10549599881346444
ridge_alpha10,direction_error_rank_target,6,0.3439218313975332,0.11601980668901263
ridge_alpha10,error_centered_cosine_mean,6,0.3364292840395995,0.11619651105088367
ridge_alpha10,error_centered_pearson_mean,6,0.34580274308169456,0.11548396126782963
ridge_positive_alpha10,direction_error_rank_target,6,0.24883192215267655,0.10132050523789081
ridge_positive_alpha10,error_centered_cosine_mean,6,0.2424941139554724,0.10179282615057701
ridge_positive_alpha10,error_centered_pearson_mean,6,0.25214612107652506,0.10074096694702106
