model,heldout_dataset,endpoint,n_folds,spearman
extra_depth3_leaf30,Frangieh,direction_error_rank_target,3,0.6394315340743028
extra_depth3_leaf30,Frangieh,error_centered_cosine_mean,3,0.6353650927595315
extra_depth3_leaf30,Frangieh,error_centered_pearson_mean,3,0.6427838547520416
extra_depth3_leaf30,Lara_exvivo,direction_error_rank_target,5,0.45746125194948756
extra_depth3_leaf30,Lara_exvivo,error_centered_cosine_mean,5,0.4585963231351905
extra_depth3_leaf30,Lara_exvivo,error_centered_pearson_mean,5,0.4571242084433768
extra_depth3_leaf30,Liang,direction_error_rank_target,9,0.1192086241878221
extra_depth3_leaf30,Liang,error_centered_cosine_mean,9,0.12152619400820441
extra_depth3_leaf30,Liang,error_centered_pearson_mean,9,0.1172608238545097
extra_depth3_leaf30,Santinha,direction_error_rank_target,5,0.31514208588637044
extra_depth3_leaf30,Santinha,error_centered_cosine_mean,5,0.32770318479481686
extra_depth3_leaf30,Santinha,error_centered_pearson_mean,5,0.30229794385430847
extra_depth3_leaf30,Shifrut,direction_error_rank_target,4,0.2789525318452092
extra_depth3_leaf30,Shifrut,error_centered_cosine_mean,4,0.30088380419653454
extra_depth3_leaf30,Shifrut,error_centered_pearson_mean,4,0.2546502067565305
extra_depth3_leaf30,Tian_CRISPRi,direction_error_rank_target,4,0.24834069589285251
extra_depth3_leaf30,Tian_CRISPRi,error_centered_cosine_mean,4,0.18583100204544845
extra_depth3_leaf30,Tian_CRISPRi,error_centered_pearson_mean,4,0.2743323106887081
hist_leaf7_l2_10,Frangieh,direction_error_rank_target,3,0.3604383073514367
hist_leaf7_l2_10,Frangieh,error_centered_cosine_mean,3,0.3565185445342718
hist_leaf7_l2_10,Frangieh,error_centered_pearson_mean,3,0.3640519269550692
hist_leaf7_l2_10,Lara_exvivo,direction_error_rank_target,5,0.46914323280435843
hist_leaf7_l2_10,Lara_exvivo,error_centered_cosine_mean,5,0.47017489977282595
hist_leaf7_l2_10,Lara_exvivo,error_centered_pearson_mean,5,0.4698688608333825
hist_leaf7_l2_10,Liang,direction_error_rank_target,9,0.1484933263082914
hist_leaf7_l2_10,Liang,error_centered_cosine_mean,9,0.14965065111467638
hist_leaf7_l2_10,Liang,error_centered_pearson_mean,9,0.14665743483565044
hist_leaf7_l2_10,Santinha,direction_error_rank_target,5,0.3017784534362865
hist_leaf7_l2_10,Santinha,error_centered_cosine_mean,5,0.3095829581510137
hist_leaf7_l2_10,Santinha,error_centered_pearson_mean,5,0.29354460088838863
hist_leaf7_l2_10,Shifrut,direction_error_rank_target,4,0.3543030442312113
hist_leaf7_l2_10,Shifrut,error_centered_cosine_mean,4,0.3710609982693262
hist_leaf7_l2_10,Shifrut,error_centered_pearson_mean,4,0.3366846392954143
hist_leaf7_l2_10,Tian_CRISPRi,direction_error_rank_target,4,0.235107493057394
hist_leaf7_l2_10,Tian_CRISPRi,error_centered_cosine_mean,4,0.17759348029887834
hist_leaf7_l2_10,Tian_CRISPRi,error_centered_pearson_mean,4,0.2586703067244048
rf_depth3_leaf30,Frangieh,direction_error_rank_target,3,0.23451114385582736
rf_depth3_leaf30,Frangieh,error_centered_cosine_mean,3,0.23060797233967975
rf_depth3_leaf30,Frangieh,error_centered_pearson_mean,3,0.23736554722978886
rf_depth3_leaf30,Lara_exvivo,direction_error_rank_target,5,0.4661571447115729
rf_depth3_leaf30,Lara_exvivo,error_centered_cosine_mean,5,0.4682119167592207
rf_depth3_leaf30,Lara_exvivo,error_centered_pearson_mean,5,0.4650562531387257
rf_depth3_leaf30,Liang,direction_error_rank_target,9,0.1070718518040027
rf_depth3_leaf30,Liang,error_centered_cosine_mean,9,0.10881308819405006
rf_depth3_leaf30,Liang,error_centered_pearson_mean,9,0.10549599881346444
rf_depth3_leaf30,Santinha,direction_error_rank_target,5,0.3322005437224342
rf_depth3_leaf30,Santinha,error_centered_cosine_mean,5,0.3426431508350542
rf_depth3_leaf30,Santinha,error_centered_pearson_mean,5,0.31905169362232355
rf_depth3_leaf30,Shifrut,direction_error_rank_target,4,0.34568560094936907
rf_depth3_leaf30,Shifrut,error_centered_cosine_mean,4,0.36033178335624916
rf_depth3_leaf30,Shifrut,error_centered_pearson_mean,4,0.32942507409514304
rf_depth3_leaf30,Tian_CRISPRi,direction_error_rank_target,4,0.23885901632454257
rf_depth3_leaf30,Tian_CRISPRi,error_centered_cosine_mean,4,0.18063983077413337
rf_depth3_leaf30,Tian_CRISPRi,error_centered_pearson_mean,4,0.2615107876815482
ridge_alpha10,Frangieh,direction_error_rank_target,3,0.6284666142321228
ridge_alpha10,Frangieh,error_centered_cosine_mean,3,0.6247096332150869
ridge_alpha10,Frangieh,error_centered_pearson_mean,3,0.6315447181425367
ridge_alpha10,Lara_exvivo,direction_error_rank_target,5,0.5151781764160861
ridge_alpha10,Lara_exvivo,error_centered_cosine_mean,5,0.515622944830106
ridge_alpha10,Lara_exvivo,error_centered_pearson_mean,5,0.5172232371209354
ridge_alpha10,Liang,direction_error_rank_target,9,0.11601980668901263
ridge_alpha10,Liang,error_centered_cosine_mean,9,0.11619651105088367
ridge_alpha10,Liang,error_centered_pearson_mean,9,0.11548396126782963
ridge_alpha10,Santinha,direction_error_rank_target,5,0.3240918902132003
ridge_alpha10,Santinha,error_centered_cosine_mean,5,0.3342262443438914
ridge_alpha10,Santinha,error_centered_pearson_mean,5,0.3145158371040724
ridge_alpha10,Shifrut,direction_error_rank_target,4,0.24396325975182298
ridge_alpha10,Shifrut,error_centered_cosine_mean,4,0.256191482935669
ridge_alpha10,Shifrut,error_centered_pearson_mean,4,0.23070824524312897
ridge_alpha10,Tian_CRISPRi,direction_error_rank_target,4,0.23581124108295443
ridge_alpha10,Tian_CRISPRi,error_centered_cosine_mean,4,0.17162888786195987
ridge_alpha10,Tian_CRISPRi,error_centered_pearson_mean,4,0.2653404596116642
ridge_positive_alpha10,Frangieh,direction_error_rank_target,3,0.4362211515985748
ridge_positive_alpha10,Frangieh,error_centered_cosine_mean,3,0.43289552689645516
ridge_positive_alpha10,Frangieh,error_centered_pearson_mean,3,0.43926204658393103
ridge_positive_alpha10,Lara_exvivo,direction_error_rank_target,5,0.43130595094483687
ridge_positive_alpha10,Lara_exvivo,error_centered_cosine_mean,5,0.43123127511874315
ridge_positive_alpha10,Lara_exvivo,error_centered_pearson_mean,5,0.43215929850200957
ridge_positive_alpha10,Liang,direction_error_rank_target,9,0.10132050523789081
ridge_positive_alpha10,Liang,error_centered_cosine_mean,9,0.10179282615057701
ridge_positive_alpha10,Liang,error_centered_pearson_mean,9,0.10074096694702106
ridge_positive_alpha10,Santinha,direction_error_rank_target,5,0.22167534622744417
