raw_gene,scgpt_token
ABCF1,ABCF1
ACTR2,ACTR2
ADAM10,ADAM10
ARMC7,ARMC7
ATP11B,ATP11B
BAP1,BAP1
BPTF,BPTF
C17orf58,C17orf58
CCNC,CCNC
CCT4,CCT4
CDIPT,CDIPT
CNOT10,CNOT10
COPS2,COPS2
COPZ1,COPZ1
CSNK2B,CSNK2B
DBR1,DBR1
DDX1,DDX1
DDX51,DDX51
DHX37,DHX37
DNAJC17,DNAJC17
DNAJC19,DNAJC19
DNTTIP2,DNTTIP2
DRAP1,DRAP1
DYNLL2,DYNLL2
EHMT2,EHMT2
EIF2B1,EIF2B1
ELL,ELL
ELP3,ELP3
ENY2,ENY2
ESF1,ESF1
EXOC5,EXOC5
EXOSC7,EXOSC7
FCF1,FCF1
GINS1,GINS1
GNB1L,GNB1L
GON4L,GON4L
GTF2F2,GTF2F2
IGBP1,IGBP1
INO80C,INO80C
IST1,IST1
KIF18B,KIF18B
LAMTOR1,LAMTOR1
LSG1,LSG1
LSM12,LSM12
MED11,MED11
MICOS10,MICOS10
MKRN1,MKRN1
MNAT1,MNAT1
MPHOSPH6,MPHOSPH6
MRPL24,MRPL24
MRPL38,MRPL38
MRPL41,MRPL41
MRPL54,MRPL54
MTG2,MTG2
NAA38,NAA38
NAA50,NAA50
NOL11,NOL11
NPLOC4,NPLOC4
ORC6,ORC6
PFN1,PFN1
PIAS1,PIAS1
PNN,PNN
POLRMT,POLRMT
PPIA,PPIA
PPP6C,PPP6C
RBM15,RBM15
RCCD1,RCCD1
RCL1,RCL1
RHOQ,RHOQ
RNGTT,RNGTT
RPL37A,RPL37A
RPL7L1,RPL7L1
RPL9,RPL9
RPP14,RPP14
RPS13,RPS13
RSL1D1,RSL1D1
SART3,SART3
SEC61A1,SEC61A1
SIRT7,SIRT7
SKA3,SKA3
SMARCB1,SMARCB1
SRP54,SRP54
TACC3,TACC3
TAF10,TAF10
TAF8,TAF8
TAZ,TAZ
TFAM,TFAM
TGS1,TGS1
TTC1,TTC1
TUBGCP2,TUBGCP2
UBE2L3,UBE2L3
USP14,USP14
WDR33,WDR33
WDR74,WDR74
WDR75,WDR75
YRDC,YRDC
MT-CO3,MT-CO3
MT-ATP6,MT-ATP6
MT-CO2,MT-CO2
MT-ND4,MT-ND4
MT-CO1,MT-CO1
MT-CYB,MT-CYB
EEF1A1,EEF1A1
RPS2,RPS2
RPL13,RPL13
MALAT1,MALAT1
RPL10,RPL10
GAPDH,GAPDH
RPS18,RPS18
RPS7,RPS7
MT-ND1,MT-ND1
RPLP1,RPLP1
RPL11,RPL11
RPS3,RPS3
RPS12,RPS12
RPS3A,RPS3A
PTMA,PTMA
RPS6,RPS6
RPL19,RPL19
RPS14,RPS14
RPL7A,RPL7A
RPS19,RPS19
RPL18A,RPL18A
RPS27A,RPS27A
RPL15,RPL15
RPS23,RPS23
ACTB,ACTB
TPT1,TPT1
RPL41,RPL41
MT-ND3,MT-ND3
RPL3,RPL3
RPL6,RPL6
RPS4X,RPS4X
RPS8,RPS8
RPL29,RPL29
FTH1,FTH1
HSP90AB1,HSP90AB1
RPL17,RPL17
HSP90AA1,HSP90AA1
RPL18,RPL18
RPS15,RPS15
RPS24,RPS24
RPL13A,RPL13A
RPS5,RPS5
RPL8,RPL8
RPSA,RPSA
RPLP0,RPLP0
MT-ND2,MT-ND2
RACK1,RACK1
RPL32,RPL32
RPL5,RPL5
RPL28,RPL28
RPS16,RPS16
RPS9,RPS9
RPL26,RPL26
RPS15A,RPS15A
NPM1,NPM1
YBX1,YBX1
FTL,FTL
RPL7,RPL7
RPL30,RPL30
MIF,MIF
RPL23A,RPL23A
RPL14,RPL14
TUBA1B,TUBA1B
HSPD1,HSPD1
RPL21,RPL21
RPL10A,RPL10A
RPL12,RPL12
NACA,NACA
ACTG1,ACTG1
HMGB1,HMGB1
RPL37,RPL37
EEF1B2,EEF1B2
RPL24,RPL24
NCL,NCL
RPL34,RPL34
RPLP2,RPLP2
RPS27,RPS27
TUBB,TUBB
RPS21,RPS21
RPL35,RPL35
RPL39,RPL39
NME2,NME2
RPS11,RPS11
RPL4,RPL4
FAU,FAU
RPS25,RPS25
CHCHD2,CHCHD2
RAN,RAN
EEF1G,EEF1G
PRDX1,PRDX1
MT-ND5,MT-ND5
ENO1,ENO1
RPL23,RPL23
RPL36,RPL36
UBA52,UBA52
RPL22,RPL22
HNRNPA2B1,HNRNPA2B1
HINT1,HINT1
BTF3,BTF3
CFL1,CFL1
RPL35A,RPL35A
RPL27,RPL27
RPS28,RPS28
RPL27A,RPL27A
EIF4A1,EIF4A1
RPS29,RPS29
STMN1,STMN1
CALR,CALR
GNAS,GNAS
HNRNPA1,HNRNPA1
HSPE1,HSPE1
SERF2,SERF2
EIF1,EIF1
RPS26,RPS26
LDHA,LDHA
SNHG29,SNHG29
PSMA7,PSMA7
RPS20,RPS20
TMSB10,TMSB10
EIF5A,EIF5A
SET,SET
RPS17,RPS17
EEF2,EEF2
SNRPB,SNRPB
HNRNPU,HNRNPU
HSPA8,HSPA8
B2M,B2M
COX4I1,COX4I1
SUMO2,SUMO2
SLC25A3,SLC25A3
OAZ1,OAZ1
DYNLL1,DYNLL1
UQCRH,UQCRH
ATP5MC3,ATP5MC3
ANP32B,ANP32B
SRP14,SRP14
C1QBP,C1QBP
RPL36A,RPL36A
RANBP1,RANBP1
SERBP1,SERBP1
NAP1L1,NAP1L1
CDK6,CDK6
RPL38,RPL38
PABPC1,PABPC1
MYL6,MYL6
PEBP1,PEBP1
SLC25A5,SLC25A5
SUB1,SUB1
XRCC5,XRCC5
HNRNPA3,HNRNPA3
HMGN1,HMGN1
PKM,PKM
HMGN2,HMGN2
PSMA6,PSMA6
DDX5,DDX5
TXN,TXN
CCT3,CCT3
HNRNPD,HNRNPD
PTGES3,PTGES3
HNRNPC,HNRNPC
APRT,APRT
ATP5F1B,ATP5F1B
ATP5MC2,ATP5MC2
PSMB1,PSMB1
ATP5F1E,ATP5F1E
CCT5,CCT5
HSP90B1,HSP90B1
RPS10,RPS10
MZT2B,MZT2B
PPP1R14B,PPP1R14B
GPX4,GPX4
PARK7,PARK7
UBC,UBC
PFDN5,PFDN5
SRSF3,SRSF3
CCT6A,CCT6A
MT-ND6,MT-ND6
TPI1,TPI1
ERH,ERH
SIVA1,SIVA1
HNRNPR,HNRNPR
PA2G4,PA2G4
UBB,UBB
SFPQ,SFPQ
MARCKSL1,MARCKSL1
COX6A1,COX6A1
TCP1,TCP1
TKT,TKT
NDUFS5,NDUFS5
SOD1,SOD1
COX7C,COX7C
NDUFA13,NDUFA13
YWHAB,YWHAB
CCT2,CCT2
HNRNPK,HNRNPK
UBE2S,UBE2S
PGK1,PGK1
NDUFA4,NDUFA4
TYMS,TYMS
NME1,NME1
EIF3E,EIF3E
PRELID1,PRELID1
SOX4,SOX4
EEF1D,EEF1D
SNRPD1,SNRPD1
CLIC1,CLIC1
NUDC,NUDC
YWHAE,YWHAE
COX5A,COX5A
ARPC3,ARPC3
SLC25A6,SLC25A6
EIF3A,EIF3A
CCT8,CCT8
ARPC2,ARPC2
SRSF9,SRSF9
EIF4G2,EIF4G2
JPT1,JPT1
NUCB2,NUCB2
SKP1,SKP1
GUK1,GUK1
ATP5MG,ATP5MG
XRCC6,XRCC6
CCT7,CCT7
FUS,FUS
POMP,POMP
PSMB2,PSMB2
ZFAS1,ZFAS1
GADD45GIP1,GADD45GIP1
SNRPF,SNRPF
HMGB2,HMGB2
PPA1,PPA1
FABP5,FABP5
PRKDC,PRKDC
RPL36AL,RPL36AL
NDUFAB1,NDUFAB1
RPL31,RPL31
DNAJA1,DNAJA1
NUCKS1,NUCKS1
PSMA4,PSMA4
SRM,SRM
PHB,PHB
PSMB3,PSMB3
NASP,NASP
SNRPE,SNRPE
FKBP1A,FKBP1A
TMA7,TMA7
TPM3,TPM3
ATP5F1D,ATP5F1D
NDUFS6,NDUFS6
CD99,CD99
PRRC2C,PRRC2C
NDUFB10,NDUFB10
MAP4K4,MAP4K4
COX6C,COX6C
PSMD8,PSMD8
ETFB,ETFB
CYBA,CYBA
YWHAQ,YWHAQ
SRRM2,SRRM2
DBI,DBI
GTF3A,GTF3A
HNRNPAB,HNRNPAB
ADA,ADA
NDUFV2,NDUFV2
PRMT1,PRMT1
COX7A2,COX7A2
ATP5PF,ATP5PF
CALM2,CALM2
HSPA5,HSPA5
BANF1,BANF1
PSMA2,PSMA2
AURKAIP1,AURKAIP1
ATP5MC1,ATP5MC1
GNG5,GNG5
COX8A,COX8A
HMGA1,HMGA1
TOMM6,TOMM6
ODC1,ODC1
SNU13,SNU13
TPM4,TPM4
HNRNPM,HNRNPM
RTRAF,RTRAF
CSDE1,CSDE1
SRSF7,SRSF7
ATP5F1C,ATP5F1C
PCBP2,PCBP2
SNRPG,SNRPG
MYL12B,MYL12B
SPTBN1,SPTBN1
SEC61B,SEC61B
PSMA3,PSMA3
TUBB4B,TUBB4B
HNRNPF,HNRNPF
MRPL20,MRPL20
PRDX2,PRDX2
SSBP1,SSBP1
FDPS,FDPS
EIF3F,EIF3F
EIF2S2,EIF2S2
SRP9,SRP9
PRDX5,PRDX5
VDAC2,VDAC2
ATP5F1A,ATP5F1A
TXNL4A,TXNL4A
DEK,DEK
MRPL51,MRPL51
GSTO1,GSTO1
ARPC5,ARPC5
PPIB,PPIB
HNRNPDL,HNRNPDL
ALYREF,ALYREF
CBX3,CBX3
EIF3H,EIF3H
PPM1G,PPM1G
CANX,CANX
RAC1,RAC1
PSMB6,PSMB6
RPS4Y1,RPS4Y1
SSR4,SSR4
PGAM1,PGAM1
TBCA,TBCA
SAP18,SAP18
CACYBP,CACYBP
PRPF40A,PRPF40A
NDUFC2,NDUFC2
EIF4B,EIF4B
SRSF2,SRSF2
MZT2A,MZT2A
PDIA6,PDIA6
MTDH,MTDH
COX5B,COX5B
SNRPD2,SNRPD2
EDF1,EDF1
NOP56,NOP56
HSPA9,HSPA9
PAICS,PAICS
NDUFA11,NDUFA11
ELOB,ELOB
RBM8A,RBM8A
EIF3K,EIF3K
RBM3,RBM3
SF3B1,SF3B1
ATP5PO,ATP5PO
CCNI,CCNI
NEDD8,NEDD8
LSM4,LSM4
TUFM,TUFM
ACP1,ACP1
TMBIM6,TMBIM6
PSMA5,PSMA5
KPNB1,KPNB1
TOMM5,TOMM5
TRMT112,TRMT112
SSB,SSB
KTN1,KTN1
PSMB7,PSMB7
SPCS1,SPCS1
UQCRB,UQCRB
EIF3M,EIF3M
KHDRBS1,KHDRBS1
DUT,DUT
VDAC1,VDAC1
UQCR10,UQCR10
PTP4A2,PTP4A2
CAPZB,CAPZB
SNHG5,SNHG5
UBE2I,UBE2I
COPE,COPE
CENPF,CENPF
TRIR,TRIR
DANCR,DANCR
AP2S1,AP2S1
ANKRD11,ANKRD11
MYL12A,MYL12A
NDUFB11,NDUFB11
SEM1,SEM1
PPP1CA,PPP1CA
EIF5,EIF5
PSMA1,PSMA1
