fold_id,task_id,split,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,training_support_count,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,safeconf_frozen_pair_risk,safeconf_calibrated_pair_risk,test_truth_used_for_score_or_threshold,dataset,error_scgpt_rmse,error_gears_rmse,error_two_predictor_mean_rmse,error_two_predictor_max_rmse
Nadig_cellline_holdout_1_HepG2,HepG2::GON4L,test,context_unseen,HepG2,GON4L,0.11907970168393645,0.04907453805208206,1.0,1,0.5,2.6888632599878677,-1.9651580458268072,4.188863259987867,0.2370078666540579,False,Nadig_two_cellline,0.10074515630484729,0.08479217056564516,0.09276866343524623,0.10074515630484729
Nadig_cellline_holdout_1_HepG2,HepG2::SKA3,test,context_and_perturbation_unseen,HepG2,SKA3,0.12377132775299038,0.0652756541967392,1.0,0,1.0,3.265838757393911,-0.7648755940356453,5.265838757393912,0.24310926823439122,False,Nadig_two_cellline,0.12036062925749916,0.14983545605036835,0.13509804265393377,0.14983545605036835
Nadig_cellline_holdout_1_HepG2,HepG2::YRDC,test,context_unseen,HepG2,YRDC,0.11262149001839698,0.05227607488632202,1.0,1,0.5,1.8946333206803778,-1.7279676913728317,3.394633320680378,0.22860904239093935,False,Nadig_two_cellline,0.10155779707606735,0.06635476769973947,0.08395628238790341,0.10155779707606735
Nadig_cellline_holdout_1_HepG2,HepG2::DNAJC17,test,context_and_perturbation_unseen,HepG2,DNAJC17,0.09364500181632121,0.08052701503038406,1.0,0,1.0,-0.4390924618648715,0.36504290115371013,1.5609075381351285,0.20393035457542258,False,Nadig_two_cellline,0.21878623293779983,0.20770996134910027,0.21324809714345005,0.21878623293779983
Nadig_cellline_holdout_1_HepG2,HepG2::PPIA,test,context_unseen,HepG2,PPIA,0.09286913990244759,0.06104292348027229,1.0,1,0.5,-0.5345078481481831,-1.0784633960592802,0.9654921518518169,0.20292135576823855,False,Nadig_two_cellline,0.15011053021028842,0.1238523061447177,0.13698141817750306,0.15011053021028842
Nadig_cellline_holdout_1_HepG2,HepG2::UBE2L3,test,context_unseen,HepG2,UBE2L3,0.07906628046331948,0.07746368646621704,1.0,0,1.0,-2.231981511500592,0.138091900567688,-0.23198151150059187,0.18497090806514666,False,Nadig_two_cellline,0.11690319212329438,0.09487057145484468,0.10588688178906952,0.11690319212329438
Nadig_cellline_holdout_1_HepG2,HepG2::CCT4,test,context_unseen,HepG2,CCT4,0.10404744106137628,0.09099089354276657,1.0,1,0.5,0.8401980163854745,1.140274042264274,2.3401980163854743,0.21745859794241776,False,Nadig_two_cellline,0.18898755865030942,0.1542418491096293,0.17161470387996935,0.18898755865030942
Nadig_cellline_holdout_1_HepG2,HepG2::GNB1L,test,context_and_perturbation_unseen,HepG2,GNB1L,0.09841277372393535,0.065642811357975,1.0,0,1.0,0.14724743978652882,-0.7376742398977001,2.147247439786529,0.2101307828754665,False,Nadig_two_cellline,0.11648059592656336,0.09169069381227485,0.1040856448694191,0.11648059592656336
Nadig_cellline_holdout_1_HepG2,HepG2::DHX37,test,context_unseen,HepG2,DHX37,0.1273756799986322,0.10437856614589691,1.0,1,0.5,3.709101476789435,2.132118576454713,5.209101476789435,0.24779668367712954,False,Nadig_two_cellline,0.10269448499698897,0.11930092630311091,0.11099770565004993,0.11930092630311091
Nadig_cellline_holdout_1_HepG2,HepG2::NAA38,test,context_and_perturbation_unseen,HepG2,NAA38,0.11602722964840378,0.06267688423395157,1.0,0,1.0,2.3134706892464743,-0.9574091179437892,4.313470689246474,0.23303816458756776,False,Nadig_two_cellline,0.20940517703654193,0.21809553053595523,0.21375035378624857,0.21809553053595523
