scope,target,comparator,unit,delta,ci95_low,ci95_high,p_gt_zero
Frangieh,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.011194129105613659,-0.028339632695347818,0.057327216094490874,0.6863333333333334
Lara_exvivo,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.03210814760686883,-0.01839501550848936,0.09142274739195257,0.813
Liang,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.010245952592419151,-0.12004255995619091,0.10875432480310308,0.5776666666666667
Nadig_two_cellline,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,-0.011673120770428577,-0.08940072961619425,0.06701369342424558,0.363
Santinha,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.15950709036019428,-0.0819986589117311,0.41429987450793293,0.9033333333333333
Shifrut,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.11933705829054668,-0.052917381891446146,0.35062088579434975,0.9106666666666666
Tian_CRISPRi,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.022853794459282713,-0.10222019261171619,0.16611430217276288,0.6006666666666667
seven_dataset_macro,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,fixed_seven_datasets,0.04908186452064239,-0.005030307389766144,0.10450708428609078,0.9596666666666667
seven_dataset_macro,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,dataset_population_plus_fold_plus_perturbation,0.04908186452064239,-0.010703579869802842,0.13215418379024702,0.9346666666666666
Frangieh,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.11571162110279931,-0.03219017888890462,0.2820865442493056,0.9276666666666666
Lara_exvivo,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.21102667153818047,0.06316494020073185,0.34625905158265524,0.9993333333333333
Liang,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.13785174290768,-0.08378640761153532,0.329424226294677,0.8823333333333333
Nadig_two_cellline,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.0007196594762985814,-0.08710344245631599,0.10586199434617272,0.496
Santinha,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.1913984930751264,-0.105022386575819,0.4910788395343381,0.907
Shifrut,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.12133796436122019,-0.06916930405028829,0.36887596075809387,0.884
Tian_CRISPRi,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.1520848182466144,-0.1124748814392424,0.4178673101356123,0.856
seven_dataset_macro,error_two_predictor_mean_rmse,risk_model_disagreement,fixed_seven_datasets,0.13287585295827417,0.052433961694385835,0.21066135022542026,0.9996666666666667
seven_dataset_macro,error_two_predictor_mean_rmse,risk_model_disagreement,dataset_population_plus_fold_plus_perturbation,0.13287585295827417,0.044994930907355186,0.22323018750068974,0.9986666666666667
Frangieh,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.10485818403678393,-0.04276306991366106,0.25615213768950945,0.9136666666666666
Lara_exvivo,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.23962002192181217,0.0806057437809444,0.4073006265227673,0.9993333333333333
Liang,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.13820377643145074,-0.07136507123234305,0.33196331839496723,0.9123333333333333
Nadig_two_cellline,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,-0.17161313213695906,-0.4187366918320614,0.022517469470626498,0.064
Santinha,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.1538962306316875,-0.17445675899244123,0.43417376631191157,0.8213333333333334
Shifrut,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,-0.036016309272123216,-0.23141857559183665,0.2359519830199744,0.382
Tian_CRISPRi,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.06747804939180566,-0.11010218799790901,0.2805517611461986,0.733
seven_dataset_macro,error_two_predictor_mean_rmse,baseline_predicted_magnitude,fixed_seven_datasets,0.07091811728635111,-0.012795811043810864,0.14918946451266968,0.9503333333333334
seven_dataset_macro,error_two_predictor_mean_rmse,baseline_predicted_magnitude,dataset_population_plus_fold_plus_perturbation,0.07091811728635111,-0.05605650696069999,0.18638161417533736,0.8683333333333333
