dataset,pathway,panel_overlap_genes
Frangieh,Androgen,17
Frangieh,EGFR,20
Frangieh,Estrogen,23
Frangieh,Hypoxia,20
Frangieh,JAK-STAT,36
Frangieh,MAPK,36
Frangieh,NFkB,28
Frangieh,PI3K,21
Frangieh,TGFb,18
Frangieh,TNFa,30
Frangieh,Trail,11
Frangieh,WNT,9
Frangieh,p53,12
Lara_exvivo,Androgen,7
Lara_exvivo,EGFR,13
Lara_exvivo,Hypoxia,21
Lara_exvivo,JAK-STAT,12
Lara_exvivo,MAPK,20
Lara_exvivo,NFkB,5
Lara_exvivo,PI3K,13
Lara_exvivo,TNFa,14
Lara_exvivo,Trail,15
Lara_exvivo,WNT,6
Lara_exvivo,p53,11
Santinha,Androgen,34
Santinha,EGFR,9
Santinha,Estrogen,23
Santinha,Hypoxia,5
Santinha,JAK-STAT,12
Santinha,MAPK,6
Santinha,NFkB,6
Santinha,PI3K,5
Santinha,TGFb,19
Santinha,TNFa,5
Santinha,Trail,7
Santinha,VEGF,27
Santinha,WNT,16
Santinha,p53,12
Shifrut,Androgen,6
Shifrut,EGFR,13
Shifrut,Estrogen,5
Shifrut,Hypoxia,22
Shifrut,JAK-STAT,15
Shifrut,MAPK,16
Shifrut,NFkB,13
Shifrut,PI3K,15
Shifrut,TGFb,6
Shifrut,TNFa,15
Shifrut,Trail,16
Shifrut,WNT,11
Shifrut,p53,10
Liang,Androgen,8
Liang,EGFR,16
Liang,Estrogen,8
Liang,Hypoxia,22
Liang,JAK-STAT,7
Liang,MAPK,31
Liang,NFkB,14
Liang,PI3K,14
Liang,TGFb,14
Liang,TNFa,20
Liang,Trail,17
Liang,WNT,9
Liang,p53,9
Tian_CRISPRi,Androgen,12
Tian_CRISPRi,EGFR,14
Tian_CRISPRi,Estrogen,5
Tian_CRISPRi,Hypoxia,20
Tian_CRISPRi,JAK-STAT,10
Tian_CRISPRi,MAPK,26
Tian_CRISPRi,NFkB,6
Tian_CRISPRi,PI3K,17
Tian_CRISPRi,Trail,17
Tian_CRISPRi,VEGF,8
Tian_CRISPRi,WNT,11
Tian_CRISPRi,p53,8
Nadig_two_cellline,Androgen,6
Nadig_two_cellline,EGFR,15
Nadig_two_cellline,Estrogen,5
Nadig_two_cellline,Hypoxia,34
Nadig_two_cellline,JAK-STAT,7
Nadig_two_cellline,MAPK,24
Nadig_two_cellline,PI3K,11
Nadig_two_cellline,Trail,15
Nadig_two_cellline,WNT,5
Nadig_two_cellline,p53,10
