metric,n_bootstrap,median,ci95_low,ci95_high,fraction_above_zero
safeconf_calibrated_pair_risk__protein_rmse_two_predictor_mean,3000,0.21811205472649028,0.1617577561487361,0.2779152979784643,1.0
baseline_predicted_magnitude__protein_rmse_two_predictor_mean,3000,0.2110367504393773,0.1341500831308566,0.2861762560292945,1.0
risk_model_disagreement__protein_rmse_two_predictor_mean,3000,0.19778683377107653,0.11931950653826014,0.27111702317168107,1.0
directional_risk_frozen__protein_rmse_two_predictor_mean,3000,-0.07279912335949423,-0.151992097763666,0.006057407535358913,0.035666666666666666
delta_vs_baseline_predicted_magnitude__protein_rmse_two_predictor_mean,3000,0.007675664643027741,-0.05576640863678675,0.0772502521293483,0.5893333333333334
delta_vs_risk_model_disagreement__protein_rmse_two_predictor_mean,3000,0.020776888436494834,-0.04288423065199993,0.08855270750820245,0.7386666666666667
delta_vs_directional_risk_frozen__protein_rmse_two_predictor_mean,3000,0.2910266541257198,0.19391419544766242,0.3853887492346874,1.0
safeconf_calibrated_pair_risk__protein_cosine_error_two_predictor_mean,3000,0.1456841113538035,0.09263779280303568,0.19690298070567963,1.0
baseline_predicted_magnitude__protein_cosine_error_two_predictor_mean,3000,0.007969053274903012,-0.0569838879323327,0.07636682125306668,0.592
risk_model_disagreement__protein_cosine_error_two_predictor_mean,3000,0.00509689040222625,-0.060706705332510255,0.0747928390647485,0.559
directional_risk_frozen__protein_cosine_error_two_predictor_mean,3000,-0.19082550961846723,-0.2668573913268807,-0.11157655817091021,0.0
delta_vs_baseline_predicted_magnitude__protein_cosine_error_two_predictor_mean,3000,0.13747369955348698,0.06340356958418224,0.2092073878740658,1.0
delta_vs_risk_model_disagreement__protein_cosine_error_two_predictor_mean,3000,0.14044155988033263,0.06946696488311573,0.21065087186851147,1.0
delta_vs_directional_risk_frozen__protein_cosine_error_two_predictor_mean,3000,0.33707697533087,0.22551102707705567,0.4413135459884354,1.0
