score,endpoint,spearman
baseline_predicted_magnitude,protein_cosine_error_two_predictor_mean,0.007490781568293752
baseline_predicted_magnitude,protein_excess_rmse_over_true_rna_oracle,0.20368147878010956
baseline_predicted_magnitude,protein_rmse_two_predictor_mean,0.21032464351099767
directional_risk_frozen,protein_cosine_error_two_predictor_mean,-0.19224344027082482
directional_risk_frozen,protein_excess_rmse_over_true_rna_oracle,0.04768977444772293
directional_risk_frozen,protein_rmse_two_predictor_mean,-0.07400457514172992
risk_model_disagreement,protein_cosine_error_two_predictor_mean,0.004381563873325306
risk_model_disagreement,protein_excess_rmse_over_true_rna_oracle,0.21678233450106277
risk_model_disagreement,protein_rmse_two_predictor_mean,0.19803917234875698
safeconf_calibrated_pair_risk,protein_cosine_error_two_predictor_mean,0.14607532693191722
safeconf_calibrated_pair_risk,protein_excess_rmse_over_true_rna_oracle,0.08210244453632963
safeconf_calibrated_pair_risk,protein_rmse_two_predictor_mean,0.21980951461812281
safeconf_frozen_pair_risk,protein_cosine_error_two_predictor_mean,0.0963993781932979
safeconf_frozen_pair_risk,protein_excess_rmse_over_true_rna_oracle,0.1272880313260912
safeconf_frozen_pair_risk,protein_rmse_two_predictor_mean,0.23984406944490488
