dataset,fold_id,score,endpoint,subset,n_tasks,spearman
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,279,-0.04374785885577252
Frangieh,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,279,-0.1743350020444474
Frangieh,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,279,-0.20584490932599545
Frangieh,frangieh_context_holdout_1_Co-culture,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,97,-0.2390694355440232
Frangieh,frangieh_context_holdout_1_Co-culture,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,100,0.37593028776930604
Frangieh,frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,279,-0.005081833150990728
Frangieh,frangieh_context_holdout_2_Control,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,279,-0.02218667462343489
Frangieh,frangieh_context_holdout_2_Control,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,279,-0.030538518493960592
Frangieh,frangieh_context_holdout_2_Control,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,105,-0.14050253588413034
Frangieh,frangieh_context_holdout_2_Control,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,105,0.3376927545770291
Frangieh,frangieh_context_holdout_3_IFNγ,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,279,0.014380113441059796
Frangieh,frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,279,-0.02104288919095139
Frangieh,frangieh_context_holdout_3_IFNγ,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,279,-0.02762158936445314
Frangieh,frangieh_context_holdout_3_IFNγ,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,98,-0.1778518250965726
Frangieh,frangieh_context_holdout_3_IFNγ,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,98,0.13800880658886902
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,64,0.032921245421245415
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,64,-0.04455128205128204
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,64,-0.030311355311355308
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,30,
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,30,0.2085872968719227
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,-0.20952780852769398
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,-0.17475283429400312
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,-0.1794480284001985
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,35,-0.5740009792526548
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,35,0.36918358388130285
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.06817574531434897
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.004809711035614765
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.05909073558040997
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,35,-0.37997247922358834
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,35,0.4823433030786371
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.20857350078253234
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,-0.30686719853418326
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,-0.19593846623659197
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,35,
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,35,0.4894157855284705
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.21261976562201773
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,-0.10985990762301025
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,-0.021910905828911705
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,35,
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,35,-0.031118922779266908
Liang,Liang_context_holdout_1_DM2_1,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,-0.20248888213945382
Liang,Liang_context_holdout_1_DM2_1,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.11341209705652132
Liang,Liang_context_holdout_1_DM2_1,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.0745519439755591
Liang,Liang_context_holdout_1_DM2_1,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,36,
Liang,Liang_context_holdout_1_DM2_1,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.3375686140178919
Liang,Liang_context_holdout_2_DM2_2,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,-0.15005678185954371
Liang,Liang_context_holdout_2_DM2_2,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,-0.09516447651382408
Liang,Liang_context_holdout_2_DM2_2,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,-0.07418859209972607
Liang,Liang_context_holdout_2_DM2_2,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,45,0.20533080093573813
Liang,Liang_context_holdout_2_DM2_2,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.6424692976469555
Liang,Liang_context_holdout_3_DM2_3,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.051456273619116685
Liang,Liang_context_holdout_3_DM2_3,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.15799519028896436
Liang,Liang_context_holdout_3_DM2_3,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.20384013436653048
Liang,Liang_context_holdout_3_DM2_3,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.08555450038989089
Liang,Liang_context_holdout_3_DM2_3,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.17301903872601626
Liang,Liang_context_holdout_4_DM2_4,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.14101257431421643
Liang,Liang_context_holdout_4_DM2_4,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.16868343703477495
Liang,Liang_context_holdout_4_DM2_4,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.19414436767568807
Liang,Liang_context_holdout_4_DM2_4,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,36,
Liang,Liang_context_holdout_4_DM2_4,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.35692738758164194
Liang,Liang_context_holdout_5_DM2_5,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.05809825552544184
Liang,Liang_context_holdout_5_DM2_5,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.6724815818605182
Liang,Liang_context_holdout_5_DM2_5,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.7291674619231209
Liang,Liang_context_holdout_5_DM2_5,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,45,0.37216207669602536
Liang,Liang_context_holdout_5_DM2_5,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.37870600784086084
Liang,Liang_context_holdout_6_DM2_6,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.7928655272484489
Liang,Liang_context_holdout_6_DM2_6,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.6874326014036105
Liang,Liang_context_holdout_6_DM2_6,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.6693005812094404
Liang,Liang_context_holdout_6_DM2_6,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,45,0.14669540980778398
Liang,Liang_context_holdout_6_DM2_6,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.15124041846679745
Liang,Liang_context_holdout_7_EM2_1,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,-0.023514367241281843
Liang,Liang_context_holdout_7_EM2_1,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.2818861118396847
Liang,Liang_context_holdout_7_EM2_1,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.3728325078662334
Liang,Liang_context_holdout_7_EM2_1,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,45,0.1187534269872537
Liang,Liang_context_holdout_7_EM2_1,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.2843319867175792
Liang,Liang_context_holdout_8_EM2_2,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.5042180402336145
Liang,Liang_context_holdout_8_EM2_2,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.6380119861052792
Liang,Liang_context_holdout_8_EM2_2,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.6243844715043707
Liang,Liang_context_holdout_8_EM2_2,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,45,0.2165503668591097
Liang,Liang_context_holdout_8_EM2_2,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.321839610497345
Liang,Liang_context_holdout_9_EM2_3,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,68,0.1858991487574913
Liang,Liang_context_holdout_9_EM2_3,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,68,0.15383440852005953
Liang,Liang_context_holdout_9_EM2_3,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,68,0.22777417261518493
Liang,Liang_context_holdout_9_EM2_3,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,36,-0.08954072453847292
Liang,Liang_context_holdout_9_EM2_3,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,45,-0.2129465092012508
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,128,-0.1265835137014647
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,128,0.01166224134773851
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,128,-0.16450169382896904
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,74,-0.29584482233892706
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,76,0.21766337158921692
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,128,-0.06932880109506445
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,128,-0.08002769639260209
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,128,-0.03011696575718733
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,74,-0.30509241889774413
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,76,0.3031750349591292
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,46,0.17878579883801468
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,46,-0.026333641689793397
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,46,-0.06555658341042245
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,20,0.07008766440504624
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,20,-0.2947153590452029
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,50,0.07672419200819144
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,50,-0.06756302521008403
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,50,-0.254453781512605
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,25,-0.36055512754639896
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,25,-0.32163046162662184
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,50,-0.15265306122448982
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,50,-0.2546458583433373
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,50,-0.04605042016806723
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,25,
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,25,-0.1647375535160746
Santinha,Santinha_context_holdout_4_Neurons_L_5,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,50,-0.3527150793606755
Santinha,Santinha_context_holdout_4_Neurons_L_5,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,50,-0.08206482593037215
Santinha,Santinha_context_holdout_4_Neurons_L_5,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,50,-0.11807923169267706
Santinha,Santinha_context_holdout_4_Neurons_L_5,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,20,0.13016280532365732
Santinha,Santinha_context_holdout_4_Neurons_L_5,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,25,0.0823687767580373
Santinha,Santinha_context_holdout_5_Neurons_L_6,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,46,-0.22418719462332914
Santinha,Santinha_context_holdout_5_Neurons_L_6,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,46,-0.14511255010792476
Santinha,Santinha_context_holdout_5_Neurons_L_6,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,46,-0.09281529448041935
Santinha,Santinha_context_holdout_5_Neurons_L_6,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,20,-0.0940146987210281
Santinha,Santinha_context_holdout_5_Neurons_L_6,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,20,0.27144835701531844
Shifrut,Shifrut_context_holdout_1_D1_nostim,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,40,0.200750469043152
Shifrut,Shifrut_context_holdout_1_D1_nostim,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,40,-0.24727954971857413
Shifrut,Shifrut_context_holdout_1_D1_nostim,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,40,0.08649155722326454
Shifrut,Shifrut_context_holdout_1_D1_nostim,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,20,-0.319921277910911
Shifrut,Shifrut_context_holdout_1_D1_nostim,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,20,0.28817548955793393
Shifrut,Shifrut_context_holdout_2_D1_stim,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,39,0.16376518218623481
Shifrut,Shifrut_context_holdout_2_D1_stim,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,39,0.15506072874493926
Shifrut,Shifrut_context_holdout_2_D1_stim,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,39,0.31720647773279353
Shifrut,Shifrut_context_holdout_2_D1_stim,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,20,0.23845524161913298
Shifrut,Shifrut_context_holdout_2_D1_stim,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,20,-0.06131393394849658
Shifrut,Shifrut_context_holdout_3_D2_nostim,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,40,-0.2335834896810507
Shifrut,Shifrut_context_holdout_3_D2_nostim,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,40,-0.1705440900562852
Shifrut,Shifrut_context_holdout_3_D2_nostim,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,40,-0.21257035647279554
Shifrut,Shifrut_context_holdout_3_D2_nostim,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,20,0.4070955871077535
Shifrut,Shifrut_context_holdout_3_D2_nostim,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,20,0.2207301622145877
Shifrut,Shifrut_context_holdout_4_D2_stim,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,36,0.1564993564993565
Shifrut,Shifrut_context_holdout_4_D2_stim,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,36,0.2805662805662806
Shifrut,Shifrut_context_holdout_4_D2_stim,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,36,0.3021879021879022
Shifrut,Shifrut_context_holdout_4_D2_stim,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,18,0.6264302520481546
Shifrut,Shifrut_context_holdout_4_D2_stim,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,18,0.042181703503518006
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,183,0.04098556468478066
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,183,-0.05244256812325238
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,183,-0.02489954806419525
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,79,0.013642001992460009
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,83,-0.08920236155953812
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,183,-0.00568444385265483
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,183,-0.11070664901741169
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,183,-0.06420699756408953
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,72,-0.052126927218633115
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,80,0.28963368100371956
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,183,0.04278900002349753
