dataset,predictor,similarity,score,n_folds,spearman_risk_vs_retrieval_error
Frangieh,GEARS,cosine,baseline_predicted_magnitude,3,-0.05483572628037528
Frangieh,GEARS,cosine,directional_risk_frozen,3,0.014643523252229451
Frangieh,GEARS,cosine,risk_model_disagreement,3,-0.05780342982496395
Frangieh,GEARS,cosine,safeconf_calibrated_pair_risk,3,-0.046133703201969335
Frangieh,GEARS,pearson,baseline_predicted_magnitude,3,-0.033360381524379146
Frangieh,GEARS,pearson,directional_risk_frozen,3,0.02834423162472824
Frangieh,GEARS,pearson,risk_model_disagreement,3,-0.036815820676185405
Frangieh,GEARS,pearson,safeconf_calibrated_pair_risk,3,-0.031062538506175085
Frangieh,scGPT,cosine,baseline_predicted_magnitude,3,-0.03987554683823269
Frangieh,scGPT,cosine,directional_risk_frozen,3,-0.03273376206938149
Frangieh,scGPT,cosine,risk_model_disagreement,3,-0.02510530932830742
Frangieh,scGPT,cosine,safeconf_calibrated_pair_risk,3,-0.038888537410187086
Frangieh,scGPT,pearson,baseline_predicted_magnitude,3,-0.0023017604441013437
Frangieh,scGPT,pearson,directional_risk_frozen,3,-0.02958963966074662
Frangieh,scGPT,pearson,risk_model_disagreement,3,0.010514535719101084
Frangieh,scGPT,pearson,safeconf_calibrated_pair_risk,3,-0.04769842803988005
Lara_exvivo,GEARS,cosine,baseline_predicted_magnitude,5,-0.39679417696953345
Lara_exvivo,GEARS,cosine,directional_risk_frozen,5,0.5208030492165735
Lara_exvivo,GEARS,cosine,risk_model_disagreement,5,-0.35700933687711467
Lara_exvivo,GEARS,cosine,safeconf_calibrated_pair_risk,5,0.004506414816926002
Lara_exvivo,GEARS,pearson,baseline_predicted_magnitude,5,-0.39761519209506263
Lara_exvivo,GEARS,pearson,directional_risk_frozen,5,0.4992228457911728
Lara_exvivo,GEARS,pearson,risk_model_disagreement,5,-0.3615057118828402
Lara_exvivo,GEARS,pearson,safeconf_calibrated_pair_risk,5,-0.0004991188149944565
Lara_exvivo,scGPT,cosine,baseline_predicted_magnitude,5,-0.2022248008703748
Lara_exvivo,scGPT,cosine,directional_risk_frozen,5,-0.09821115591056803
Lara_exvivo,scGPT,cosine,risk_model_disagreement,5,-0.08341437791122672
