setting,score,fold_macro_spearman_absolute_rmse
context_and_perturbation_unseen,baseline_predicted_magnitude,0.058461538461538454
context_and_perturbation_unseen,risk_model_disagreement,-0.058461538461538454
context_and_perturbation_unseen,safeconf_calibrated_pair_risk,-0.1774358974358974
context_and_perturbation_unseen,safeconf_frozen_pair_risk,-0.1774358974358974
context_unseen,baseline_predicted_magnitude,0.259568789546002
context_unseen,risk_model_disagreement,-0.032750733668455406
context_unseen,safeconf_calibrated_pair_risk,0.21440595386221506
context_unseen,safeconf_frozen_pair_risk,0.16634759921578973
perturbation_unseen,baseline_predicted_magnitude,-0.11623931623931615
perturbation_unseen,risk_model_disagreement,-0.0372649572649573
perturbation_unseen,safeconf_calibrated_pair_risk,-0.0779487179487179
perturbation_unseen,safeconf_frozen_pair_risk,-0.0372649572649573
random_seen_pair,baseline_predicted_magnitude,0.07499999999999996
random_seen_pair,risk_model_disagreement,-0.0838235294117647
random_seen_pair,safeconf_calibrated_pair_risk,-0.08676470588235295
random_seen_pair,safeconf_frozen_pair_risk,-0.0838235294117647
