fold_id,task_id,split,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,training_support_count,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,safeconf_frozen_pair_risk,safeconf_calibrated_pair_risk,test_truth_used_for_score_or_threshold,dataset,error_scgpt_rmse,error_gears_rmse,error_two_predictor_mean_rmse,error_two_predictor_max_rmse
Replogle_cellline_holdout_1_K562,K562::ADSL,test,context_unseen,K562,ADSL,0.0754762931677245,0.0358528569340705,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0635945188034894,0.0760982729484369,0.0698463958759631,0.0760982729484369
Replogle_cellline_holdout_1_K562,K562::DNM1,test,context_unseen,K562,DNM1,0.0754778583779313,0.0358693301677703,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0649073958398235,0.0651907988909532,0.0650490973653883,0.0651907988909532
Replogle_cellline_holdout_1_K562,K562::SNW1,test,context_and_perturbation_unseen,K562,SNW1,0.0754302858635512,0.0358802527189254,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0645801706511214,0.0746389936689488,0.0696095821600351,0.0746389936689488
Replogle_cellline_holdout_1_K562,K562::SART3,test,context_unseen,K562,SART3,0.0754433602069389,0.0358725376427173,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1033870071661293,0.1108842835926298,0.1071356453793796,0.1108842835926298
Replogle_cellline_holdout_1_K562,K562::PPP1CA,test,context_and_perturbation_unseen,K562,PPP1CA,0.0754526083291861,0.035869650542736,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0640336108780773,0.0678634909870428,0.06594855093256,0.0678634909870428
Replogle_cellline_holdout_1_K562,K562::RPL35A,test,context_unseen,K562,RPL35A,0.0754667856368138,0.035851240158081,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1635023338837817,0.158834655546897,0.1611684947153393,0.1635023338837817
Replogle_cellline_holdout_1_K562,K562::VEZT,test,context_unseen,K562,VEZT,0.0754654780754383,0.0358566269278526,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0579709256470196,0.0624582683631086,0.0602145970050641,0.0624582683631086
Replogle_cellline_holdout_1_K562,K562::DRG1,test,context_and_perturbation_unseen,K562,DRG1,0.0754791915785283,0.0358558371663093,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0624766426147883,0.0681033621388693,0.0652900023768288,0.0681033621388693
Replogle_cellline_holdout_1_K562,K562::SF3A2,test,context_unseen,K562,SF3A2,0.0754129073641054,0.0358762107789516,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1245209747400043,0.1287375539138839,0.1266292643269441,0.1287375539138839
Replogle_cellline_holdout_1_K562,K562::ERAL1,test,context_unseen,K562,ERAL1,0.0754794546984818,0.0358678810298442,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0665481967332184,0.0748932555351827,0.0707207261342005,0.0748932555351827
Replogle_cellline_holdout_1_K562,K562::PSTK,test,context_unseen,K562,PSTK,0.0754823530597753,0.0358632653951644,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0583357837083963,0.0582105242641777,0.058273153986287,0.0583357837083963
Replogle_cellline_holdout_1_K562,K562::DDX5,test,context_unseen,K562,DDX5,0.0754451072034857,0.0358770973980426,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1007770786209186,0.100216049886743,0.1004965642538308,0.1007770786209186
Replogle_cellline_holdout_1_K562,K562::UBE2M,test,context_unseen,K562,UBE2M,0.0755127494603475,0.0358221679925918,1.0,1,0.5,5.0,3.9735486820910246,6.5,0.5863995692229429,False,Replogle_two_cellline,0.0627353948972673,0.0657656994987688,0.0642505471980181,0.0657656994987688
Replogle_cellline_holdout_1_K562,K562::SERBP1,test,context_unseen,K562,SERBP1,0.0755057725594582,0.0358407832682132,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.1098436970497842,0.1136345245891286,0.1117391108194564,0.1136345245891286
Replogle_cellline_holdout_1_K562,K562::USP9X,test,context_unseen,K562,USP9X,0.0754878985431041,0.0358748398721218,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0626963007601707,0.0718696292339658,0.0672829649970682,0.0718696292339658
Replogle_cellline_holdout_1_K562,K562::DNAJA1,test,context_unseen,K562,DNAJA1,0.0754719421335784,0.0358654968440532,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0688922184155118,0.0776495319695004,0.0732708751925061,0.0776495319695004
Replogle_cellline_holdout_1_K562,K562::RNASEH2C,test,context_and_perturbation_unseen,K562,RNASEH2C,0.0754099397379376,0.0358689129352569,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0829999619173877,0.0959528078252566,0.0894763848713222,0.0959528078252566
Replogle_cellline_holdout_1_K562,K562::MTG2,test,context_and_perturbation_unseen,K562,MTG2,0.0754678510946066,0.0358613617718219,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0643771703587744,0.0631561456794423,0.0637666580191084,0.0643771703587744
Replogle_cellline_holdout_1_K562,K562::PXN,test,context_unseen,K562,PXN,0.0754678104410897,0.0358592681586742,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0606779942878327,0.0674584671629017,0.0640682307253672,0.0674584671629017
Replogle_cellline_holdout_1_K562,K562::WDR4,test,context_unseen,K562,WDR4,0.0754884054487381,0.0358700267970562,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0539265993827847,0.060774151754729,0.0573503755687569,0.060774151754729
Replogle_cellline_holdout_1_K562,K562::SS18L2,test,context_unseen,K562,SS18L2,0.0754782368348318,0.0358520299196243,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0774348876903453,0.0853330681695002,0.0813839779299228,0.0853330681695002
Replogle_cellline_holdout_1_K562,K562::DCAF6,test,context_unseen,K562,DCAF6,0.0754820376263704,0.0358491167426109,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.059924248795059,0.0639572425058212,0.0619407456504401,0.0639572425058212
Replogle_cellline_holdout_1_K562,K562::TM7SF2,test,context_unseen,K562,TM7SF2,0.0754885167906728,0.0358609892427921,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0692628386252807,0.0740601412895687,0.0716614899574247,0.0740601412895687
Replogle_cellline_holdout_1_K562,K562::ARL4D,test,context_and_perturbation_unseen,K562,ARL4D,0.0754743668813469,0.0358706563711166,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0579637052559103,0.0683764624473321,0.0631700838516212,0.0683764624473321
Replogle_cellline_holdout_1_K562,K562::TWF1,test,context_unseen,K562,TWF1,0.075518483249371,0.035855121910572,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0594333838380718,0.0674307609152114,0.0634320723766416,0.0674307609152114
