condition,perturbation_genes,n_perturbation_genes,n_cells_obs_metadata,is_single_gene_plus_ctrl,all_perturbation_genes_in_scgpt_embedding,all_perturbation_genes_in_expression_var_metadata,was_P1_test,was_P2_test,eligible_new_test_before_sha,selection_sha256,contains_any_P3P4_heldout_gene,P3_split,P4_split,new_test_SHA_assignment
AHR+FEV,AHR;FEV,2,276,False,True,True,False,False,False,,True,excluded,excluded,
AHR+KLF1,AHR;KLF1,2,481,False,True,True,False,False,False,,True,excluded,excluded,
AHR+ctrl,AHR,1,558,True,True,True,False,False,True,64bdc109fdcffc996d311228e1e20fc2147fd294d83e291ac0a174ba237ac567,True,test,excluded,Norman_P3_test
ARID1A+ctrl,ARID1A,1,232,True,True,True,False,False,True,8e5327b2f310311f056eaa3bfd5d929cb304f01ef868d5ed0399654540a8dfb7,True,excluded,test,Norman_P4_test
ARRDC3+ctrl,ARRDC3,1,495,True,True,True,False,True,False,,False,train,train,
ATL1+ctrl,ATL1,1,379,True,True,True,False,True,False,,False,train,train,
BAK1+BCL2L11,BAK1;BCL2L11,2,175,False,True,True,False,False,False,,True,excluded,excluded,
BAK1+KLF1,BAK1;KLF1,2,395,False,True,True,False,False,False,,True,excluded,excluded,
BAK1+TMSB4X,BAK1;TMSB4X,2,329,False,True,True,False,False,False,,True,excluded,excluded,
BAK1+ctrl,BAK1,1,1457,True,True,True,False,False,True,c28c27bf86ea6dd9c0c1a82d1bee1aba71d8c6515e28e5a322e65c1e4b4c8587,True,excluded,test,Norman_P4_test
BCL2L11+TGFBR2,BCL2L11;TGFBR2,2,463,False,True,True,False,False,False,,True,excluded,excluded,
BCL2L11+ctrl,BCL2L11,1,582,True,True,True,True,False,False,,False,train,train,
BCORL1+ctrl,BCORL1,1,533,True,True,True,False,False,True,d06c7469d0bc67fbe12014877cf06eacd9e5502fa3cdb5182f50230168d5f986,True,excluded,test,Norman_P4_test
BPGM+SAMD1,BPGM;SAMD1,2,301,False,True,True,False,False,False,,False,train,train,
BPGM+ZBTB1,BPGM;ZBTB1,2,358,False,True,True,False,False,False,,True,excluded,excluded,
BPGM+ctrl,BPGM,1,464,True,True,True,False,True,False,,False,train,train,
C19orf26+TGFBR2,C19orf26;TGFBR2,2,325,False,False,False,False,False,False,,True,excluded,excluded,
C19orf26+ctrl,C19orf26,1,872,True,False,False,False,False,False,,False,excluded,excluded,
C3orf72+FOXL2,C3orf72;FOXL2,2,59,False,False,False,False,False,False,,True,excluded,excluded,
C3orf72+ctrl,C3orf72,1,264,True,False,False,False,False,False,,False,excluded,excluded,
CBFA2T3+FEV,CBFA2T3;FEV,2,159,False,True,True,False,False,False,,False,train,train,
CBFA2T3+POU3F2,CBFA2T3;POU3F2,2,216,False,True,True,False,False,False,,False,train,train,
