panel,split,condition
Norman_P4,train,ARRDC3+ctrl
Norman_P4,train,ATL1+ctrl
Norman_P4,train,BCL2L11+ctrl
Norman_P4,train,BPGM+SAMD1
Norman_P4,train,BPGM+ctrl
Norman_P4,train,CBFA2T3+FEV
Norman_P4,train,CBFA2T3+POU3F2
Norman_P4,train,CBFA2T3+PRDM1
Norman_P4,train,CDKN1C+ctrl
Norman_P4,train,CEBPA+CEBPB
Norman_P4,train,CEBPA+JUN
Norman_P4,train,CEBPA+ctrl
Norman_P4,train,CEBPB+FOSB
Norman_P4,train,CEBPB+OSR2
Norman_P4,train,CEBPB+PTPN12
Norman_P4,train,CEBPB+ctrl
Norman_P4,train,CKS1B+ctrl
Norman_P4,train,CLDN6+ctrl
Norman_P4,train,COL1A1+ctrl
Norman_P4,train,COL2A1+ctrl
Norman_P4,train,CSRNP1+ctrl
Norman_P4,train,DLX2+SNAI1
Norman_P4,train,DLX2+ZBTB10
Norman_P4,train,FEV+ctrl
Norman_P4,train,FOSB+IKZF3
Norman_P4,train,FOSB+ctrl
Norman_P4,train,FOXA1+ctrl
Norman_P4,train,FOXA3+ctrl
Norman_P4,train,HES7+ctrl
Norman_P4,train,HK2+ctrl
Norman_P4,train,HOXA13+ctrl
Norman_P4,train,IGDCC3+MAPK1
Norman_P4,train,IGDCC3+ctrl
Norman_P4,train,IKZF3+MAPK1
Norman_P4,train,IKZF3+ctrl
Norman_P4,train,JUN+ctrl
Norman_P4,train,MAP2K6+SPI1
Norman_P4,train,MAPK1+ctrl
Norman_P4,train,MEIS1+ctrl
Norman_P4,train,NCL+ctrl
Norman_P4,train,NIT1+ctrl
Norman_P4,train,OSR2+ctrl
Norman_P4,train,PLK4+STIL
Norman_P4,train,POU3F2+ctrl
Norman_P4,train,PRDM1+ctrl
Norman_P4,train,PTPN12+SAMD1
Norman_P4,train,PTPN12+SNAI1
Norman_P4,train,PTPN12+ctrl
Norman_P4,train,PTPN13+ctrl
Norman_P4,train,S1PR2+SGK1
Norman_P4,train,S1PR2+ctrl
Norman_P4,train,SAMD1+ctrl
Norman_P4,train,SGK1+TBX3
Norman_P4,train,SLC38A2+ctrl
Norman_P4,train,SLC6A9+ctrl
Norman_P4,train,SNAI1+ZBTB10
Norman_P4,train,SNAI1+ctrl
Norman_P4,train,STIL+ctrl
Norman_P4,train,TBX3+ctrl
Norman_P4,train,TP73+ctrl
Norman_P4,train,TSC22D1+ctrl
Norman_P4,train,ZBTB10+ctrl
Norman_P4,train,ZC3HAV1+ctrl
Norman_P4,train,ctrl
Norman_P4,val,CBFA2T3+ctrl
Norman_P4,val,CEBPA+ZC3HAV1
Norman_P4,val,CEBPB+JUN
Norman_P4,val,CEBPB+MAPK1
Norman_P4,val,CELF2+ctrl
Norman_P4,val,DLX2+ctrl
Norman_P4,val,FOSB+OSR2
Norman_P4,val,FOSB+PTPN12
Norman_P4,val,FOXA1+FOXA3
Norman_P4,val,IER5L+ctrl
Norman_P4,val,IKZF3+MAP2K6
Norman_P4,val,MAP2K6+ctrl
Norman_P4,val,MIDN+ctrl
Norman_P4,val,OSR2+PTPN12
Norman_P4,val,PLK4+ctrl
Norman_P4,val,PTPN12+ZBTB10
Norman_P4,val,RREB1+ctrl
Norman_P4,val,SGK1+ctrl
Norman_P4,val,SLC4A1+ctrl
Norman_P4,val,SPI1+ctrl
Norman_P4,test,ARID1A+ctrl
Norman_P4,test,BAK1+ctrl
Norman_P4,test,BCORL1+ctrl
Norman_P4,test,CDKN1B+ctrl
Norman_P4,test,ETS2+ctrl
Norman_P4,test,FOXL2+ctrl
Norman_P4,test,GLB1L2+ctrl
Norman_P4,test,HNF4A+ctrl
Norman_P4,test,ISL2+ctrl
Norman_P4,test,KIF18B+ctrl
Norman_P4,test,KLF1+ctrl
Norman_P4,test,LYL1+ctrl
Norman_P4,test,MAML2+ctrl
Norman_P4,test,MAP4K3+ctrl
Norman_P4,test,MAP4K5+ctrl
Norman_P4,test,MAP7D1+ctrl
Norman_P4,test,PRTG+ctrl
Norman_P4,test,PTPN1+ctrl
Norman_P4,test,RUNX1T1+ctrl
Norman_P4,test,TBX2+ctrl
Norman_P4,test,TMSB4X+ctrl
Norman_P4,test,UBASH3A+ctrl
Norman_P4,test,UBASH3B+ctrl
Norman_P4,test,ZBTB1+ctrl
