panel,split,condition,n_cells_input_or_metadata,expression_matrix_read,n_perturbation_genes,training_edistance_label_finite,expression_used_for_gene_selection,expression_used_for_pca_fit,expression_used_for_edistance_fit,expression_role_if_not_train
Norman_P3,train,ARRDC3+ctrl,495,True,1,True,True,True,True,fit
Norman_P3,train,ATL1+ctrl,379,True,1,True,True,True,True,fit
Norman_P3,train,BCL2L11+ctrl,582,True,1,True,True,True,True,fit
Norman_P3,train,BPGM+SAMD1,301,True,2,True,True,True,True,fit
Norman_P3,train,BPGM+ctrl,464,True,1,True,True,True,True,fit
Norman_P3,train,CBFA2T3+FEV,159,True,2,True,True,True,True,fit
Norman_P3,train,CBFA2T3+POU3F2,216,True,2,True,True,True,True,fit
Norman_P3,train,CBFA2T3+PRDM1,106,True,2,True,True,True,True,fit
Norman_P3,train,CDKN1C+ctrl,230,True,1,True,True,True,True,fit
Norman_P3,train,CEBPA+CEBPB,64,True,2,True,True,True,True,fit
Norman_P3,train,CEBPA+JUN,54,True,2,True,True,True,True,fit
Norman_P3,train,CEBPA+ctrl,460,True,1,True,True,True,True,fit
Norman_P3,train,CEBPB+FOSB,71,True,2,True,True,True,True,fit
Norman_P3,train,CEBPB+OSR2,211,True,2,True,True,True,True,fit
Norman_P3,train,CEBPB+PTPN12,331,True,2,True,True,True,True,fit
Norman_P3,train,CEBPB+ctrl,488,True,1,True,True,True,True,fit
Norman_P3,train,CKS1B+ctrl,241,True,1,True,True,True,True,fit
Norman_P3,train,CLDN6+ctrl,670,True,1,True,True,True,True,fit
Norman_P3,train,COL1A1+ctrl,328,True,1,True,True,True,True,fit
Norman_P3,train,COL2A1+ctrl,598,True,1,True,True,True,True,fit
Norman_P3,train,CSRNP1+ctrl,478,True,1,True,True,True,True,fit
Norman_P3,train,DLX2+SNAI1,131,True,2,True,True,True,True,fit
Norman_P3,train,DLX2+ZBTB10,89,True,2,True,True,True,True,fit
Norman_P3,train,FEV+ctrl,704,True,1,True,True,True,True,fit
Norman_P3,train,FOSB+IKZF3,247,True,2,True,True,True,True,fit
Norman_P3,train,FOSB+ctrl,630,True,1,True,True,True,True,fit
Norman_P3,train,FOXA1+ctrl,851,True,1,True,True,True,True,fit
Norman_P3,train,FOXA3+ctrl,494,True,1,True,True,True,True,fit
Norman_P3,train,HES7+ctrl,126,True,1,True,True,True,True,fit
Norman_P3,train,HK2+ctrl,303,True,1,True,True,True,True,fit
Norman_P3,train,HOXA13+ctrl,274,True,1,True,True,True,True,fit
Norman_P3,train,IGDCC3+MAPK1,368,True,2,True,True,True,True,fit
Norman_P3,train,IGDCC3+ctrl,613,True,1,True,True,True,True,fit
Norman_P3,train,IKZF3+MAPK1,302,True,2,True,True,True,True,fit
Norman_P3,train,IKZF3+ctrl,681,True,1,True,True,True,True,fit
Norman_P3,train,JUN+ctrl,266,True,1,True,True,True,True,fit
Norman_P3,train,MAP2K6+SPI1,302,True,2,True,True,True,True,fit
Norman_P3,train,MAPK1+ctrl,765,True,1,True,True,True,True,fit
Norman_P3,train,MEIS1+ctrl,776,True,1,True,True,True,True,fit
Norman_P3,train,NCL+ctrl,237,True,1,True,True,True,True,fit
Norman_P3,train,NIT1+ctrl,192,True,1,True,True,True,True,fit
Norman_P3,train,OSR2+ctrl,1003,True,1,True,True,True,True,fit
Norman_P3,train,PLK4+STIL,81,True,2,True,True,True,True,fit
Norman_P3,train,POU3F2+ctrl,359,True,1,True,True,True,True,fit
Norman_P3,train,PRDM1+ctrl,297,True,1,True,True,True,True,fit
Norman_P3,train,PTPN12+SAMD1,351,True,2,True,True,True,True,fit
Norman_P3,train,PTPN12+SNAI1,283,True,2,True,True,True,True,fit
Norman_P3,train,PTPN12+ctrl,445,True,1,True,True,True,True,fit
Norman_P3,train,PTPN13+ctrl,270,True,1,True,True,True,True,fit
Norman_P3,train,S1PR2+SGK1,358,True,2,True,True,True,True,fit
Norman_P3,train,S1PR2+ctrl,541,True,1,True,True,True,True,fit
Norman_P3,train,SAMD1+ctrl,498,True,1,True,True,True,True,fit
Norman_P3,train,SGK1+TBX3,300,True,2,True,True,True,True,fit
Norman_P3,train,SLC38A2+ctrl,332,True,1,True,True,True,True,fit
Norman_P3,train,SLC6A9+ctrl,558,True,1,True,True,True,True,fit
Norman_P3,train,SNAI1+ZBTB10,100,True,2,True,True,True,True,fit
Norman_P3,train,SNAI1+ctrl,467,True,1,True,True,True,True,fit
Norman_P3,train,STIL+ctrl,309,True,1,True,True,True,True,fit
Norman_P3,train,TBX3+ctrl,691,True,1,True,True,True,True,fit
Norman_P3,train,TP73+ctrl,248,True,1,True,True,True,True,fit
Norman_P3,train,TSC22D1+ctrl,441,True,1,True,True,True,True,fit
Norman_P3,train,ZBTB10+ctrl,162,True,1,True,True,True,True,fit
Norman_P3,train,ZC3HAV1+ctrl,516,True,1,True,True,True,True,fit
Norman_P3,train,ctrl,11855,True,0,True,True,True,True,fit
Norman_P3,val,CBFA2T3+ctrl,658,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,CEBPA+ZC3HAV1,86,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,CEBPB+JUN,59,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,CEBPB+MAPK1,412,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,CELF2+ctrl,475,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,DLX2+ctrl,732,True,1,False,False,False,False,fixed_transform_validation
