condition,split,n_graphs,n_genes,max_abs_x_minus_train_control,n_bad_x_shape,n_bad_pca10_shape,n_nonfinite_pca10,n_bad_rank_label,rank_label_rule,n_bad_condition_label
ARRDC3+ctrl,train,495,2044,0.0,0,0,0,0,finite_train,0
ATL1+ctrl,train,379,2044,0.0,0,0,0,0,finite_train,0
BCL2L11+ctrl,train,582,2044,0.0,0,0,0,0,finite_train,0
BPGM+SAMD1,train,301,2044,0.0,0,0,0,0,finite_train,0
BPGM+ctrl,train,464,2044,0.0,0,0,0,0,finite_train,0
CBFA2T3+FEV,train,159,2044,0.0,0,0,0,0,finite_train,0
CBFA2T3+POU3F2,train,216,2044,0.0,0,0,0,0,finite_train,0
CBFA2T3+PRDM1,train,106,2044,0.0,0,0,0,0,finite_train,0
CBFA2T3+ctrl,val,658,2044,0.0,0,0,0,0,nan_validation_sentinel,0
CDKN1C+ctrl,train,230,2044,0.0,0,0,0,0,finite_train,0
CEBPA+CEBPB,train,64,2044,0.0,0,0,0,0,finite_train,0
CEBPA+JUN,train,54,2044,0.0,0,0,0,0,finite_train,0
CEBPA+ZC3HAV1,val,86,2044,0.0,0,0,0,0,nan_validation_sentinel,0
CEBPA+ctrl,train,460,2044,0.0,0,0,0,0,finite_train,0
CEBPB+FOSB,train,71,2044,0.0,0,0,0,0,finite_train,0
CEBPB+JUN,val,59,2044,0.0,0,0,0,0,nan_validation_sentinel,0
CEBPB+MAPK1,val,412,2044,0.0,0,0,0,0,nan_validation_sentinel,0
CEBPB+OSR2,train,211,2044,0.0,0,0,0,0,finite_train,0
CEBPB+PTPN12,train,331,2044,0.0,0,0,0,0,finite_train,0
CEBPB+ctrl,train,488,2044,0.0,0,0,0,0,finite_train,0
CELF2+ctrl,val,475,2044,0.0,0,0,0,0,nan_validation_sentinel,0
CKS1B+ctrl,train,241,2044,0.0,0,0,0,0,finite_train,0
CLDN6+ctrl,train,670,2044,0.0,0,0,0,0,finite_train,0
COL1A1+ctrl,train,328,2044,0.0,0,0,0,0,finite_train,0
COL2A1+ctrl,train,598,2044,0.0,0,0,0,0,finite_train,0
CSRNP1+ctrl,train,478,2044,0.0,0,0,0,0,finite_train,0
DLX2+SNAI1,train,131,2044,0.0,0,0,0,0,finite_train,0
DLX2+ZBTB10,train,89,2044,0.0,0,0,0,0,finite_train,0
DLX2+ctrl,val,732,2044,0.0,0,0,0,0,nan_validation_sentinel,0
FEV+ctrl,train,704,2044,0.0,0,0,0,0,finite_train,0
FOSB+IKZF3,train,247,2044,0.0,0,0,0,0,finite_train,0
FOSB+OSR2,val,382,2044,0.0,0,0,0,0,nan_validation_sentinel,0
FOSB+PTPN12,val,345,2044,0.0,0,0,0,0,nan_validation_sentinel,0
FOSB+ctrl,train,630,2044,0.0,0,0,0,0,finite_train,0
FOXA1+FOXA3,val,216,2044,0.0,0,0,0,0,nan_validation_sentinel,0
FOXA1+ctrl,train,851,2044,0.0,0,0,0,0,finite_train,0
FOXA3+ctrl,train,494,2044,0.0,0,0,0,0,finite_train,0
HES7+ctrl,train,126,2044,0.0,0,0,0,0,finite_train,0
HK2+ctrl,train,303,2044,0.0,0,0,0,0,finite_train,0
HOXA13+ctrl,train,274,2044,0.0,0,0,0,0,finite_train,0
IER5L+ctrl,val,405,2044,0.0,0,0,0,0,nan_validation_sentinel,0
IGDCC3+MAPK1,train,368,2044,0.0,0,0,0,0,finite_train,0
IGDCC3+ctrl,train,613,2044,0.0,0,0,0,0,finite_train,0
IKZF3+MAP2K6,val,300,2044,0.0,0,0,0,0,nan_validation_sentinel,0
IKZF3+MAPK1,train,302,2044,0.0,0,0,0,0,finite_train,0
IKZF3+ctrl,train,681,2044,0.0,0,0,0,0,finite_train,0
JUN+ctrl,train,266,2044,0.0,0,0,0,0,finite_train,0
MAP2K6+SPI1,train,302,2044,0.0,0,0,0,0,finite_train,0
MAP2K6+ctrl,val,878,2044,0.0,0,0,0,0,nan_validation_sentinel,0
MAPK1+ctrl,train,765,2044,0.0,0,0,0,0,finite_train,0
MEIS1+ctrl,train,776,2044,0.0,0,0,0,0,finite_train,0
MIDN+ctrl,val,298,2044,0.0,0,0,0,0,nan_validation_sentinel,0
NCL+ctrl,train,237,2044,0.0,0,0,0,0,finite_train,0
NIT1+ctrl,train,192,2044,0.0,0,0,0,0,finite_train,0
OSR2+PTPN12,val,339,2044,0.0,0,0,0,0,nan_validation_sentinel,0
OSR2+ctrl,train,1003,2044,0.0,0,0,0,0,finite_train,0
PLK4+STIL,train,81,2044,0.0,0,0,0,0,finite_train,0
PLK4+ctrl,val,113,2044,0.0,0,0,0,0,nan_validation_sentinel,0
POU3F2+ctrl,train,359,2044,0.0,0,0,0,0,finite_train,0
PRDM1+ctrl,train,297,2044,0.0,0,0,0,0,finite_train,0
PTPN12+SAMD1,train,351,2044,0.0,0,0,0,0,finite_train,0
PTPN12+SNAI1,train,283,2044,0.0,0,0,0,0,finite_train,0
PTPN12+ZBTB10,val,265,2044,0.0,0,0,0,0,nan_validation_sentinel,0
PTPN12+ctrl,train,445,2044,0.0,0,0,0,0,finite_train,0
PTPN13+ctrl,train,270,2044,0.0,0,0,0,0,finite_train,0
RREB1+ctrl,val,331,2044,0.0,0,0,0,0,nan_validation_sentinel,0
S1PR2+SGK1,train,358,2044,0.0,0,0,0,0,finite_train,0
S1PR2+ctrl,train,541,2044,0.0,0,0,0,0,finite_train,0
SAMD1+ctrl,train,498,2044,0.0,0,0,0,0,finite_train,0
SGK1+TBX3,train,300,2044,0.0,0,0,0,0,finite_train,0
SGK1+ctrl,val,483,2044,0.0,0,0,0,0,nan_validation_sentinel,0
SLC38A2+ctrl,train,332,2044,0.0,0,0,0,0,finite_train,0
SLC4A1+ctrl,val,1000,2044,0.0,0,0,0,0,nan_validation_sentinel,0
SLC6A9+ctrl,train,558,2044,0.0,0,0,0,0,finite_train,0
SNAI1+ZBTB10,train,100,2044,0.0,0,0,0,0,finite_train,0
SNAI1+ctrl,train,467,2044,0.0,0,0,0,0,finite_train,0
SPI1+ctrl,val,613,2044,0.0,0,0,0,0,nan_validation_sentinel,0
STIL+ctrl,train,309,2044,0.0,0,0,0,0,finite_train,0
TBX3+ctrl,train,691,2044,0.0,0,0,0,0,finite_train,0
TP73+ctrl,train,248,2044,0.0,0,0,0,0,finite_train,0
TSC22D1+ctrl,train,441,2044,0.0,0,0,0,0,finite_train,0
ZBTB10+ctrl,train,162,2044,0.0,0,0,0,0,finite_train,0
ZC3HAV1+ctrl,train,516,2044,0.0,0,0,0,0,finite_train,0
ctrl,train,11855,2044,0.0,0,0,0,0,finite_train,0
