canonical_condition,perturbation_genes,n_cells_obs_metadata,selection_sha256,selection_rank,split
MED24+RCOR1,MED24;RCOR1,147,0103a15c0f0402baaa7bbc42bf9560fd5f08594d22ce1ca55ffbd66f5b8261ae,1,test
DOT1L+KDM1A,DOT1L;KDM1A,163,057a20023f88b29e82d39bfc2376e4e7bd27a67536ccc243a32669e96fab7c47,2,test
DOT1L+RCOR1,DOT1L;RCOR1,188,09ec1315651323e8e6a35f9611857aef50ba0358db75afc75cbb55997c30e1cf,3,test
EP300+IKZF1,EP300;IKZF1,91,0de0329988eb19b05fb1bde95f3c122a423409dee7a0fc144e0409c224171fc1,4,test
GSE1+SSRP1,GSE1;SSRP1,79,0f06c6a377178640cb2c0418d17705c6e28f986351ae03503d4cb5f578402c83,5,test
MED16+MED19,MED16;MED19,139,0fc3a533366ef5a8f6311722a310e3bc7d871c39358a753d80a1a63451d82baf,6,test
DOT1L+RING1,DOT1L;RING1,178,0ffabefd079f451b04db5df5d884d556e4af282428a70834e2c1dfd6a92f538e,7,test
GATA2+IKZF1,GATA2;IKZF1,167,114fdeb87fc502c88e9563f530b47a78092f127fd12ebb6f0a7e3cea241999d7,8,test
KDM1A+MED24,KDM1A;MED24,121,121a20df6e90a687c418b323f82eb8f23436e93c93bcc9a52b6e036a772545d1,9,test
IKZF1+SMARCD1,IKZF1;SMARCD1,156,13de5e94d0cd3d69eb9a46ba0e0e77ff9cc0fce63c773086ba79a769e93ee2b7,10,test
INTS1+RING1,INTS1;RING1,575,1604e0055ffe8e8ec53efcd162856eee286aea0cfc297d101f8777d2d3989c0a,11,test
FLI1+MED24,FLI1;MED24,335,1818b3376163fa31d3daa0e47e9d74f0653bdc415d7c0160ca70ebe2a81871c6,12,test
IKZF1+MED24,IKZF1;MED24,116,1c68822db88a91bdfdd79350a69a9cc0c58eb7d287974b3823c0b5bf87fb152a,13,test
HDAC3+SMARCD1,HDAC3;SMARCD1,331,1c9050c05361c78a5d3deb1dd1af0516bccc53ccfb961d98dd1e31a4e1c15bc3,14,test
MED13L+MED24,MED13L;MED24,123,1d1ac0ff9cf89ec376757ab596b0ad91e4c0aa8470391c3ffb333782b19c77fc,15,test
GFI1+INTS1,GFI1;INTS1,282,1d2a1ab4161cc440d342fd175c10cf33b433729781489adff7f616b3d76300f0,16,test
