condition,n_train_cells,y_d_delta_to_control,y_s_sigma_within,sigma_control,y_n_edistance,fit_scope
ctrl,424,126.00961590741375,126.00961590741375,126.00961590741375,0.0,all_train_cells_unequal_n_moment_formula
ATXN7L3+ctrl,82,118.01296634920081,103.51663062466962,126.00961590741375,6.499686166318256,all_train_cells_unequal_n_moment_formula
CD14+ctrl,40,128.04403067647218,129.9877054089097,126.00961590741375,0.09074003662090036,all_train_cells_unequal_n_moment_formula
DOT1L+ctrl,93,131.5694793432205,135.34571550452563,126.00961590741375,1.7836272745016402,all_train_cells_unequal_n_moment_formula
EP300+ctrl,106,150.9959691042631,101.90055719981642,126.00961590741375,74.08176510129606,all_train_cells_unequal_n_moment_formula
FLI1+ctrl,217,145.49778318466878,122.33859055872782,126.00961590741375,42.64735990319599,all_train_cells_unequal_n_moment_formula
GATA2+ctrl,47,126.76395689613956,113.03290899668147,126.00961590741375,14.485388888183905,all_train_cells_unequal_n_moment_formula
GFI1+ctrl,74,163.29699805009997,128.75121881829654,126.00961590741375,71.83316137448966,all_train_cells_unequal_n_moment_formula
GSE1+ctrl,92,141.14762783983193,125.05910887663808,126.00961590741375,31.22653089561203,all_train_cells_unequal_n_moment_formula
HDAC3+ctrl,96,133.1477649663424,132.54984621796743,126.00961590741375,7.736067807303641,all_train_cells_unequal_n_moment_formula
IKZF1+ctrl,45,133.2835548455271,137.61416628747145,126.00961590741375,2.943327496169019,all_train_cells_unequal_n_moment_formula
INTS1+ctrl,290,118.8550483073712,107.01473242646405,126.00961590741375,4.685748280864615,all_train_cells_unequal_n_moment_formula
KDM1A+ctrl,39,171.70661228631477,135.54206117264118,126.00961590741375,81.8615474925746,all_train_cells_unequal_n_moment_formula
MED13L+ctrl,27,156.50313963136495,167.34413157497747,126.00961590741375,19.652531780338677,all_train_cells_unequal_n_moment_formula
MED14+ctrl,49,170.79272164264705,132.30945027795067,126.00961590741375,83.26637709992968,all_train_cells_unequal_n_moment_formula
MED16+ctrl,51,136.1203313635794,124.30108741893605,126.00961590741375,21.929959400808997,all_train_cells_unequal_n_moment_formula
MED19+ctrl,48,151.68710854679938,142.77044659520814,126.00961590741375,34.59415459097687,all_train_cells_unequal_n_moment_formula
MED22+ctrl,49,164.7578629494406,75.45999043624973,126.00961590741375,128.04611955521773,all_train_cells_unequal_n_moment_formula
MED24+ctrl,110,162.05504391970715,119.1047112064604,126.00961590741375,78.99576072554015,all_train_cells_unequal_n_moment_formula
