condition,split,n_graphs,n_genes,max_abs_x_minus_train_control,truth_rule,bad_graphs
ATXN7L3+ctrl,train,82,2023,0.0,finite_train,0
CD14+ctrl,train,40,2023,0.0,finite_train,0
DOT1L+GFI1,train,159,2023,0.0,finite_train,0
DOT1L+GSE1,train,130,2023,0.0,finite_train,0
DOT1L+IKZF1,train,137,2023,0.0,finite_train,0
DOT1L+INTS1,train,773,2023,0.0,finite_train,0
DOT1L+ctrl,train,93,2023,0.0,finite_train,0
EP300+FLI1,train,163,2023,0.0,finite_train,0
EP300+GATA2,train,188,2023,0.0,finite_train,0
EP300+KDM1A,train,117,2023,0.0,finite_train,0
EP300+MED24,train,281,2023,0.0,finite_train,0
EP300+RCOR1,train,136,2023,0.0,finite_train,0
EP300+RING1,train,179,2023,0.0,finite_train,0
EP300+SMARCD1,train,208,2023,0.0,finite_train,0
EP300+SSRP1,train,146,2023,0.0,finite_train,0
EP300+ctrl,train,106,2023,0.0,finite_train,0
FLI1+GFI1,train,104,2023,0.0,finite_train,0
FLI1+KDM1A,train,157,2023,0.0,finite_train,0
FLI1+RCOR1,train,244,2023,0.0,finite_train,0
FLI1+SSRP1,train,145,2023,0.0,finite_train,0
FLI1+ctrl,train,217,2023,0.0,finite_train,0
GATA2+GSE1,train,182,2023,0.0,finite_train,0
GATA2+HDAC3,train,250,2023,0.0,finite_train,0
GATA2+INTS1,train,599,2023,0.0,finite_train,0
GATA2+MED24,train,264,2023,0.0,finite_train,0
GATA2+RING1,train,214,2023,0.0,finite_train,0
GATA2+SSRP1,train,87,2023,0.0,finite_train,0
GATA2+ctrl,train,47,2023,0.0,finite_train,0
GFI1+HDAC3,train,208,2023,0.0,finite_train,0
GFI1+MED24,train,148,2023,0.0,finite_train,0
GFI1+ctrl,train,74,2023,0.0,finite_train,0
GSE1+HDAC3,train,185,2023,0.0,finite_train,0
GSE1+IKZF1,train,89,2023,0.0,finite_train,0
GSE1+RCOR1,train,146,2023,0.0,finite_train,0
GSE1+SMARCD1,train,107,2023,0.0,finite_train,0
GSE1+ctrl,train,92,2023,0.0,finite_train,0
HDAC3+INTS1,train,684,2023,0.0,finite_train,0
HDAC3+KDM1A,train,99,2023,0.0,finite_train,0
HDAC3+ctrl,train,96,2023,0.0,finite_train,0
IKZF1+ctrl,train,45,2023,0.0,finite_train,0
INTS1+MYB,train,168,2023,0.0,finite_train,0
INTS1+RCOR1,train,555,2023,0.0,finite_train,0
INTS1+ctrl,train,290,2023,0.0,finite_train,0
KDM1A+ctrl,train,39,2023,0.0,finite_train,0
MED13L+ctrl,train,27,2023,0.0,finite_train,0
MED14+MED22,train,129,2023,0.0,finite_train,0
MED14+MED24,train,119,2023,0.0,finite_train,0
MED14+ctrl,train,49,2023,0.0,finite_train,0
MED16+ctrl,train,51,2023,0.0,finite_train,0
MED19+MED24,train,209,2023,0.0,finite_train,0
MED19+ctrl,train,48,2023,0.0,finite_train,0
MED22+MED24,train,240,2023,0.0,finite_train,0
MED22+ctrl,train,49,2023,0.0,finite_train,0
MED24+SSRP1,train,146,2023,0.0,finite_train,0
MED24+ctrl,train,110,2023,0.0,finite_train,0
MYB+ctrl,train,15,2023,0.0,finite_train,0
RCOR1+RING1,train,89,2023,0.0,finite_train,0
RCOR1+ctrl,train,61,2023,0.0,finite_train,0
RING1+ctrl,train,83,2023,0.0,finite_train,0
SMARCA5+SMARCD1,train,195,2023,0.0,finite_train,0
SMARCA5+ctrl,train,78,2023,0.0,finite_train,0
SMARCD1+SSRP1,train,98,2023,0.0,finite_train,0
SMARCD1+ctrl,train,76,2023,0.0,finite_train,0
SSRP1+SUPT16H,train,140,2023,0.0,finite_train,0
SSRP1+SUPT5H,train,119,2023,0.0,finite_train,0
SSRP1+ctrl,train,32,2023,0.0,finite_train,0
SUPT16H+SUPT5H,train,276,2023,0.0,finite_train,0
SUPT16H+SUPT6H,train,185,2023,0.0,finite_train,0
SUPT16H+ctrl,train,138,2023,0.0,finite_train,0
SUPT5H+ctrl,train,87,2023,0.0,finite_train,0
SUPT6H+ctrl,train,33,2023,0.0,finite_train,0
ctrl,train,424,2023,0.0,finite_train,0
DOT1L+EP300,val,245,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
DOT1L+FLI1,val,196,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
EP300+GFI1,val,161,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
EP300+GSE1,val,112,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
EP300+HDAC3,val,246,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
EP300+INTS1,val,247,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
FLI1+GATA2,val,256,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
GATA2+SMARCD1,val,244,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
GFI1+RING1,val,182,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
GFI1+SMARCD1,val,175,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
GSE1+RING1,val,141,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
HDAC3+IKZF1,val,107,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
HDAC3+MED24,val,152,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
HDAC3+RING1,val,195,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
INTS1+MED24,val,322,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
INTS1+SMARCD1,val,767,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
KDM1A+RING1,val,111,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
MED13L+MED16,val,200,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
MED13L+MED19,val,100,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
MED16+MED24,val,212,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
MED19+MED22,val,106,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
MED24+RING1,val,154,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
MED24+SMARCD1,val,233,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
SUPT5H+SUPT6H,val,238,2023,0.0,finite_y_y_pca_nan_rank_sentinels,0
