test_index,condition,gene_a,gene_b,score_name,raw_value,analysis_score,raw_orientation,analysis_orientation,estimability_before_truth,direction_frozen_before_E163
0,DOT1L+GATA2,DOT1L,GATA2,min_single_cell_count_confidence,47,3.8712010109078907,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
0,DOT1L+GATA2,DOT1L,GATA2,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
0,DOT1L+GATA2,DOT1L,GATA2,matching_se_pca10_confidence,0.2512239556431779,-0.2512239556431779,higher_uncertainty,higher_expected_accuracy,estimable,True
0,DOT1L+GATA2,DOT1L,GATA2,matching_se_gene_confidence,0.037674406846039087,-0.037674406846039087,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
0,DOT1L+GATA2,DOT1L,GATA2,matching_magnitude_confidence,0.056882510830123877,-0.056882510830123877,higher_effect_size,higher_expected_accuracy,estimable,True
0,DOT1L+GATA2,DOT1L,GATA2,hash_random_confidence,0.49215423899648603,0.49215423899648603,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
0,DOT1L+GATA2,DOT1L,GATA2,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
0,DOT1L+GATA2,DOT1L,GATA2,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
1,DOT1L+HDAC3,DOT1L,HDAC3,min_single_cell_count_confidence,93,4.5432947822700038,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
1,DOT1L+HDAC3,DOT1L,HDAC3,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
1,DOT1L+HDAC3,DOT1L,HDAC3,matching_se_pca10_confidence,0.22429985235520744,-0.22429985235520744,higher_uncertainty,higher_expected_accuracy,estimable,True
1,DOT1L+HDAC3,DOT1L,HDAC3,matching_se_gene_confidence,0.032855286123711108,-0.032855286123711108,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
1,DOT1L+HDAC3,DOT1L,HDAC3,matching_magnitude_confidence,0.049907070438872818,-0.049907070438872818,higher_effect_size,higher_expected_accuracy,estimable,True
1,DOT1L+HDAC3,DOT1L,HDAC3,hash_random_confidence,0.4904463875527475,0.4904463875527475,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
1,DOT1L+HDAC3,DOT1L,HDAC3,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
1,DOT1L+HDAC3,DOT1L,HDAC3,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
2,DOT1L+KDM1A,DOT1L,KDM1A,min_single_cell_count_confidence,39,3.6888794541139363,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
2,DOT1L+KDM1A,DOT1L,KDM1A,min_train_pair_degree_confidence,3,1.3862943611198906,higher_train_pair_degree,higher_expected_accuracy,estimable,True
2,DOT1L+KDM1A,DOT1L,KDM1A,matching_se_pca10_confidence,0.27657649139875495,-0.27657649139875495,higher_uncertainty,higher_expected_accuracy,estimable,True
2,DOT1L+KDM1A,DOT1L,KDM1A,matching_se_gene_confidence,0.039948814270638698,-0.039948814270638698,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
2,DOT1L+KDM1A,DOT1L,KDM1A,matching_magnitude_confidence,0.092404194028627998,-0.092404194028627998,higher_effect_size,higher_expected_accuracy,estimable,True
2,DOT1L+KDM1A,DOT1L,KDM1A,hash_random_confidence,0.54246248355521409,0.54246248355521409,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
2,DOT1L+KDM1A,DOT1L,KDM1A,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
2,DOT1L+KDM1A,DOT1L,KDM1A,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
3,DOT1L+MED24,DOT1L,MED24,min_single_cell_count_confidence,93,4.5432947822700038,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
3,DOT1L+MED24,DOT1L,MED24,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
3,DOT1L+MED24,DOT1L,MED24,matching_se_pca10_confidence,0.21583760715978131,-0.21583760715978131,higher_uncertainty,higher_expected_accuracy,estimable,True
3,DOT1L+MED24,DOT1L,MED24,matching_se_gene_confidence,0.032228840398545941,-0.032228840398545941,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
3,DOT1L+MED24,DOT1L,MED24,matching_magnitude_confidence,0.090439882885591627,-0.090439882885591627,higher_effect_size,higher_expected_accuracy,estimable,True
3,DOT1L+MED24,DOT1L,MED24,hash_random_confidence,0.25270288384565004,0.25270288384565004,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
3,DOT1L+MED24,DOT1L,MED24,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
3,DOT1L+MED24,DOT1L,MED24,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
4,DOT1L+RCOR1,DOT1L,RCOR1,min_single_cell_count_confidence,61,4.1271343850450917,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
4,DOT1L+RCOR1,DOT1L,RCOR1,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
4,DOT1L+RCOR1,DOT1L,RCOR1,matching_se_pca10_confidence,0.24209489598033004,-0.24209489598033004,higher_uncertainty,higher_expected_accuracy,estimable,True
4,DOT1L+RCOR1,DOT1L,RCOR1,matching_se_gene_confidence,0.035947700986720836,-0.035947700986720836,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
4,DOT1L+RCOR1,DOT1L,RCOR1,matching_magnitude_confidence,0.046193578955660564,-0.046193578955660564,higher_effect_size,higher_expected_accuracy,estimable,True
4,DOT1L+RCOR1,DOT1L,RCOR1,hash_random_confidence,0.038495691687354033,0.038495691687354033,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
4,DOT1L+RCOR1,DOT1L,RCOR1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
4,DOT1L+RCOR1,DOT1L,RCOR1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
5,DOT1L+RING1,DOT1L,RING1,min_single_cell_count_confidence,83,4.4308167988433134,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
5,DOT1L+RING1,DOT1L,RING1,min_train_pair_degree_confidence,3,1.3862943611198906,higher_train_pair_degree,higher_expected_accuracy,estimable,True
5,DOT1L+RING1,DOT1L,RING1,matching_se_pca10_confidence,0.23388908288267987,-0.23388908288267987,higher_uncertainty,higher_expected_accuracy,estimable,True
5,DOT1L+RING1,DOT1L,RING1,matching_se_gene_confidence,0.033537929803859105,-0.033537929803859105,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
5,DOT1L+RING1,DOT1L,RING1,matching_magnitude_confidence,0.040894712516141164,-0.040894712516141164,higher_effect_size,higher_expected_accuracy,estimable,True
5,DOT1L+RING1,DOT1L,RING1,hash_random_confidence,0.96603516309434223,0.96603516309434223,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
