test_index,condition,gene_a,gene_b,train_single_condition_a,train_single_condition_b,train_single_cells_a,train_single_cells_b,train_pair_degree_a,train_pair_degree_b,exact_train_pair_support,both_components_have_train_singletons,test_input_role,matching_effect_rms,additive_effect_rms,matching_se_pca10_raw,matching_se_gene_raw,hash_random_sha256,min_single_cell_count_confidence,min_train_pair_degree_confidence,matching_se_pca10_confidence,matching_se_gene_confidence,matching_magnitude_confidence,hash_random_confidence,constant_confidence,exact_pair_support_confidence,raw_orientation,analysis_orientation,direction_frozen_before_E163
0,DOT1L+GATA2,DOT1L,GATA2,DOT1L+ctrl,GATA2+ctrl,93,47,4,7,0,True,canonical_condition_string_only,0.056882510830123877,0.11376502166024775,0.2512239556431779,0.037674406846039087,7dfdd1f913e287a5062fdbb7a8d758c111bbbc72bc492ab6f76dafa5ece649a8,3.8712010109078907,1.6094379124341003,-0.2512239556431779,-0.037674406846039087,-0.056882510830123877,0.49215423899648603,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
1,DOT1L+HDAC3,DOT1L,HDAC3,DOT1L+ctrl,HDAC3+ctrl,93,96,4,5,0,True,canonical_condition_string_only,0.049907070438872818,0.099814140877745636,0.22429985235520744,0.032855286123711108,7d8de4fafafaf7fb5e8d5be22134f73a79e1a63abcfd88bf689ab7c737162cff,4.5432947822700038,1.6094379124341003,-0.22429985235520744,-0.032855286123711108,-0.049907070438872818,0.4904463875527475,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
2,DOT1L+KDM1A,DOT1L,KDM1A,DOT1L+ctrl,KDM1A+ctrl,93,39,4,3,0,True,canonical_condition_string_only,0.092404194028627998,0.184808388057256,0.27657649139875495,0.039948814270638698,8aded2422d3482767ea5154474c46b6991926c6e0cd7c323b071f4a74b7181af,3.6888794541139363,1.3862943611198906,-0.27657649139875495,-0.039948814270638698,-0.092404194028627998,0.54246248355521409,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
3,DOT1L+MED24,DOT1L,MED24,DOT1L+ctrl,MED24+ctrl,93,110,4,7,0,True,canonical_condition_string_only,0.090439882885591627,0.18087976577118325,0.21583760715978131,0.032228840398545941,40b122ddb8d1f24a9d1fc88f5e1d28af67af00c52ce0d8ea1513a49c72a3d211,4.5432947822700038,1.6094379124341003,-0.21583760715978131,-0.032228840398545941,-0.090439882885591627,0.25270288384565004,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
4,DOT1L+RCOR1,DOT1L,RCOR1,DOT1L+ctrl,RCOR1+ctrl,93,61,4,5,0,True,canonical_condition_string_only,0.046193578955660564,0.092387157911321127,0.24209489598033004,0.035947700986720836,09dada88d586923859bc044dd77c8da05eb886f301333f924f2844e323cd8b6e,4.1271343850450917,1.6094379124341003,-0.24209489598033004,-0.035947700986720836,-0.046193578955660564,0.038495691687354033,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
5,DOT1L+RING1,DOT1L,RING1,DOT1L+ctrl,RING1+ctrl,93,83,4,3,0,True,canonical_condition_string_only,0.040894712516141164,0.081789425032282329,0.23388908288267987,0.033537929803859105,f74e149846b6c0dc6ecd7d4a90fdfc478681e71b1e2cbac843abdba8a0d64748,4.4308167988433134,1.3862943611198906,-0.23388908288267987,-0.033537929803859105,-0.040894712516141164,0.96603516309434223,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,DOT1L+ctrl,SMARCD1+ctrl,93,76,4,4,0,True,canonical_condition_string_only,0.059724855602439349,0.1194497112048787,0.23319977292770797,0.0343166160875309,44d429d3fde05bc5555aa4fa467ca29d42084d56abb313d98ed0c5049688d506,4.3438054218536841,1.6094379124341003,-0.23319977292770797,-0.0343166160875309,-0.059724855602439349,0.26886235642985085,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
7,EP300+IKZF1,EP300,IKZF1,EP300+ctrl,IKZF1+ctrl,106,45,8,2,0,True,canonical_condition_string_only,0.088199155222520725,0.17639831044504145,0.25515169482021027,0.03772083291499078,db7288565329504ccfb3f6b6b089d93ffc2a69dc18d6b4d45092c3ca7df154da,3.8286413964890951,1.0986122886681096,-0.25515169482021027,-0.03772083291499078,-0.088199155222520725,0.85721637828388464,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
8,EP300+MYB,EP300,MYB,EP300+ctrl,MYB+ctrl,106,15,8,1,0,True,canonical_condition_string_only,0.13818092841232135,0.2763618568246427,0.3969019348496145,0.059260415162402533,3e44daaf98f0c44b8574babdbee0f382ac45e1636d66b2db0ed3c3d021b88f18,2.7725887222397811,0.69314718055994529,-0.3969019348496145,-0.059260415162402533,-0.13818092841232135,0.24323813235327224,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
9,FLI1+GSE1,FLI1,GSE1,FLI1+ctrl,GSE1+ctrl,217,92,5,6,0,True,canonical_condition_string_only,0.091043667883852361,0.18208733576770472,0.19722813092605357,0.028954466669227991,e0e59bdafba365d5b6f24aa663b4fa79360a7d2dc8da9fb310de08026549b79b,4.5325994931532554,1.791759469228055,-0.19722813092605357,-0.028954466669227991,-0.091043667883852361,0.87850355240119671,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
