score,score_family,predictor,truth_role,aurc_coverage_0p50_to_1p00,error_capture_at_0p75,rejected_enrichment_at_0p75,error_capture_at_0p80,rejected_enrichment_at_0p80,score_unique_values,estimable,na_reason
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.05449934100539458,0.4,1.5999999999999999,0.2,1.0666666666666667,17,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.07145138210969801,0.6,2.4,0.4,2.1333333333333333,17,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.053115199351852146,0.4,1.5999999999999999,0.4,2.1333333333333333,7,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.07107325150788393,0.6,2.4,0.6,3.1999999999999997,7,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,pca10_primary,0.053093218417932596,0.4,1.5999999999999999,0.3,1.5999999999999999,48,True,
matching_se_pca10_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.07027230842732461,0.6,2.4,0.5,2.6666666666666665,48,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,pca10_primary,0.05364285185307271,0.4,1.5999999999999999,0.3,1.5999999999999999,48,True,
matching_se_gene_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.07071901457752924,0.6,2.4,0.5,2.6666666666666665,48,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,pca10_primary,0.0504122827374924,0.4,1.5999999999999999,0.4,2.1333333333333333,48,True,
matching_magnitude_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.06892508198748105,0.5,2.0,0.4,2.1333333333333333,48,True,
hash_random_confidence,matching_risk,matching_single_mean,pca10_primary,0.05625453378258473,0.2,0.7999999999999999,0.1,0.5333333333333333,48,True,
hash_random_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.07483398160588721,0.1,0.39999999999999997,0.1,0.5333333333333333,48,True,
constant_confidence,matching_risk,matching_single_mean,pca10_primary,,,,,,1,False,constant_or_nonfinite_score
constant_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,,,,,,1,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,pca10_primary,,,,,,1,False,constant_or_nonfinite_score
exact_pair_support_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,,,,,,1,False,constant_or_nonfinite_score
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,pca10_primary,0.12204634491603904,0.1,0.39999999999999997,0.1,0.5333333333333333,48,True,
raw_log_prob_seed3407,native_raw_score,prescribe_seed3407,raw_truth_sensitivity,0.13183966001231257,0.1,0.39999999999999997,0.1,0.5333333333333333,48,True,
raw_log_prob_seed3408,native_raw_score,prescribe_seed3408,pca10_primary,0.12002548379439325,0.3,1.2,0.2,1.0666666666666667,48,True,
raw_log_prob_seed3408,native_raw_score,prescribe_seed3408,raw_truth_sensitivity,0.1299597974381561,0.3,1.2,0.2,1.0666666666666667,48,True,
raw_log_prob_seed3409,native_raw_score,prescribe_seed3409,pca10_primary,0.12239472108738453,0.1,0.39999999999999997,0.1,0.5333333333333333,48,True,
raw_log_prob_seed3409,native_raw_score,prescribe_seed3409,raw_truth_sensitivity,0.13223622942762367,0.1,0.39999999999999997,0.1,0.5333333333333333,48,True,
official_combined_confidence_seed3407,native_official_score,prescribe_seed3407,pca10_primary,,,,,,1,False,constant_or_nonfinite_score
official_combined_confidence_seed3407,native_official_score,prescribe_seed3407,raw_truth_sensitivity,,,,,,1,False,constant_or_nonfinite_score
negative_predicted_magnitude_seed3407,native_magnitude_score,prescribe_seed3407,pca10_primary,,,,,,1,False,constant_or_nonfinite_score
negative_predicted_magnitude_seed3407,native_magnitude_score,prescribe_seed3407,raw_truth_sensitivity,,,,,,1,False,constant_or_nonfinite_score
