analysis_id,scheme,n_replicates,n_finite,bootstrap_mean,ci_low,ci_high,ci_estimable
H1_matching_vs_cellweighted_pca10_rmse,task,10000,10000,0.028032368009506013,0.022507317751915442,0.03327619243901971,True
H1_matching_vs_cellweighted_pca10_rmse,component_gene_cluster,10000,10000,0.028138823397457543,0.022911526193535724,0.033295505877791017,True
H2_matching_se_vs_negative_matching_rmse,task,10000,10000,0.07545360614771211,-0.20956128543754995,0.3411650848019303,True
H2_matching_se_vs_negative_matching_rmse,component_gene_cluster,10000,10000,0.07832645584028385,-0.1457675861945095,0.29242956920323193,True
risk__matching__min_single_cell_count_confidence__pca10_pearson_accuracy,task,10000,10000,-0.132071043230713,-0.4341609095301811,0.1861591963589963,True
risk__matching__min_single_cell_count_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,10000,-0.13229887954357542,-0.37435657292208907,0.12910574168143432,True
risk__matching__min_single_cell_count_confidence__pca10_cosine_accuracy,task,10000,10000,-0.13692091365304504,-0.44082483944597006,0.18025374500051608,True
risk__matching__min_single_cell_count_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.1379127369439268,-0.38253835090682087,0.11201594223838375,True
risk__matching__min_single_cell_count_confidence__pca10_direction_accuracy,task,10000,10000,-0.2688612482012926,-0.5431176423524332,0.034709122665866766,True
risk__matching__min_single_cell_count_confidence__pca10_direction_accuracy,component_gene_cluster,10000,10000,-0.2710481218493416,-0.4879074358042178,-0.07677132376919057,True
risk__matching__min_single_cell_count_confidence__pca10_negative_rmse,task,10000,10000,0.009877375726531029,-0.262649344221344,0.2823184321658796,True
risk__matching__min_single_cell_count_confidence__pca10_negative_rmse,component_gene_cluster,10000,10000,0.008959173016035075,-0.2038693907013455,0.21898268449743893,True
risk__matching__min_single_cell_count_confidence__raw_pearson_accuracy_sensitivity,task,10000,10000,0.12433223460875872,-0.1614407990379307,0.38852784287275627,True
risk__matching__min_single_cell_count_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,0.1315173682350964,-0.14464782316305222,0.3841268510858551,True
risk__matching__min_single_cell_count_confidence__raw_cosine_accuracy_sensitivity,task,10000,10000,0.07776592887345266,-0.21494759638713112,0.35475915146832643,True
risk__matching__min_single_cell_count_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,0.08412492714352822,-0.1801425780157679,0.33034903098436613,True
risk__matching__min_single_cell_count_confidence__raw_direction_accuracy_sensitivity,task,10000,10000,0.11968489824030869,-0.19590140184920155,0.41971083321167885,True
risk__matching__min_single_cell_count_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,0.11797077874770123,-0.17714929211411237,0.3815216396965016,True
risk__matching__min_single_cell_count_confidence__raw_negative_rmse_sensitivity,task,10000,10000,0.17566818444625523,-0.11019461066226391,0.44207131853227427,True
risk__matching__min_single_cell_count_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,0.17411216337638685,-0.028613441622321937,0.36465871474791794,True
risk__matching__min_train_pair_degree_confidence__pca10_pearson_accuracy,task,10000,10000,-0.07285981205425607,-0.3524570578688962,0.20748050181398045,True
risk__matching__min_train_pair_degree_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,10000,-0.07407019674102919,-0.3364040301095733,0.1292499629450666,True
risk__matching__min_train_pair_degree_confidence__pca10_cosine_accuracy,task,10000,10000,-0.06020992036060423,-0.3414036577808787,0.21968751838804398,True
risk__matching__min_train_pair_degree_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.06086256093465869,-0.3220220269923934,0.14140480713344966,True
risk__matching__min_train_pair_degree_confidence__pca10_direction_accuracy,task,10000,10000,-0.10608835732443904,-0.3859816721973031,0.18381502581795117,True
risk__matching__min_train_pair_degree_confidence__pca10_direction_accuracy,component_gene_cluster,10000,10000,-0.10751004532332445,-0.3730616043009971,0.11481938925991975,True
risk__matching__min_train_pair_degree_confidence__pca10_negative_rmse,task,10000,10000,0.24907934406767182,-0.03314460353266256,0.5080081867053325,True
risk__matching__min_train_pair_degree_confidence__pca10_negative_rmse,component_gene_cluster,10000,10000,0.25107057736616734,0.05524361883000051,0.4593641755067268,True
risk__matching__min_train_pair_degree_confidence__raw_pearson_accuracy_sensitivity,task,10000,10000,0.02923469611335355,-0.24729386297794304,0.30211511492332604,True
risk__matching__min_train_pair_degree_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,0.02798829381331962,-0.22002730971056914,0.24223811570334772,True
risk__matching__min_train_pair_degree_confidence__raw_cosine_accuracy_sensitivity,task,10000,10000,-0.027848861427139222,-0.3113852362169136,0.25740637513424597,True
risk__matching__min_train_pair_degree_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.029383524890498666,-0.28847192389423365,0.1948656543105867,True
risk__matching__min_train_pair_degree_confidence__raw_direction_accuracy_sensitivity,task,10000,10000,-0.0375666993615098,-0.35172480822575514,0.270450586593108,True
risk__matching__min_train_pair_degree_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.03817865317442222,-0.3403980336863671,0.21494493764421851,True
risk__matching__min_train_pair_degree_confidence__raw_negative_rmse_sensitivity,task,10000,10000,0.29845507390842146,0.010811705973971844,0.5563954179502743,True
risk__matching__min_train_pair_degree_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,0.3010403591645849,0.0929129714162768,0.4999212351315603,True
risk__matching__matching_se_pca10_confidence__pca10_pearson_accuracy,task,10000,10000,-0.13339945308790102,-0.42832553839460513,0.16835439028663285,True
risk__matching__matching_se_pca10_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,10000,-0.13178497099344955,-0.3752017318620256,0.12426607885447381,True
risk__matching__matching_se_pca10_confidence__pca10_cosine_accuracy,task,10000,10000,-0.12451372698589469,-0.4148340821560316,0.1777194747312298,True
risk__matching__matching_se_pca10_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.12304003958661701,-0.37237871559637725,0.13292956491356075,True
risk__matching__matching_se_pca10_confidence__pca10_direction_accuracy,task,10000,10000,-0.29668290181105966,-0.557603474820259,-0.0037000672140051413,True
risk__matching__matching_se_pca10_confidence__pca10_direction_accuracy,component_gene_cluster,10000,10000,-0.295303324875582,-0.515156454008226,-0.0835816200209338,True
risk__matching__matching_se_pca10_confidence__pca10_negative_rmse,task,10000,10000,0.07545360614771211,-0.20956128543754995,0.3411650848019303,True
risk__matching__matching_se_pca10_confidence__pca10_negative_rmse,component_gene_cluster,10000,10000,0.07832645584028385,-0.1457675861945095,0.29242956920323193,True
risk__matching__matching_se_pca10_confidence__raw_pearson_accuracy_sensitivity,task,10000,10000,0.1357740943845692,-0.14298680069831815,0.3833764249618573,True
risk__matching__matching_se_pca10_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,0.1421348231613025,-0.11646285108903047,0.35778278638431527,True
risk__matching__matching_se_pca10_confidence__raw_cosine_accuracy_sensitivity,task,10000,10000,0.09043032973661043,-0.18631534744104708,0.34436484125093236,True
risk__matching__matching_se_pca10_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,0.09593458129292416,-0.15343583285080606,0.31253168505480816,True
risk__matching__matching_se_pca10_confidence__raw_direction_accuracy_sensitivity,task,10000,10000,0.11992891270956739,-0.18637704528311896,0.40091384607838526,True
risk__matching__matching_se_pca10_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,0.11859707302690606,-0.17857678792723522,0.36782363515921335,True
risk__matching__matching_se_pca10_confidence__raw_negative_rmse_sensitivity,task,10000,10000,0.23864539172782534,-0.059037089916919756,0.49218307497562086,True
risk__matching__matching_se_pca10_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,0.2416812138368661,0.019521411683826602,0.44559038370112447,True
risk__matching__matching_se_gene_confidence__pca10_pearson_accuracy,task,10000,10000,-0.1463923855719212,-0.4357811267033485,0.15554211832217912,True
risk__matching__matching_se_gene_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,10000,-0.1443928614157472,-0.3869959051014843,0.1172208241613755,True
risk__matching__matching_se_gene_confidence__pca10_cosine_accuracy,task,10000,10000,-0.1399778412722373,-0.4265540263631307,0.16356417162070563,True
risk__matching__matching_se_gene_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.1383783413531803,-0.38313076141801294,0.12173254694267818,True
risk__matching__matching_se_gene_confidence__pca10_direction_accuracy,task,10000,10000,-0.3338727604637879,-0.5922574251735382,-0.04670340745166305,True
risk__matching__matching_se_gene_confidence__pca10_direction_accuracy,component_gene_cluster,10000,10000,-0.3327368215669238,-0.5473910753329031,-0.12233171895900176,True
risk__matching__matching_se_gene_confidence__pca10_negative_rmse,task,10000,10000,0.027084848482420286,-0.25380256135354556,0.29563216059055714,True
risk__matching__matching_se_gene_confidence__pca10_negative_rmse,component_gene_cluster,10000,10000,0.030409177370615315,-0.18853198278973138,0.24423670113470325,True
risk__matching__matching_se_gene_confidence__raw_pearson_accuracy_sensitivity,task,10000,10000,0.13928081159777184,-0.1389612107798279,0.38085394746705314,True
risk__matching__matching_se_gene_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,0.1450398043063339,-0.106980816217744,0.36142851336324716,True
risk__matching__matching_se_gene_confidence__raw_cosine_accuracy_sensitivity,task,10000,10000,0.08789243208156503,-0.19089049552630702,0.3412788972839151,True
risk__matching__matching_se_gene_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,0.0925212961760926,-0.15420168905033074,0.3121326636966179,True
risk__matching__matching_se_gene_confidence__raw_direction_accuracy_sensitivity,task,10000,10000,0.10214997900641538,-0.2069229474094966,0.3821687050331967,True
risk__matching__matching_se_gene_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,0.10002643062551426,-0.2027103650814575,0.35099279423583396,True
risk__matching__matching_se_gene_confidence__raw_negative_rmse_sensitivity,task,10000,10000,0.1989246295712096,-0.09878490317368982,0.45852844569257595,True
risk__matching__matching_se_gene_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,0.2026195306307783,-0.016642453879687588,0.4067182948684287,True
risk__matching__matching_magnitude_confidence__pca10_pearson_accuracy,task,10000,10000,-0.6842746633433798,-0.810728785883538,-0.5240302948583071,True
risk__matching__matching_magnitude_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,10000,-0.6858136937152136,-0.791410922934314,-0.5613629027187982,True
risk__matching__matching_magnitude_confidence__pca10_cosine_accuracy,task,10000,10000,-0.6867737715719056,-0.8137889739703116,-0.525580331564888,True
risk__matching__matching_magnitude_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.6879123688470948,-0.7896621852712582,-0.569343748504495,True
risk__matching__matching_magnitude_confidence__pca10_direction_accuracy,task,10000,10000,-0.6726339468398767,-0.8158129698455688,-0.483714771192786,True
risk__matching__matching_magnitude_confidence__pca10_direction_accuracy,component_gene_cluster,10000,10000,-0.6764001201069813,-0.7929800973849889,-0.533926148452868,True
risk__matching__matching_magnitude_confidence__pca10_negative_rmse,task,10000,10000,0.5673976582010287,0.31306996660715125,0.7592170222403646,True
risk__matching__matching_magnitude_confidence__pca10_negative_rmse,component_gene_cluster,10000,10000,0.5621342722074925,0.36012524846580796,0.7177535609501968,True
risk__matching__matching_magnitude_confidence__raw_pearson_accuracy_sensitivity,task,10000,10000,-0.7007481328780707,-0.8294174117007269,-0.5191029921518,True
risk__matching__matching_magnitude_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.7008469835996021,-0.7956677328260517,-0.5429861756121879,True
risk__matching__matching_magnitude_confidence__raw_cosine_accuracy_sensitivity,task,10000,10000,-0.7371598479834026,-0.8447478897144647,-0.5880027776667313,True
risk__matching__matching_magnitude_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.7384336678226116,-0.8081995892547833,-0.6190739459225922,True
risk__matching__matching_magnitude_confidence__raw_direction_accuracy_sensitivity,task,10000,10000,-0.672965865439879,-0.8015330646321003,-0.5064450816875213,True
risk__matching__matching_magnitude_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.6771350224565659,-0.77066391381184,-0.5563664052748066,True
risk__matching__matching_magnitude_confidence__raw_negative_rmse_sensitivity,task,10000,10000,0.6507566955742452,0.41805565220938234,0.8227499160339388,True
risk__matching__matching_magnitude_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,0.6447602311858365,0.4503008981499566,0.7842837385201731,True
risk__matching__hash_random_confidence__pca10_pearson_accuracy,task,10000,10000,-0.040053205756034604,-0.3420328433141045,0.27457588299698715,True
risk__matching__hash_random_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,10000,-0.038441005653264915,-0.24402611262991517,0.17537133266366886,True
risk__matching__hash_random_confidence__pca10_cosine_accuracy,task,10000,10000,-0.02034666150553272,-0.3265025793146222,0.2982831009134169,True
risk__matching__hash_random_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.019009956032648635,-0.23314269322267003,0.19917867139105028,True
