analysis_id,score_key,score_family,predictor,seed,seed_role,score,endpoint,truth_role,multiplicity_family,n_tasks,rho,na_reason,raw_one_sided_p,task_ci_low,task_ci_high,cluster_ci_low,cluster_ci_high,magnitude_score_key,official_score_key,magnitude_rho,delta_rho_vs_magnitude,delta_rho_vs_magnitude_task_ci_low,delta_rho_vs_magnitude_task_ci_high,delta_rho_vs_magnitude_cluster_ci_low,delta_rho_vs_magnitude_cluster_ci_high,official_rho,delta_rho_vs_official,delta_rho_vs_official_task_ci_low,delta_rho_vs_official_task_ci_high,delta_rho_vs_official_cluster_ci_low,delta_rho_vs_official_cluster_ci_high,holm_adjusted_p,holm_family_size
risk__matching__min_single_cell_count_confidence__pca10_pearson_accuracy,matching__min_single_cell_count_confidence,matching_risk,matching_single_mean,,not_applicable,min_single_cell_count_confidence,pca10_pearson_accuracy,secondary,secondary_risk_holm_family,48,-0.13408618822485976,,0.8182196584767973,-0.4341609095301811,0.1861591963589963,-0.37435657292208907,0.12910574168143432,matching__matching_magnitude_confidence,,-0.6974598349978289,0.5633736467729692,0.2610972690801921,0.856687474821008,0.345239309208211,0.7633953060021277,,,,,,,1.0,134
risk__matching__min_single_cell_count_confidence__pca10_cosine_accuracy,matching__min_single_cell_count_confidence,matching_risk,matching_single_mean,,not_applicable,min_single_cell_count_confidence,pca10_cosine_accuracy,secondary,secondary_risk_holm_family,48,-0.13904427157653074,,0.8270375439826753,-0.44082483944597006,0.18025374500051608,-0.38253835090682087,0.11201594223838375,matching__matching_magnitude_confidence,,-0.6996309161962657,0.560586644619735,0.2564499521722073,0.8544432747442429,0.3361418635547282,0.7629832313327339,,,,,,,1.0,134
risk__matching__min_single_cell_count_confidence__pca10_direction_accuracy,matching__min_single_cell_count_confidence,matching_risk,matching_single_mean,,not_applicable,min_single_cell_count_confidence,pca10_direction_accuracy,secondary,secondary_risk_holm_family,48,-0.27320219145062713,,0.9698657696319294,-0.5431176423524332,0.034709122665866766,-0.4879074358042178,-0.07677132376919057,matching__matching_magnitude_confidence,,-0.6849791090239993,0.41177691757337215,0.11917356272710809,0.7138024777975657,0.19013291655038467,0.6135453822723933,,,,,,,1.0,134
risk__matching__min_single_cell_count_confidence__pca10_negative_rmse,matching__min_single_cell_count_confidence,matching_risk,matching_single_mean,,not_applicable,min_single_cell_count_confidence,pca10_negative_rmse,secondary,secondary_risk_holm_family,48,0.009807197838470035,,0.4736265123463814,-0.262649344221344,0.2823184321658796,-0.2038693907013455,0.21898268449743893,matching__matching_magnitude_confidence,,0.5769648284845853,-0.5671576306461152,-0.8578442805604745,-0.25798933546235714,-0.8008826539324675,-0.2633025311145048,,,,,,,1.0,134
risk__matching__min_single_cell_count_confidence__raw_pearson_accuracy_sensitivity,matching__min_single_cell_count_confidence,matching_risk,matching_single_mean,,not_applicable,min_single_cell_count_confidence,raw_pearson_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.1264583676838275,,0.195865993039251,-0.1614407990379307,0.38852784287275627,-0.14464782316305222,0.3841268510858551,matching__matching_magnitude_confidence,,-0.7121146330872775,0.838573000771105,0.5573097403371278,1.0976283436067142,0.5925280781148307,1.0452108110390628,,,,,,,1.0,134
risk__matching__min_single_cell_count_confidence__raw_cosine_accuracy_sensitivity,matching__min_single_cell_count_confidence,matching_risk,matching_single_mean,,not_applicable,min_single_cell_count_confidence,raw_cosine_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.07867552043750406,,0.29752337282936425,-0.21494759638713112,0.35475915146832643,-0.1801425780157679,0.33034903098436613,matching__matching_magnitude_confidence,,-0.7494572297003907,0.8281327501378948,0.5391986372810743,1.093693397790587,0.5804627357550589,1.0448688967533917,,,,,,,1.0,134
risk__matching__min_single_cell_count_confidence__raw_direction_accuracy_sensitivity,matching__min_single_cell_count_confidence,matching_risk,matching_single_mean,,not_applicable,min_single_cell_count_confidence,raw_direction_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.12158861062858196,,0.20518398266832533,-0.19590140184920155,0.41971083321167885,-0.17714929211411237,0.3815216396965016,matching__matching_magnitude_confidence,,-0.6850132996032814,0.8066019102318633,0.516628036105643,1.0665867740896173,0.5536525236899349,1.0045183059586538,,,,,,,1.0,134
risk__matching__min_single_cell_count_confidence__raw_negative_rmse_sensitivity,matching__min_single_cell_count_confidence,matching_risk,matching_single_mean,,not_applicable,min_single_cell_count_confidence,raw_negative_rmse_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.17930826714669382,,0.11133666564178299,-0.11019461066226391,0.44207131853227427,-0.028613441622321937,0.36465871474791794,matching__matching_magnitude_confidence,,0.6601172383847156,-0.4808089712380218,-0.7830404344005842,-0.17764588068854878,-0.7058181869925422,-0.1940502521206404,,,,,,,1.0,134
risk__matching__min_train_pair_degree_confidence__pca10_pearson_accuracy,matching__min_train_pair_degree_confidence,matching_risk,matching_single_mean,,not_applicable,min_train_pair_degree_confidence,pca10_pearson_accuracy,secondary,secondary_risk_holm_family,48,-0.07339018125028741,,0.6899570354285727,-0.3524570578688962,0.20748050181398045,-0.3364040301095733,0.1292499629450666,matching__matching_magnitude_confidence,,-0.6974598349978289,0.6240696537475415,0.3088519000731386,0.916176136301856,0.3642687071441598,0.8259661310888016,,,,,,,1.0,134
risk__matching__min_train_pair_degree_confidence__pca10_cosine_accuracy,matching__min_train_pair_degree_confidence,matching_risk,matching_single_mean,,not_applicable,min_train_pair_degree_confidence,pca10_cosine_accuracy,secondary,secondary_risk_holm_family,48,-0.06090058715197043,,0.6595340112027555,-0.3414036577808787,0.21968751838804398,-0.3220220269923934,0.14140480713344966,matching__matching_magnitude_confidence,,-0.6996309161962657,0.6387303290442953,0.32218171495396014,0.9320080062548518,0.3792343702805568,0.8408440343365817,,,,,,,1.0,134
