condition,n_full_cells,n_half_a,n_half_b,half_a_obs_name_sha256,half_b_obs_name_sha256,interpretation,raw_pearson,raw_pearson_na_reason,raw_cosine,raw_cosine_na_reason,raw_direction_accuracy,raw_mse,raw_rmse,raw_top20_pearson,raw_top20_pearson_na_reason,raw_top20_cosine,raw_top20_cosine_na_reason,raw_top20_direction_accuracy,raw_top20_mse,raw_top20_rmse,pca10_pearson,pca10_pearson_na_reason,pca10_cosine,pca10_cosine_na_reason,pca10_direction_accuracy,pca10_mse,pca10_rmse,pca10_top20_pearson,pca10_top20_pearson_na_reason,pca10_top20_cosine,pca10_top20_cosine_na_reason,pca10_top20_direction_accuracy,pca10_top20_mse,pca10_top20_rmse
DOT1L+GATA2,170,85,85,faa5e1ed4d65cf1e7bd617c4332cfe0e63834ca825ca303819b464d5d22ff212,e87260a47d8fe27f0ba912aa72cbaeab5672bd5057cc015e8d84e81f26a6a992,split_half_reproducibility_benchmark_reference_not_upper_bound,0.6612562677015916,,0.6802752809345753,,0.625308947108255,0.0033004305628104393,0.05744937391138775,0.9700993975302413,,0.9685117390234974,,1.0,0.015999010311825077,0.12648719426022967,0.9467200716000269,,0.951209044708314,,0.9065743944636678,0.0005637944897948484,0.023744357009505404,0.9863012539142549,,0.985194869228367,,1.0,0.007537072100562204,0.08681631241052688
DOT1L+HDAC3,266,133,133,ff9735e776cd265aa2d25a13d338cc993228ecbba2947cc5cd63b986078318d9,3b73e5c26655040d67f2fe8cf80b2a405af93ab6c4e4eb98404b35d400369dc1,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8750255131189868,,0.8696335596877229,,0.6668314384577361,0.0022452391777255717,0.04738395485526268,0.9893244757986831,,0.9936978382389158,,1.0,0.008399516736868434,0.0916488774446716,0.9672899994105502,,0.9571171322303103,,0.9001482946119624,0.0005075042914135121,0.02252785589916431,0.9921581541051578,,0.9978956471208651,,1.0,0.002940218628345349,0.054223782866426325
DOT1L+KDM1A,163,82,81,c446de01ca5dde0386d14d03ceff91220ba302bb11c0fc729b64bbf82b773c87,5fe78fe60aad42a7c25d3ecea7533321bec1e23059e467840b77752470159001,split_half_reproducibility_benchmark_reference_not_upper_bound,0.953850691401979,,0.9528240083180887,,0.7439446366782007,0.0035697233955212663,0.059747162238229075,0.9965217394302281,,0.9990022708930046,,1.0,0.003789294955324512,0.06155724941324549,0.9923998951898422,,0.9897704631586596,,0.967375185368265,0.0008571780567776719,0.029277603330492608,0.9993880066533146,,0.9997815402399899,,1.0,0.0008740971320149102,0.02956513372225653
DOT1L+MED24,288,144,144,4892f90391505b79f03ff178d5c43a0a445034e1f4c7df050b507c814309ce19,86d6d37eb197015564852841f113d88d9c1155e91feaafab36fc4bf80ecab5d8,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9632796215064474,,0.9657893504179177,,0.79634206623826,0.0018255808369460622,0.042726816368014855,0.9925656776441765,,0.9935084378513903,,1.0,0.007466866401423184,0.0864110317113688,0.9979181816864898,,0.9980623392765756,,0.9881364310430054,0.00012216700876586362,0.011052918563251229,0.999314116066458,,0.9992828397753275,,1.0,0.0012649885636342964,0.03556667771431985
DOT1L+RCOR1,188,94,94,94b10221cdf79b464fee05af45ae17eec40a50a5e817e969fd6062855c057e16,7b2297a189f40d8d0e240cb2393b00a1a1c14ad91983cb0142eab43b285b42c7,split_half_reproducibility_benchmark_reference_not_upper_bound,0.720091783910186,,0.7244507378318009,,0.6317350469599604,0.0025185035821861674,0.05018469470053761,0.9796980994094098,,0.9653391937050495,,1.0,0.006978518934423455,0.0835375300953018,0.9518600868269567,,0.946976141911602,,0.9144834404349975,0.0003583215784581839,0.018929383995740165,0.9892999329776566,,0.9803701645848114,,1.0,0.0028248084392641084,0.05314892698130517
DOT1L+RING1,178,89,89,172b6cdcc3542870d7e45baa3d01c375c9ad6d64ac8ff112fee210fdb209bc45,b07ba81cd0eef34ac4717baeb8b2de9ab348cd06423386469d538f34d3777778,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8217880268502196,,0.8199778531709265,,0.6782006920415224,0.002925818821578258,0.05409083861041773,0.956805006513637,,0.951534396215248,,1.0,0.018256587054379523,0.13511693844362935,0.9706179106945605,,0.9638617119865908,,0.9223924864063272,0.0007267139366812359,0.026957632252874803,0.9852478630415539,,0.9854750917798666,,1.0,0.010625497667285747,0.10308005465309837
DOT1L+SMARCD1,204,102,102,8c2fdb3dd471492cec0d842dbb879b0df03d9a9dd7823d067e3a477d0ef13637,d99157504c6fa3a8006bd1c6d684525351bd34ec7265e337685b6de9ea2982bc,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8672626291555522,,0.8729976039516647,,0.7231833910034602,0.0030384546190709385,0.055122179012362514,0.9823649898196198,,0.9819352109792825,,1.0,0.009660782147837964,0.09828927788847552,0.9672232790641414,,0.9672218547342103,,0.9525457241720218,0.0008140645026066874,0.0285318156205785,0.981377140989015,,0.9818516135540022,,1.0,0.01004512239625476,0.10022535805002025
EP300+IKZF1,91,46,45,8d7de4086c9b42f25888744517ca410f7dfbb999d248381e2b0b59a9ef8a9233,c0a77b7aa4e2bbc54f138170364ac093437822b40fb7746d1e43627ae39975fa,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8037196782385141,,0.8295657273836418,,0.6890756302521008,0.005943945015224171,0.07709698447555631,0.9712716216472442,,0.9784069473144302,,1.0,0.025138621601862286,0.15855163702044292,0.975738395054986,,0.9788586620231606,,0.9560059317844785,0.0007528361770107635,0.02743786028484662,0.997062516187755,,0.9978816732325443,,1.0,0.008510670392121457,0.09225329474940966
EP300+MYB,121,61,60,9933d3199ae1020c4c23df6b68578e0ac2010b1236bfb22922aec7fdd6f7da75,33f8bcb80d50d3903dfb10a9393034af5018651c28dac2db604e67ebc6624bdd,split_half_reproducibility_benchmark_reference_not_upper_bound,0.935536677010095,,0.9399635945503066,,0.7637172516065249,0.005834156704753419,0.07638165162362895,0.9932786199030024,,0.9934168332854199,,1.0,0.05077564087433678,0.2253345088403833,0.9924853164986343,,0.9923381065460274,,0.9767671774592189,0.0011843627352213137,0.03441457155365026,0.9984938178362746,,0.9987194311386497,,1.0,0.02626686596859561,0.16207055861135178
FLI1+GSE1,151,76,75,fb7f75a8673acbfb3daca071059e0c20ab280d67918c2e60bf0f14a975779d2f,2221106079586f0335055e47e1d7a02117aeb4002fcd08c7760f1538b9270907,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9171144195614117,,0.9186060942698298,,0.749876421156698,0.004460579425010123,0.06678756938989562,0.9902462905175836,,0.9896137912253806,,1.0,0.019025677690808342,0.13793359884672168,0.9771059914715762,,0.9757024283391018,,0.9609490855165596,0.0014783391241784656,0.0384491758582478,0.9921711130378079,,0.9887329713342806,,1.0,0.01679496941144176,0.1295954065985433
