dataset,metric,n_draws,ci95_low,ci95_high,p_gt_zero
Frangieh,delta_stack_minus_magnitude,3000,0.053145691872379754,0.1216018060714721,1
Frangieh,delta_stack_minus_safeconf,3000,-0.065643430291173741,0.028974239011371656,0.219
Frangieh,delta_stack_minus_disagreement,3000,0.061688865210479053,0.13614608850191817,1
Lara_exvivo,delta_stack_minus_magnitude,3000,0.050771759190660133,0.20303909664542033,0.9996666666666667
Lara_exvivo,delta_stack_minus_safeconf,3000,-0.17874535957157264,-0.031713183015286542,0.0030000000000000001
Lara_exvivo,delta_stack_minus_disagreement,3000,0.019786672921663258,0.16288971111682224,0.99399999999999999
Liang,delta_stack_minus_magnitude,3000,-0.00060652940467779493,0.18357201675822277,0.97433333333333338
Liang,delta_stack_minus_safeconf,3000,-0.12765576781821289,0.019677522390840113,0.084000000000000005
Liang,delta_stack_minus_disagreement,3000,-0.01025196489115511,0.16440361653173485,0.96133333333333337
Nadig_two_cellline,delta_stack_minus_magnitude,3000,-0.17906980329495872,0.02011486577452877,0.058666666666666666
Nadig_two_cellline,delta_stack_minus_safeconf,3000,0.042846885373287562,0.13957453029844855,1
Nadig_two_cellline,delta_stack_minus_disagreement,3000,0.013710026706616384,0.16974406229133995,0.98933333333333329
Replogle_two_cellline,delta_stack_minus_magnitude,3000,-0.17085191948754785,0.050182563955229319,0.15366666666666667
Replogle_two_cellline,delta_stack_minus_safeconf,3000,-0.12615566849111379,0.077368524974646039,0.33300000000000002
Replogle_two_cellline,delta_stack_minus_disagreement,3000,0.053882645899980881,0.31981873792440563,0.9976666666666667
Santinha,delta_stack_minus_magnitude,3000,-0.10482417638509769,0.11667387162574686,0.6176666666666667
Santinha,delta_stack_minus_safeconf,3000,-0.23378669892385953,0.003643935238210683,0.030333333333333334
Santinha,delta_stack_minus_disagreement,3000,-0.081094891988515841,0.20768064220885382,0.84299999999999997
Shifrut,delta_stack_minus_magnitude,3000,-0.11677669528110193,0.14640345498318991,0.54433333333333334
Shifrut,delta_stack_minus_safeconf,3000,-0.028821971326417613,0.10010212605671745,0.85533333333333328
Shifrut,delta_stack_minus_disagreement,3000,0.03269773062281852,0.31724059909651237,0.99233333333333329
Tian_CRISPRi,delta_stack_minus_magnitude,3000,0.019579403154866778,0.13085786879073172,0.997
Tian_CRISPRi,delta_stack_minus_safeconf,3000,-0.035003619149015584,0.046536628123662362,0.62033333333333329
Tian_CRISPRi,delta_stack_minus_disagreement,3000,0.070768656607786889,0.24556844953588131,0.9996666666666667
