unit_id,study_id,lane,endpoint_id,perturbation_family,candidate_name,role,synthetic_kind,n_tasks,required_resolution,score_all_finite,score_unique,score_unique_fraction,score_std,G2_score_estimability_passed,prediction_all_finite,n_predictors,vector_dimensions,min_quantized_unique_vectors,min_predictor_max_coordinate_std,prediction_unique_fraction_min,G3_prediction_task_conditioning_passed,G4_replicate_stability_evaluated,G4_replicate_stability_passed,score_vs_magnitude_spearman,G5_exact_weak_order_equivalent,G5_near_redundant_abs_rho_ge_0_98,predictor_viability_fraction_vs_simple,authorization_status,reason_codes,target_truth_used_for_G0_to_G5,aurc_delta_vs_magnitude
SYN::Frangieh::constant_score,Frangieh,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_exact_constant,synthetic_negative,exact_constant,837,419,True,1,0.0011947431302270011,1.3877787807814457e-17,False,True,2,512;512,837,0.0060974041699665459,1,True,False,,,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.00090013856801709341
SYN::Frangieh::epsilon_jitter,Frangieh,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_machine_epsilon_jitter,synthetic_negative,epsilon_jitter,837,419,True,837,1,2.4162091523374271e-10,False,True,2,512;512,837,0.0060974041699665459,1,True,False,,0.34912905693849888,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.00090013856801709341
SYN::Frangieh::prediction_collapse,Frangieh,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_score_with_collapsed_prediction,synthetic_negative,prediction_collapse,837,419,True,562,0.67144563918757472,0.0066085930536666738,True,True,2,512;512,1,0,0.0011947431302270011,False,False,,0.43719715457043817,False,False,,ABSTAIN_PREDICTOR_COLLAPSE,G3_PREDICTOR_COLLAPSE,False,-0.00025753371816400472
SYN::Frangieh::magnitude_clone,Frangieh,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_magnitude_clone,synthetic_baseline_clone,magnitude_clone,837,419,True,837,1,0.0035255125591666268,True,True,2,512;512,837,0.0060974041699665459,1,True,False,,0.99999999999999989,True,True,,ASSOCIATION_ONLY_BASELINE_EQUIVALENT,G5_BASELINE_EQUIVALENT,False,0
SYN::Lara_exvivo::constant_score,Lara_exvivo,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_exact_constant,synthetic_negative,exact_constant,345,173,True,1,0.0028985507246376812,0,False,True,2,512;512,340,0.034525879064726886,0.98550724637681164,True,False,,,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.0031470361472547143
SYN::Lara_exvivo::epsilon_jitter,Lara_exvivo,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_machine_epsilon_jitter,synthetic_negative,epsilon_jitter,345,173,True,345,1,9.9592503076629087e-11,False,True,2,512;512,340,0.034525879064726886,0.98550724637681164,True,False,,-0.012185193194503703,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.0031470361472547143
SYN::Lara_exvivo::prediction_collapse,Lara_exvivo,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_score_with_collapsed_prediction,synthetic_negative,prediction_collapse,345,173,True,345,1,0.021470865297529791,True,True,2,512;512,1,0,0.0028985507246376812,False,False,,0.57707586924376231,False,False,,ABSTAIN_PREDICTOR_COLLAPSE,G3_PREDICTOR_COLLAPSE,False,-0.0014473200292916405
SYN::Lara_exvivo::magnitude_clone,Lara_exvivo,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_magnitude_clone,synthetic_baseline_clone,magnitude_clone,345,173,True,345,1,0.012522920893022291,True,True,2,512;512,340,0.034525879064726886,0.98550724637681164,True,False,,1,True,True,,ASSOCIATION_ONLY_BASELINE_EQUIVALENT,G5_BASELINE_EQUIVALENT,False,0
SYN::Liang::constant_score,Liang,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_exact_constant,synthetic_negative,exact_constant,612,306,True,1,0.0016339869281045752,0,False,True,2,512;512,560,0.038537252869466646,0.91503267973856206,True,False,,,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,-0.0002946744546196145
SYN::Liang::epsilon_jitter,Liang,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_machine_epsilon_jitter,synthetic_negative,epsilon_jitter,612,306,True,612,1,1.7666894649380811e-10,False,True,2,512;512,560,0.038537252869466646,0.91503267973856206,True,False,,-0.11615740028907387,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,-0.0002946744546196145
