unit_id,study_id,lane,endpoint_id,perturbation_family,candidate_name,role,score_transform,score_numeric_unit,score_registered_precision,magnitude_transform,magnitude_numeric_unit,magnitude_registered_precision,prediction_numeric_unit,prediction_registered_precision,predictor_assets_json
E153::Frangieh,Frangieh,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""GEARS_context_mean_trainonly_graphs"": ""unit_00_predictor_00"", ""scGPT_context_mean_finetuned"": ""unit_00_predictor_01""}"
E153::Lara_exvivo,Lara_exvivo,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""GEARS_context_mean_trainonly_graphs"": ""unit_01_predictor_00"", ""scGPT_context_mean_finetuned"": ""unit_01_predictor_01""}"
E153::Liang,Liang,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""GEARS_context_mean_trainonly_graphs"": ""unit_02_predictor_00"", ""scGPT_context_mean_finetuned"": ""unit_02_predictor_01""}"
E153::Nadig_two_cellline,Nadig_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""GEARS_context_mean_trainonly_graphs"": ""unit_03_predictor_00"", ""scGPT_context_mean_finetuned"": ""unit_03_predictor_01""}"
E153::Replogle_two_cellline,Replogle_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""GEARS_context_mean_trainonly_graphs"": ""unit_04_predictor_00"", ""scGPT_context_mean_finetuned"": ""unit_04_predictor_01""}"
E153::Santinha,Santinha,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""GEARS_context_mean_trainonly_graphs"": ""unit_05_predictor_00"", ""scGPT_context_mean_finetuned"": ""unit_05_predictor_01""}"
E153::Shifrut,Shifrut,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""GEARS_context_mean_trainonly_graphs"": ""unit_06_predictor_00"", ""scGPT_context_mean_finetuned"": ""unit_06_predictor_01""}"
E153::Tian_CRISPRi,Tian_CRISPRi,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""GEARS_context_mean_trainonly_graphs"": ""unit_07_predictor_00"", ""scGPT_context_mean_finetuned"": ""unit_07_predictor_01""}"
E96::Norman_P1,Norman_P1,MODEL_UQ,prescribe_paper_pearson_accuracy_loss,genetic,prescribe_official_combined_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""PRESCRIBE"": ""unit_08_predictor_00""}"
E96::Norman_P2,Norman_P2,MODEL_UQ,prescribe_paper_pearson_accuracy_loss,genetic,prescribe_official_combined_risk,real_noncollapsed_reference,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,identity_as_loaded_by_E167_v1,provider_output_unit_frozen_no_rescale,1e-6,effect_vector_provider_unit_frozen_no_rescale,1e-6,"{""PRESCRIBE"": ""unit_09_predictor_00""}"
