culture_condition,stratum,score_name,n_tasks,score_quantized_levels,score_max_tie_fraction,aurc_tie_average,aurc_best_legal_tie_order,aurc_worst_legal_tie_order
Rest,all_200,SafeConf,200,200,0.0050000000000000001,0.11870944312455595,0.11870944312455595,0.11870944312455595
Rest,all_200,magnitude,200,198,0.01,0.11901002324918339,0.11901002324918339,0.11901002324918339
Rest,all_200,disagreement_only,200,200,0.0050000000000000001,0.11740074018475705,0.11740074018475705,0.11740074018475705
Rest,all_200,support_only,200,2,0.80000000000000004,0.12152985443050299,0.095523228135084848,0.14691262095293639
Rest,all_200,context_only,200,1,1,0.12092824654229978,0.087069627291432167,0.15668553446308497
Rest,seen_160,SafeConf,160,160,0.0062500000000000003,0.11857352621773019,0.11857352621773019,0.11857352621773019
Rest,seen_160,magnitude,160,158,0.012500000000000001,0.12087726220095854,0.12087726220095854,0.12087726220095854
Rest,seen_160,disagreement_only,160,160,0.0062500000000000003,0.11857352621773019,0.11857352621773019,0.11857352621773019
Rest,seen_160,support_only,160,1,1,0.12162531951561008,0.08664322853750886,0.15871659273042607
Rest,seen_160,context_only,160,1,1,0.12162531951561008,0.08664322853750886,0.15871659273042607
Rest,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.11499549853881424,0.11499549853881424,0.11499549853881424
Rest,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.11044522105576593,0.11044522105576593,0.11044522105576593
Rest,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.11499549853881424,0.11499549853881424,0.11499549853881424
Rest,column_unseen_40_descriptive,support_only,40,1,1,0.11813995464905867,0.089571375684253454,0.14755182923032079
Rest,column_unseen_40_descriptive,context_only,40,1,1,0.11813995464905867,0.089571375684253454,0.14755182923032079
Stim8hr,all_200,SafeConf,200,200,0.0050000000000000001,0.12251781287497082,0.12251781287497082,0.12251781287497082
Stim8hr,all_200,magnitude,200,199,0.01,0.125491385997022,0.125491385997022,0.125491385997022
Stim8hr,all_200,disagreement_only,200,199,0.01,0.12553131665290393,0.12553131665290393,0.12553131665290393
Stim8hr,all_200,support_only,200,2,0.80000000000000004,0.12611743106888471,0.10622494887164338,0.14548142629994168
Stim8hr,all_200,context_only,200,1,1,0.12819337678703982,0.098883593527938865,0.15893561328055855
Stim8hr,seen_160,SafeConf,160,160,0.0062500000000000003,0.12198115827088327,0.12198115827088327,0.12198115827088327
Stim8hr,seen_160,magnitude,160,160,0.0062500000000000003,0.12319632441570201,0.12319632441570201,0.12319632441570201
Stim8hr,seen_160,disagreement_only,160,160,0.0062500000000000003,0.12198115827088327,0.12198115827088327,0.12198115827088327
Stim8hr,seen_160,support_only,160,1,1,0.12578801328938508,0.099414253884712728,0.15322304632353304
Stim8hr,seen_160,context_only,160,1,1,0.12578801328938508,0.099414253884712728,0.15322304632353304
Stim8hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.12742023721085607,0.12742023721085607,0.12742023721085607
Stim8hr,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.12530498220078148,0.12530498220078148,0.12530498220078148
Stim8hr,column_unseen_40_descriptive,disagreement_only,40,39,0.050000000000000003,0.12742023721085607,0.12742023721085607,0.12742023721085607
Stim8hr,column_unseen_40_descriptive,support_only,40,1,1,0.13781483077765883,0.09771368523328873,0.18018770864845884
Stim8hr,column_unseen_40_descriptive,context_only,40,1,1,0.13781483077765883,0.09771368523328873,0.18018770864845884
Stim48hr,all_200,SafeConf,200,200,0.0050000000000000001,0.121495083023412,0.121495083023412,0.121495083023412
Stim48hr,all_200,magnitude,200,198,0.01,0.12140252259350455,0.12140252259350455,0.12140252259350455
Stim48hr,all_200,disagreement_only,200,200,0.0050000000000000001,0.11907380817134192,0.11907380817134192,0.11907380817134192
Stim48hr,all_200,support_only,200,2,0.80000000000000004,0.12715538032836321,0.10223839542399708,0.15132801846844679
Stim48hr,all_200,context_only,200,1,1,0.12546836589682522,0.093907816780853887,0.15852921431321407
Stim48hr,seen_160,SafeConf,160,160,0.0062500000000000003,0.12079444375773943,0.12079444375773943,0.12079444375773943
Stim48hr,seen_160,magnitude,160,159,0.012500000000000001,0.12341047768687569,0.12335093487113302,0.12347002050261835
Stim48hr,seen_160,disagreement_only,160,160,0.0062500000000000003,0.12079444375773943,0.12079444375773943,0.12079444375773943
Stim48hr,seen_160,support_only,160,1,1,0.12742308123362336,0.093708790882413323,0.16282043827461781
Stim48hr,seen_160,context_only,160,1,1,0.12742308123362336,0.093708790882413323,0.16282043827461781
Stim48hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.11341156305369499,0.11341156305369499,0.11341156305369499
Stim48hr,column_unseen_40_descriptive,magnitude,40,39,0.050000000000000003,0.11148776641726839,0.11148776641726839,0.11148776641726839
Stim48hr,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.11341156305369499,0.11341156305369499,0.11341156305369499
Stim48hr,column_unseen_40_descriptive,support_only,40,1,1,0.11764950454963254,0.095281384498983684,0.14072508273008011
Stim48hr,column_unseen_40_descriptive,context_only,40,1,1,0.11764950454963254,0.095281384498983684,0.14072508273008011
