culture_condition,stratum,score_name,coverage,selected_k,risk_tie_average,risk_best_legal_tie_order,risk_worst_legal_tie_order
Rest,all_200,SafeConf,0.20000000000000001,40,0.11217641200331079,0.11217641200331079,0.11217641200331079
Rest,all_200,SafeConf,0.25,50,0.10916502127530077,0.10916502127530077,0.10916502127530077
Rest,all_200,SafeConf,0.30000000000000004,61,0.11108049739289227,0.11108049739289227,0.11108049739289227
Rest,all_200,SafeConf,0.35000000000000003,70,0.12117150933757261,0.12117150933757261,0.12117150933757261
Rest,all_200,SafeConf,0.40000000000000002,80,0.12286920561671535,0.12286920561671535,0.12286920561671535
Rest,all_200,SafeConf,0.45000000000000001,90,0.12392903341066887,0.12392903341066887,0.12392903341066887
Rest,all_200,SafeConf,0.5,100,0.12236136948896531,0.12236136948896531,0.12236136948896531
Rest,all_200,SafeConf,0.55000000000000004,111,0.1198242932753768,0.1198242932753768,0.1198242932753768
Rest,all_200,SafeConf,0.60000000000000009,121,0.11988175679075046,0.11988175679075046,0.11988175679075046
Rest,all_200,SafeConf,0.65000000000000002,130,0.11893580418029052,0.11893580418029052,0.11893580418029052
Rest,all_200,SafeConf,0.69999999999999996,140,0.1186147644582484,0.1186147644582484,0.1186147644582484
Rest,all_200,SafeConf,0.75,150,0.11866740646407142,0.11866740646407142,0.11866740646407142
Rest,all_200,SafeConf,0.80000000000000004,160,0.11795092338995752,0.11795092338995752,0.11795092338995752
Rest,all_200,SafeConf,0.85000000000000009,171,0.11844246368832466,0.11844246368832466,0.11844246368832466
Rest,all_200,SafeConf,0.90000000000000013,181,0.1202126937452949,0.1202126937452949,0.1202126937452949
Rest,all_200,SafeConf,0.94999999999999996,190,0.11969201820566031,0.11969201820566031,0.11969201820566031
Rest,all_200,SafeConf,1,200,0.12092824654229981,0.12092824654229981,0.12092824654229981
Rest,all_200,magnitude,0.20000000000000001,40,0.12296456379238056,0.12296456379238056,0.12296456379238056
Rest,all_200,magnitude,0.25,50,0.1211879679568902,0.1211879679568902,0.1211879679568902
Rest,all_200,magnitude,0.30000000000000004,61,0.11627325193592508,0.11627325193592508,0.11627325193592508
Rest,all_200,magnitude,0.35000000000000003,70,0.11477417069755282,0.11477417069755282,0.11477417069755282
Rest,all_200,magnitude,0.40000000000000002,80,0.11842824462779282,0.11842824462779282,0.11842824462779282
Rest,all_200,magnitude,0.45000000000000001,90,0.1179775066167341,0.1179775066167341,0.1179775066167341
Rest,all_200,magnitude,0.5,100,0.12009948170268951,0.12009948170268951,0.12009948170268951
Rest,all_200,magnitude,0.55000000000000004,111,0.11902396753020157,0.11902396753020157,0.11902396753020157
Rest,all_200,magnitude,0.60000000000000009,121,0.11793873410439118,0.11793873410439118,0.11793873410439118
Rest,all_200,magnitude,0.65000000000000002,130,0.12267479802054168,0.12267479802054168,0.12267479802054168
Rest,all_200,magnitude,0.69999999999999996,140,0.12081541232011375,0.12081541232011375,0.12081541232011375
Rest,all_200,magnitude,0.75,150,0.11952576255679778,0.11952576255679778,0.11952576255679778
Rest,all_200,magnitude,0.80000000000000004,160,0.11810422280522181,0.11810422280522181,0.11810422280522181
Rest,all_200,magnitude,0.85000000000000009,171,0.11780634742637315,0.11780634742637315,0.11780634742637315
Rest,all_200,magnitude,0.90000000000000013,181,0.11809513019306313,0.11809513019306313,0.11809513019306313
Rest,all_200,magnitude,0.94999999999999996,190,0.11948896832530542,0.11948896832530542,0.11948896832530542
Rest,all_200,magnitude,1,200,0.12092824654229981,0.12092824654229981,0.12092824654229981
Rest,all_200,disagreement_only,0.20000000000000001,40,0.10989798068893045,0.10989798068893045,0.10989798068893045
Rest,all_200,disagreement_only,0.25,50,0.11439477170639427,0.11439477170639427,0.11439477170639427
Rest,all_200,disagreement_only,0.30000000000000004,61,0.11150995541304778,0.11150995541304778,0.11150995541304778
Rest,all_200,disagreement_only,0.35000000000000003,70,0.11370399022397461,0.11370399022397461,0.11370399022397461
Rest,all_200,disagreement_only,0.40000000000000002,80,0.11325092321742294,0.11325092321742294,0.11325092321742294
Rest,all_200,disagreement_only,0.45000000000000001,90,0.11365147545881014,0.11365147545881014,0.11365147545881014
Rest,all_200,disagreement_only,0.5,100,0.11602465149303484,0.11602465149303484,0.11602465149303484
Rest,all_200,disagreement_only,0.55000000000000004,111,0.12018172705183923,0.12018172705183923,0.12018172705183923
Rest,all_200,disagreement_only,0.60000000000000009,121,0.12259466263395527,0.12259466263395527,0.12259466263395527
Rest,all_200,disagreement_only,0.65000000000000002,130,0.12134071849156998,0.12134071849156998,0.12134071849156998
Rest,all_200,disagreement_only,0.69999999999999996,140,0.12013182564043406,0.12013182564043406,0.12013182564043406
Rest,all_200,disagreement_only,0.75,150,0.11914127306738474,0.11914127306738474,0.11914127306738474
Rest,all_200,disagreement_only,0.80000000000000004,160,0.11922741861388557,0.11922741861388557,0.11922741861388557
Rest,all_200,disagreement_only,0.85000000000000009,171,0.11904861528315754,0.11904861528315754,0.11904861528315754
Rest,all_200,disagreement_only,0.90000000000000013,181,0.11872703402349846,0.11872703402349846,0.11872703402349846
Rest,all_200,disagreement_only,0.94999999999999996,190,0.12006968702208809,0.12006968702208809,0.12006968702208809
Rest,all_200,disagreement_only,1,200,0.12092824654229981,0.12092824654229981,0.12092824654229981
Rest,all_200,support_only,0.20000000000000001,40,0.12162531951561009,0.070182722907931219,0.21284596455896354
Rest,all_200,support_only,0.25,50,0.12162531951561009,0.072462860296147513,0.19509768226427113
Rest,all_200,support_only,0.30000000000000004,61,0.12162531951561008,0.07514294078532914,0.18100210378551126
Rest,all_200,support_only,0.35000000000000003,70,0.12162531951561008,0.077276687332280741,0.17181021577029668
Rest,all_200,support_only,0.40000000000000002,80,0.12162531951561009,0.079962120762525221,0.16328851826869495
Rest,all_200,support_only,0.45000000000000001,90,0.12162531951561009,0.082592622428631621,0.15611870010264403
Rest,all_200,support_only,0.5,100,0.12162531951561009,0.085306926970768804,0.14965876603094672
Rest,all_200,support_only,0.55000000000000004,111,0.12162531951561008,0.088518126788679055,0.143425598984535
Rest,all_200,support_only,0.60000000000000009,121,0.12162531951561008,0.091560596372360484,0.13828293091533153
Rest,all_200,support_only,0.65000000000000002,130,0.12162531951561008,0.095164570765484707,0.13405813170623285
Rest,all_200,support_only,0.69999999999999996,140,0.12162531951561008,0.1010797026686599,0.12970068954628067
Rest,all_200,support_only,0.75,150,0.12162531951561009,0.10878828478235855,0.12565509240260078
Rest,all_200,support_only,0.80000000000000004,160,0.12162531951561009,0.12162531951561009,0.12162531951561009
Rest,all_200,support_only,0.85000000000000009,171,0.12140111475811262,0.11849614646933763,0.12546819622526023
Rest,all_200,support_only,0.90000000000000013,181,0.1212209401664522,0.11729606568319535,0.12497976213522899
Rest,all_200,support_only,0.94999999999999996,190,0.12107499874720724,0.11754319381487306,0.12354312204290585
Rest,all_200,support_only,1,200,0.12092824654229981,0.12092824654229981,0.12092824654229981
Rest,all_200,context_only,0.20000000000000001,40,0.12092824654229979,0.068160561918665971,0.22389340908660679
Rest,all_200,context_only,0.25,50,0.12092824654229979,0.07027008382230028,0.2075659926171991
Rest,all_200,context_only,0.30000000000000004,61,0.12092824654229979,0.072449501535309699,0.19310861591106743
Rest,all_200,context_only,0.35000000000000003,70,0.12092824654229979,0.074380437710154179,0.18370230364653287
Rest,all_200,context_only,0.40000000000000002,80,0.12092824654229979,0.076396773911105942,0.17500604832827085
Rest,all_200,context_only,0.45000000000000001,90,0.12092824654229979,0.078509340130408278,0.16763463833607151
Rest,all_200,context_only,0.5,100,0.12092824654229979,0.080624468420006798,0.1612320246645928
Rest,all_200,context_only,0.55000000000000004,111,0.12092824654229979,0.082917772835473788,0.15511094788471591
