guide_id,ensembl_core,perturbed_gene_name,observed_ensembl_core,observed_gene_name,design_observed_mapping_match,n_donor_state_pairs_present,minimum_identity_rows_per_donor_state,complete_12_donor_state_identity,used_for_assay_available_universe
AASS-1,ENSG00000008311,AASS,ENSG00000008311,AASS,True,12.0,1.0,True,True
AASS-2,ENSG00000008311,AASS,ENSG00000008311,AASS,True,12.0,1.0,True,True
ACAT2-1,ENSG00000120437,ACAT2,ENSG00000120437,ACAT2,True,12.0,1.0,True,True
ACAT2-2,ENSG00000120437,ACAT2,ENSG00000120437,ACAT2,True,12.0,1.0,True,True
ACVR1B-1,ENSG00000135503,ACVR1B,ENSG00000135503,ACVR1B,True,12.0,1.0,True,True
ACVR1B-2,ENSG00000135503,ACVR1B,ENSG00000135503,ACVR1B,True,12.0,1.0,True,True
ADAT1-1,ENSG00000065457,ADAT1,ENSG00000065457,ADAT1,True,12.0,1.0,True,True
ADAT1-2,ENSG00000065457,ADAT1,ENSG00000065457,ADAT1,True,12.0,1.0,True,True
AFAP1L2-1,ENSG00000169129,AFAP1L2,ENSG00000169129,AFAP1L2,True,12.0,1.0,True,True
AFAP1L2-2,ENSG00000169129,AFAP1L2,ENSG00000169129,AFAP1L2,True,12.0,1.0,True,True
ANKRD61-1,ENSG00000157999,ANKRD61,ENSG00000157999,ANKRD61,True,12.0,1.0,True,True
ANKRD61-2,ENSG00000157999,ANKRD61,ENSG00000157999,ANKRD61,True,12.0,1.0,True,True
AP3S2-1,ENSG00000157823,AP3S2,ENSG00000157823,AP3S2,True,12.0,1.0,True,True
AP3S2-2,ENSG00000157823,AP3S2,ENSG00000157823,AP3S2,True,12.0,1.0,True,True
AP5Z1-1,ENSG00000242802,AP5Z1,ENSG00000242802,AP5Z1,True,12.0,1.0,True,True
AP5Z1-2,ENSG00000242802,AP5Z1,ENSG00000242802,AP5Z1,True,12.0,1.0,True,True
ARHGAP45-1,ENSG00000180448,ARHGAP45,ENSG00000180448,ARHGAP45,True,12.0,1.0,True,True
ARHGAP45-2,ENSG00000180448,ARHGAP45,ENSG00000180448,ARHGAP45,True,12.0,1.0,True,True
ARL6IP1-1,ENSG00000170540,ARL6IP1,ENSG00000170540,ARL6IP1,True,12.0,1.0,True,True
ARL6IP1-2,ENSG00000170540,ARL6IP1,ENSG00000170540,ARL6IP1,True,12.0,1.0,True,True
ASB16-1,ENSG00000161664,ASB16,ENSG00000161664,ASB16,True,12.0,1.0,True,True
ASB16-2,ENSG00000161664,ASB16,ENSG00000161664,ASB16,True,12.0,1.0,True,True
ATF2-1,ENSG00000115966,ATF2,ENSG00000115966,ATF2,True,12.0,1.0,True,True
ATF2-2,ENSG00000115966,ATF2,ENSG00000115966,ATF2,True,12.0,1.0,True,True
ATF7IP2-1,ENSG00000166669,ATF7IP2,ENSG00000166669,ATF7IP2,True,12.0,1.0,True,True
ATF7IP2-2,ENSG00000166669,ATF7IP2,ENSG00000166669,ATF7IP2,True,12.0,1.0,True,True
B4GALT4-1,ENSG00000121578,B4GALT4,ENSG00000121578,B4GALT4,True,12.0,1.0,True,True
B4GALT4-2,ENSG00000121578,B4GALT4,ENSG00000121578,B4GALT4,True,12.0,1.0,True,True
BAIAP3-1,ENSG00000007516,BAIAP3,ENSG00000007516,BAIAP3,True,12.0,1.0,True,True
BAIAP3-2,ENSG00000007516,BAIAP3,ENSG00000007516,BAIAP3,True,12.0,1.0,True,True
BAZ2A-1,ENSG00000076108,BAZ2A,ENSG00000076108,BAZ2A,True,12.0,1.0,True,True
BAZ2A-2,ENSG00000076108,BAZ2A,ENSG00000076108,BAZ2A,True,12.0,1.0,True,True
BBS4-1,ENSG00000140463,BBS4,ENSG00000140463,BBS4,True,12.0,1.0,True,True
BBS4-2,ENSG00000140463,BBS4,ENSG00000140463,BBS4,True,12.0,1.0,True,True
BICD2-1,ENSG00000185963,BICD2,ENSG00000185963,BICD2,True,12.0,1.0,True,True
BICD2-2,ENSG00000185963,BICD2,ENSG00000185963,BICD2,True,12.0,1.0,True,True
BICDL1-1,ENSG00000135127,BICDL1,ENSG00000135127,BICDL1,True,12.0,1.0,True,True
BICDL1-2,ENSG00000135127,BICDL1,ENSG00000135127,BICDL1,True,12.0,1.0,True,True
CA2-1,ENSG00000104267,CA2,ENSG00000104267,CA2,True,12.0,1.0,True,True
CA2-2,ENSG00000104267,CA2,ENSG00000104267,CA2,True,12.0,1.0,True,True
CACNA1D-1,ENSG00000157388,CACNA1D,ENSG00000157388,CACNA1D,True,12.0,1.0,True,True
CACNA1D-2,ENSG00000157388,CACNA1D,ENSG00000157388,CACNA1D,True,12.0,1.0,True,True
CACNA1E-1,ENSG00000198216,CACNA1E,ENSG00000198216,CACNA1E,True,12.0,1.0,True,True
CACNA1E-2,ENSG00000198216,CACNA1E,ENSG00000198216,CACNA1E,True,12.0,1.0,True,True
CAPN2-1,ENSG00000162909,CAPN2,ENSG00000162909,CAPN2,True,12.0,1.0,True,True
CAPN2-2,ENSG00000162909,CAPN2,ENSG00000162909,CAPN2,True,12.0,1.0,True,True
CBX1-1,ENSG00000108468,CBX1,ENSG00000108468,CBX1,True,12.0,1.0,True,True
CBX1-2,ENSG00000108468,CBX1,ENSG00000108468,CBX1,True,12.0,1.0,True,True
CCDC117-1,ENSG00000159873,CCDC117,ENSG00000159873,CCDC117,True,12.0,1.0,True,True
CCDC117-2,ENSG00000159873,CCDC117,ENSG00000159873,CCDC117,True,12.0,1.0,True,True
CCDC191-1,ENSG00000163617,CCDC191,ENSG00000163617,CCDC191,True,12.0,1.0,True,True
CCDC191-2,ENSG00000163617,CCDC191,ENSG00000163617,CCDC191,True,12.0,1.0,True,True
CCM2-1,ENSG00000136280,CCM2,ENSG00000136280,CCM2,True,12.0,1.0,True,True
CCM2-2,ENSG00000136280,CCM2,ENSG00000136280,CCM2,True,12.0,1.0,True,True
CCND2-1,ENSG00000118971,CCND2,ENSG00000118971,CCND2,True,12.0,1.0,True,True
CCND2-2,ENSG00000118971,CCND2,ENSG00000118971,CCND2,True,12.0,1.0,True,True
CD22-1,ENSG00000012124,CD22,ENSG00000012124,CD22,True,12.0,1.0,True,True
CD22-2,ENSG00000012124,CD22,ENSG00000012124,CD22,True,12.0,1.0,True,True
CD276-1,ENSG00000103855,CD276,ENSG00000103855,CD276,True,12.0,1.0,True,True
CD276-2,ENSG00000103855,CD276,ENSG00000103855,CD276,True,12.0,1.0,True,True
CD93-1,ENSG00000125810,CD93,ENSG00000125810,CD93,True,12.0,1.0,True,True
CD93-2,ENSG00000125810,CD93,ENSG00000125810,CD93,True,12.0,1.0,True,True
