culture_condition,feature_or_score,n_tasks,spearman_with_test_error,tie_aware_aurc,analysis_role
Rest,frozen_SafeConf,160,0.07119711707488574,0.11882426698497756,exploratory_post_unseal_no_model_selection
Rest,magnitude,160,0.06561291456697527,0.11877695482985165,exploratory_post_unseal_no_model_selection
Rest,disagreement,160,0.07119711707488574,0.11882426698497756,exploratory_post_unseal_no_model_selection
Rest,validation_donor_error,160,0.06135005273643501,0.11725056534216349,exploratory_post_unseal_no_model_selection
Rest,train_donor_error_mean,160,0.14502519629673033,0.11514429790825959,exploratory_post_unseal_no_model_selection
Rest,train_donor_error_sd,160,0.02289640220321106,0.12470465842519862,exploratory_post_unseal_no_model_selection
Stim48hr,frozen_SafeConf,160,0.17805578342904022,0.12046907005514818,exploratory_post_unseal_no_model_selection
Stim48hr,magnitude,160,0.14513652877065508,0.12435913826309658,exploratory_post_unseal_no_model_selection
Stim48hr,disagreement,160,0.17805578342904022,0.12046907005514818,exploratory_post_unseal_no_model_selection
Stim48hr,validation_donor_error,160,0.05477557717098323,0.12124236538932433,exploratory_post_unseal_no_model_selection
Stim48hr,train_donor_error_mean,160,0.16085784600960976,0.12183458933051014,exploratory_post_unseal_no_model_selection
Stim48hr,train_donor_error_sd,160,-0.05900035157623344,0.12709478231196386,exploratory_post_unseal_no_model_selection
Stim8hr,frozen_SafeConf,160,0.12032403609515996,0.12700822900884579,exploratory_post_unseal_no_model_selection
Stim8hr,magnitude,160,0.11753486464315012,0.12327614063621667,exploratory_post_unseal_no_model_selection
Stim8hr,disagreement,160,0.12032403609515996,0.12700822900884579,exploratory_post_unseal_no_model_selection
Stim8hr,validation_donor_error,160,0.07941521153170046,0.12462636311369485,exploratory_post_unseal_no_model_selection
Stim8hr,train_donor_error_mean,160,0.10793683347005743,0.125057787368409,exploratory_post_unseal_no_model_selection
Stim8hr,train_donor_error_sd,160,0.10010840267197937,0.12141500400237867,exploratory_post_unseal_no_model_selection
