dataset_name,predictor_name,score_name,score_type,coverage,n_kept,mean_rmse,median_rmse,full_mean_rmse,rmse_delta_vs_full
sciplex3_official_3cell,ContextSimBaseline,context_similarity_score,confidence,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,context_similarity_score,confidence,0.9,2007,0.0709545326968354,0.0584199385578098,0.0706831982811667,-0.000271334415668692
sciplex3_official_3cell,ContextSimBaseline,context_similarity_score,confidence,0.8,1784,0.07054130944140567,0.05854416589448812,0.0706831982811667,0.00014188883976103128
sciplex3_official_3cell,ContextSimBaseline,context_similarity_score,confidence,0.7,1561,0.07029264477434073,0.05844995460606628,0.0706831982811667,0.0003905535068259719
sciplex3_official_3cell,ContextSimBaseline,context_similarity_score,confidence,0.6,1338,0.07020346793130074,0.05817624711415524,0.0706831982811667,0.0004797303498659672
sciplex3_official_3cell,ContextSimBaseline,context_similarity_score,confidence,0.5,1115,0.0712461532259486,0.05931356602758478,0.0706831982811667,-0.000562954944781896
sciplex3_official_3cell,ContextSimBaseline,historical_residual_risk,risk,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,historical_residual_risk,risk,0.9,2007,0.06626767048558345,0.05669608420772823,0.0706831982811667,0.0044155277955832545
sciplex3_official_3cell,ContextSimBaseline,historical_residual_risk,risk,0.8,1784,0.067519995150511,0.0572496337127565,0.0706831982811667,0.003163203130655698
sciplex3_official_3cell,ContextSimBaseline,historical_residual_risk,risk,0.7,1561,0.0693982499903395,0.05836786913598557,0.0706831982811667,0.0012849482908272036
sciplex3_official_3cell,ContextSimBaseline,historical_residual_risk,risk,0.6,1338,0.06915700294059446,0.05828799251279619,0.0706831982811667,0.001526195340572245
sciplex3_official_3cell,ContextSimBaseline,historical_residual_risk,risk,0.5,1115,0.06841058836344525,0.05737531466090746,0.0706831982811667,0.0022726099177214493
sciplex3_official_3cell,ContextSimBaseline,learned_risk_score,risk,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,learned_risk_score,risk,0.9,2007,0.061339494891274125,0.056565386734421096,0.0706831982811667,0.009343703389892578
sciplex3_official_3cell,ContextSimBaseline,learned_risk_score,risk,0.8,1784,0.056934691840594985,0.05461856037392279,0.0706831982811667,0.013748506440571719
sciplex3_official_3cell,ContextSimBaseline,learned_risk_score,risk,0.7,1561,0.05431013943393529,0.052682838007691454,0.0706831982811667,0.016373058847231413
sciplex3_official_3cell,ContextSimBaseline,learned_risk_score,risk,0.6,1338,0.05247229973145468,0.05108129605393805,0.0706831982811667,0.018210898549712022
sciplex3_official_3cell,ContextSimBaseline,learned_risk_score,risk,0.5,1115,0.05081558274860046,0.049573955196648804,0.0706831982811667,0.019867615532566246
sciplex3_official_3cell,ContextSimBaseline,model_disagreement_risk,risk,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,model_disagreement_risk,risk,0.9,2007,0.06140526358839034,0.056565386734421096,0.0706831982811667,0.009277934692776366
sciplex3_official_3cell,ContextSimBaseline,model_disagreement_risk,risk,0.8,1784,0.05753303839340578,0.05461856037392279,0.0706831982811667,0.013150159887760922
sciplex3_official_3cell,ContextSimBaseline,model_disagreement_risk,risk,0.7,1561,0.055578234908607284,0.052644093648479794,0.0706831982811667,0.01510496337255942
sciplex3_official_3cell,ContextSimBaseline,model_disagreement_risk,risk,0.6,1338,0.053780329892449005,0.05113078119554869,0.0706831982811667,0.0169028683887177
sciplex3_official_3cell,ContextSimBaseline,model_disagreement_risk,risk,0.5,1115,0.052254383481371805,0.05033848554178472,0.0706831982811667,0.0184288147997949
sciplex3_official_3cell,ContextSimBaseline,ood_distance_risk,risk,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,ood_distance_risk,risk,0.9,2007,0.07214754268419532,0.05918773220967035,0.0706831982811667,-0.0014643444030286168
sciplex3_official_3cell,ContextSimBaseline,ood_distance_risk,risk,0.8,1784,0.07360717677738973,0.06000087679853495,0.0706831982811667,-0.0029239784962230286
sciplex3_official_3cell,ContextSimBaseline,ood_distance_risk,risk,0.7,1561,0.07563445674796948,0.06101200700352361,0.0706831982811667,-0.004951258466802777
sciplex3_official_3cell,ContextSimBaseline,ood_distance_risk,risk,0.6,1338,0.07673994845452427,0.061990542677940616,0.0706831982811667,-0.006056750173357564
sciplex3_official_3cell,ContextSimBaseline,ood_distance_risk,risk,0.5,1115,0.07475674514530233,0.06066470445956378,0.0706831982811667,-0.0040735468641356215
sciplex3_official_3cell,ContextSimBaseline,perturbation_stability_score,confidence,1.0,1008,0.0654458693897525,0.05297903519458265,0.0654458693897525,0.0
sciplex3_official_3cell,ContextSimBaseline,perturbation_stability_score,confidence,0.9,908,0.06681299170727152,0.053795612990835885,0.0654458693897525,-0.0013671223175190234
sciplex3_official_3cell,ContextSimBaseline,perturbation_stability_score,confidence,0.8,807,0.06873209262901366,0.054822051380122305,0.0654458693897525,-0.0032862232392611573
sciplex3_official_3cell,ContextSimBaseline,perturbation_stability_score,confidence,0.7,706,0.07099125126679498,0.05583120394497807,0.0654458693897525,-0.005545381877042482
sciplex3_official_3cell,ContextSimBaseline,perturbation_stability_score,confidence,0.6,605,0.073985175545794,0.05782798798947909,0.0654458693897525,-0.008539306156041496
sciplex3_official_3cell,ContextSimBaseline,perturbation_stability_score,confidence,0.5,504,0.07889899117982883,0.06307573204712222,0.0654458693897525,-0.013453121790076336
sciplex3_official_3cell,ContextSimBaseline,prediction_magnitude_risk,risk,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,prediction_magnitude_risk,risk,0.9,2007,0.06204007440171371,0.056803670661347554,0.0706831982811667,0.008643123879452992
sciplex3_official_3cell,ContextSimBaseline,prediction_magnitude_risk,risk,0.8,1784,0.06173191520475504,0.057100560056059416,0.0706831982811667,0.008951283076411666
sciplex3_official_3cell,ContextSimBaseline,prediction_magnitude_risk,risk,0.7,1561,0.06173476152140652,0.05784049586114024,0.0706831982811667,0.008948436759760182
sciplex3_official_3cell,ContextSimBaseline,prediction_magnitude_risk,risk,0.6,1338,0.06210834305037429,0.059123056773235205,0.0706831982811667,0.008574855230792412
sciplex3_official_3cell,ContextSimBaseline,prediction_magnitude_risk,risk,0.5,1115,0.06293181797434938,0.06005797980890841,0.0706831982811667,0.007751380306817324
sciplex3_official_3cell,ContextSimBaseline,random_score,confidence,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,random_score,confidence,0.9,2007,0.07124663673434341,0.058429379485195776,0.0706831982811667,-0.0005634384531767039
sciplex3_official_3cell,ContextSimBaseline,random_score,confidence,0.8,1784,0.07117559207997036,0.05825614774627372,0.0706831982811667,-0.0004923937988036559
sciplex3_official_3cell,ContextSimBaseline,random_score,confidence,0.7,1561,0.07138755280184392,0.05844995460606628,0.0706831982811667,-0.0007043545206772139
sciplex3_official_3cell,ContextSimBaseline,random_score,confidence,0.6,1338,0.07124709272506118,0.05897534376782611,0.0706831982811667,-0.0005638944438944721
sciplex3_official_3cell,ContextSimBaseline,random_score,confidence,0.5,1115,0.07138841944606313,0.058399161652756555,0.0706831982811667,-0.0007052211648964218
sciplex3_official_3cell,ContextSimBaseline,simple_combined_confidence,confidence,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,simple_combined_confidence,confidence,0.9,2007,0.06147892147602034,0.056565386734421096,0.0706831982811667,0.009204276805146364
sciplex3_official_3cell,ContextSimBaseline,simple_combined_confidence,confidence,0.8,1784,0.05784234662698849,0.05464945828281738,0.0706831982811667,0.012840851654178212
sciplex3_official_3cell,ContextSimBaseline,simple_combined_confidence,confidence,0.7,1561,0.055940105267668544,0.052803628457125364,0.0706831982811667,0.01474309301349816
sciplex3_official_3cell,ContextSimBaseline,simple_combined_confidence,confidence,0.6,1338,0.05472400417163875,0.05202909547585573,0.0706831982811667,0.015959194109527952
sciplex3_official_3cell,ContextSimBaseline,simple_combined_confidence,confidence,0.5,1115,0.05361058201223136,0.05113308703976013,0.0706831982811667,0.017072616268935345
sciplex3_official_3cell,ContextSimBaseline,support_count_score,confidence,1.0,2229,0.0706831982811667,0.05829849147171779,0.0706831982811667,0.0
sciplex3_official_3cell,ContextSimBaseline,support_count_score,confidence,0.9,2007,0.07016067780603288,0.057696473121377705,0.0706831982811667,0.0005225204751338197
sciplex3_official_3cell,ContextSimBaseline,support_count_score,confidence,0.8,1784,0.07014532268611882,0.05720307253979234,0.0706831982811667,0.0005378755950478792
sciplex3_official_3cell,ContextSimBaseline,support_count_score,confidence,0.7,1561,0.06986445641881392,0.05626057307851323,0.0706831982811667,0.0008187418623527842
sciplex3_official_3cell,ContextSimBaseline,support_count_score,confidence,0.6,1338,0.06906094662073536,0.0555620855521846,0.0706831982811667,0.0016222516604313397
sciplex3_official_3cell,ContextSimBaseline,support_count_score,confidence,0.5,1115,0.06736392531619236,0.0543303142270992,0.0706831982811667,0.0033192729649743485
sciplex3_official_3cell,V0StrongBaseline,context_similarity_score,confidence,1.0,2229,0.0652525265217671,0.05389993807312226,0.0652525265217671,0.0
sciplex3_official_3cell,V0StrongBaseline,context_similarity_score,confidence,0.9,2007,0.06548318277275007,0.053988833770851175,0.0652525265217671,-0.00023065625098296627
