e170_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e170_selection_sha256,e170_column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,excluded_e168_primary_target,selection_used_expression_abundance_effect_or_error
201,P02,1,ENSG00000006007,GDE1,2,GDE1-1+GDE1-2,True,GDE1,True,True,GDE1,True,True,d19cfa540833b265c65cede63bd04d164e2dbf55c9ef0a03ed4ce4d0c5abdf9d,a681886324919e3c2428be86c05577a5cd63f4083cffad05de4dfa6e69de3f78,089f634d82bc8f4f98f180ba0b2f8d19321031c546e18cdc352538facb04e98d,02c8216c3de0ed25a5d20d80c39ff5898f1d489238501fcbc8c8e1fdaeb96032,COLUMN_UNSEEN,0,True,False
202,P02,2,ENSG00000079313,REXO1,2,REXO1-1+REXO1-2,True,REXO1,True,True,REXO1,True,True,fcab030bdcd7f9dc7b912eb25cc55ea07bfd98a50140e2f400a202222eb743c1,34a407f3c0907b2b3310a57d6a7dc921dec1710b51654ab2a7c40d60abd65921,089ff13b7bb5232ddc35b172605a8735fe650588a1edfed639be2e0b0731b5e0,9329a7297c0dd641c8c29c78c0e1c42746774d71a9d6f6a581e18de4bcf6420c,DONOR_UNSEEN_ONLY,6,True,False
203,P02,3,ENSG00000143569,UBAP2L,2,UBAP2L-1+UBAP2L-2,True,UBAP2L,True,True,UBAP2L,True,True,3205459cdc608d87397c4b2a129cad82223b273a3cc0ce3ae93ea26a9cd81c06,94cd1aad78cb814b1a3fa7587983012e452723d9d8bc1ce8f20df7eb3674053d,08a50dd6ebf255a11500e124c53822bd9d3eed8bcc7ac968978deb7deb40b593,c6af9a43c79e316cd6a75289b9e35036d0f0f3dbad75fb06c5c2de91418d4026,DONOR_UNSEEN_ONLY,6,True,False
204,P02,4,ENSG00000138623,SEMA7A,2,SEMA7A-1+SEMA7A-2,True,SEMA7A,True,True,SEMA7A,True,True,149c9fe06b51f442af92340f456da6ce62669f56e0d40d24cba66b581f758032,5e6c8c82b3632bc1b5e8ff1a38c18451d73814c2c279bf569fbc689999c1a9a3,08cbc271925211cfe7028197f63f198100493aae31351feda8148bcca7b62772,1ec91f214ef2d8f5d62de6696b1c10b4cff3d0308b73a7aca9a1826f7253db68,COLUMN_UNSEEN,0,True,False
205,P02,5,ENSG00000164985,PSIP1,2,PSIP1-1+PSIP1-2,True,PSIP1,True,True,PSIP1,True,True,4537fa7aed9399dd3ab476f791b241421a7d6311a4380cf2c4a1df13d7a10635,5fd84b1c30c9b4871572684525a3c43ad490a4ef00a662a79f6103a6a3935aa7,08d72b12c98265ec4013267378be224616f0056877bcada00c71f77fc4524074,bbfb29588003abbdbab9c519876acbc09af498de19a8f3b8de46ed54b382c1c5,DONOR_UNSEEN_ONLY,6,True,False
206,P02,6,ENSG00000166887,VPS39,2,VPS39-1+VPS39-3,True,VPS39,True,True,VPS39,True,True,55d81904f5bc66b626477f66a45811744d6bd0f14842d7f18d2d41e064ebb757,f226cf16476566adbe3cf848d9cd9e2e69a6c01b9c13c5c9e02e928b2a429a42,08d773715d04077c204587fe33fe0cfaf10aceec3a0c8205053b3f99b894d8c1,c101e1af2bc70fdc35e43892d1d09575296b740d94d3fd27265692f7b41f7a7d,DONOR_UNSEEN_ONLY,6,True,False
207,P02,7,ENSG00000114631,PODXL2,2,PODXL2-1+PODXL2-2,True,PODXL2,True,True,PODXL2,True,True,78ce91fb4d4b00b8722ffcaa3b8109b7aa0eb76c92673b5321c3f81144ffe603,ffca3771c61b44ba5d1d9c5ecd3cfe399f7019b347c6f5c2e3667a33f4ac5f24,08da847b1eacb4f863a2fa5a549bc02261d0f76d209a3b648d47b54405b7bdaa,384a27f96cd894e100d182b386f8068edd5c6e5f6336798c9fa48633de1d8e3b,DONOR_UNSEEN_ONLY,6,True,False
208,P02,8,ENSG00000197448,GSTK1,2,GSTK1-1+GSTK1-2,True,GSTK1,True,True,GSTK1,True,True,dedebc6f4063e2eeae6deee7749fbc33610df61fc9994eead682559c826ed37f,4c08376c7a396bbab4f84d8bfdb80e1afac07ef20aeec2d9bc91935fed104f63,08dfaf96bc153609eb4ac5bc0fc4750a16e24293ebe4532c2a4b442983d4bdc5,aac4418e3512b55158004cfa56192fbd3c1a743af698f14aa0e149e6eaf48d6f,DONOR_UNSEEN_ONLY,6,True,False
209,P02,9,ENSG00000111879,FAM184A,2,FAM184A-1+FAM184A-2,True,FAM184A,True,True,FAM184A,True,True,7856707a035bc08177b071b5a063deb087380badcfde89d701e120d2faa07c9d,d7af719c5fdf93ff3c83b9aae1132858b64b88db4e33cbe9d37fa820847aac10,09068bd8566ec769cab58ec129841020091edcd13cf8697b73f40f178faa0f1d,cbcead934073c827625009420da3cf17a0db358259eb593388b4d93af470a33e,DONOR_UNSEEN_ONLY,6,True,False
210,P02,10,ENSG00000101940,WDR13,2,WDR13-1+WDR13-2,True,WDR13,True,True,WDR13,True,True,a239d30113d577737197fd4e48e6a6949fc9c46659ac236e9a8b39bddf23c2e1,3421cc96ad8ebf50b1ee4bdaf583836baa3a87709ebb33a77cba12057783b3a8,092737f5a9d8358e1363e9f57727b07887a70b78a9265bfcb5aeccb83cedae9b,fd3ab3f770f0cf737fe96d4328201edd45746b2c657985038afe4b75dbb717dd,DONOR_UNSEEN_ONLY,6,True,False
211,P02,11,ENSG00000105607,GCDH,2,GCDH-1+GCDH-2,True,GCDH,True,True,GCDH,True,True,ed8c4c45fb7074d897407b901f9b931605c6b0a3b106f5caa70bbd606b03ba11,44ed0d4d10187f3d8f783ef7f4d13dc4867ee733873e255b84e719190ed295c8,0948b4b88e9e8822b89196fb2cba3ac3cb8d3189f08a934b65c8b2bfd9a22ff6,59d70cd4cda01916189a2fc8c45948c30be5e85fc0b62b29a2579cdd23a0da4a,DONOR_UNSEEN_ONLY,6,True,False
212,P02,12,ENSG00000066027,PPP2R5A,2,PPP2R5A-1+PPP2R5A-2,True,PPP2R5A,True,True,PPP2R5A,True,True,f26119f4a33ec0fa144fa5a5bafe1cdfd4e7175234adc50c9f984696301c69a9,1ddba0b9ed07c56731b10db327c1b7e3434cb5ff4a86955069b0a57016914892,0948f6f3a03b0e91e8ebb3419a5f374e290bbc2fff435231060f2f2e3dbfa785,aff37b7c7beacd44b9c426575b5c0dbee7257ba1d3bf1a8d703a0441cee85504,DONOR_UNSEEN_ONLY,6,True,False
213,P02,13,ENSG00000073008,PVR,2,PVR-1+PVR-2,True,PVR,True,True,PVR,True,True,248df4c54f0c76dd04bd5d105326a1d2396bde0937536eaef9dc1b1154a19365,74106f813e13710c3a05827e70ef7a45f9f1ae372160004aa30ec57ad3c896c1,094a4c2282365e825e0a28a36ac5e54356dc9531a6ad3edc4f53b7cf98b5610c,4601f7b5d2d90ab171b01c0f8a5e1f36227c114299ab8f3f65d39f73c1d736c2,DONOR_UNSEEN_ONLY,6,True,False
214,P02,14,ENSG00000140451,PIF1,2,PIF1-1+PIF1-2,True,PIF1,True,True,PIF1,True,True,e35d409a9411f443dea21f865568cc9785ca520b99bf083992752af1ee75ee9d,83bff25556e0ee8b2b84163e43227d65fb6d85a2f914841c85b37cdd163c2e7c,094c8def8546fffc4a82f7abb1dd0414af6771480c723ca82dd7bd8a22c7a673,9e575bfddf608a313836f6944d56055b3bd537d7e0d095d2018e0e4bcf16cb2e,DONOR_UNSEEN_ONLY,6,True,False
215,P02,15,ENSG00000135334,AKIRIN2,2,AKIRIN2-1+AKIRIN2-2,True,AKIRIN2,True,True,AKIRIN2,True,True,d981e94b85a7b53744d285f3388b5711cf20fa496820aa1b15702cc870210334,0eba0e3dfe37ca508c214207bf2e3be8f4326d0f8df2c106933aeb9bf04aab0c,0950d48e83bbb3eb62d559d7ba858ac19f8c02c31b3d023f0f7f8510d9785d4a,30d95bcf6f51519d4eba128c74216ba233e240727df6dd02853273de5666bc51,DONOR_UNSEEN_ONLY,6,True,False
216,P02,16,ENSG00000136826,KLF4,2,KLF4-1+KLF4-2,True,KLF4,True,True,KLF4,True,True,b9968bde99554a02f6e219c09f2ad8f2c37aa1d32c28819a30a69fdcfeed0c3c,793ea4200426daa043834c5c04ab7abea8165c9ac9b3ab91a68ffee32c66698a,095c5a2340a5c3109d6831a77922d2e09f31a723423e34a98c44410c47942081,ed9e5c0663855fc6f3855384f0ad303ba3ab2057cc2db6aa86e675633cb47a92,DONOR_UNSEEN_ONLY,6,True,False
217,P02,17,ENSG00000152689,RASGRP3,2,RASGRP3-1+RASGRP3-2,True,RASGRP3,True,True,RASGRP3,True,True,a6bc47470dd7f0cfd8c4e4b0896baef09fc896d0eb3698564232b43880db252c,7f53202248f87d27997aac5a1caf04edf7200c87480533faa32f95652c0d8a42,0965c469b04752fcabbfc86f52d0c605269d148d530704ee05549561573e7512,8529c24643cd468aa07218208de32a3c45638db30ac8ba8630bfb99e0e66ed5f,DONOR_UNSEEN_ONLY,6,True,False
218,P02,18,ENSG00000106605,BLVRA,2,BLVRA-1+BLVRA-2,True,BLVRA,True,True,BLVRA,True,True,b1466d168c7d004ef36ffda20c46734537c285694536119de650f36562501e09,aa68286ebcfd5de57260c052ae00d999eb5da771cdc6484e5f83b16d8e4faf6f,096d745b7c8696e81c339283b2c3be3578ed9c154fc687950e662445368bd7b7,b51d654d8da88d4118c7c65b1d3c8c3361bda061360a102b91a05614c1f8ea37,DONOR_UNSEEN_ONLY,6,True,False
