culture_condition,stratum,coverage,direction,selected_k,strictly_selected,boundary_tie_size,boundary_slots_needed,boundary_status
Rest,all_200,0.20000000000000001,lowest_risk_accept,40,39,1,1,EXACT_SET
Rest,all_200,0.25,lowest_risk_accept,50,49,1,1,EXACT_SET
Rest,all_200,0.30000000000000004,lowest_risk_accept,61,60,1,1,EXACT_SET
Rest,all_200,0.35000000000000003,lowest_risk_accept,70,69,1,1,EXACT_SET
Rest,all_200,0.40000000000000002,lowest_risk_accept,80,79,1,1,EXACT_SET
Rest,all_200,0.45000000000000001,lowest_risk_accept,90,89,1,1,EXACT_SET
Rest,all_200,0.5,lowest_risk_accept,100,99,1,1,EXACT_SET
Rest,all_200,0.55000000000000004,lowest_risk_accept,111,110,1,1,EXACT_SET
Rest,all_200,0.60000000000000009,lowest_risk_accept,121,120,1,1,EXACT_SET
Rest,all_200,0.65000000000000002,lowest_risk_accept,130,129,1,1,EXACT_SET
Rest,all_200,0.69999999999999996,lowest_risk_accept,140,139,1,1,EXACT_SET
Rest,all_200,0.75,lowest_risk_accept,150,149,1,1,EXACT_SET
Rest,all_200,0.80000000000000004,lowest_risk_accept,160,159,1,1,EXACT_SET
Rest,all_200,0.85000000000000009,lowest_risk_accept,171,170,1,1,EXACT_SET
Rest,all_200,0.90000000000000013,lowest_risk_accept,181,180,1,1,EXACT_SET
Rest,all_200,0.94999999999999996,lowest_risk_accept,190,189,1,1,EXACT_SET
Rest,all_200,1,lowest_risk_accept,200,199,1,1,EXACT_SET
Rest,all_200,0.20000000000000001,highest_risk_review,40,39,1,1,EXACT_SET
Stim8hr,all_200,0.20000000000000001,lowest_risk_accept,40,39,1,1,EXACT_SET
Stim8hr,all_200,0.25,lowest_risk_accept,50,49,1,1,EXACT_SET
Stim8hr,all_200,0.30000000000000004,lowest_risk_accept,61,60,1,1,EXACT_SET
Stim8hr,all_200,0.35000000000000003,lowest_risk_accept,70,69,1,1,EXACT_SET
Stim8hr,all_200,0.40000000000000002,lowest_risk_accept,80,79,1,1,EXACT_SET
Stim8hr,all_200,0.45000000000000001,lowest_risk_accept,90,89,1,1,EXACT_SET
Stim8hr,all_200,0.5,lowest_risk_accept,100,99,1,1,EXACT_SET
Stim8hr,all_200,0.55000000000000004,lowest_risk_accept,111,110,1,1,EXACT_SET
Stim8hr,all_200,0.60000000000000009,lowest_risk_accept,121,120,1,1,EXACT_SET
Stim8hr,all_200,0.65000000000000002,lowest_risk_accept,130,129,1,1,EXACT_SET
Stim8hr,all_200,0.69999999999999996,lowest_risk_accept,140,139,1,1,EXACT_SET
Stim8hr,all_200,0.75,lowest_risk_accept,150,149,1,1,EXACT_SET
Stim8hr,all_200,0.80000000000000004,lowest_risk_accept,160,159,1,1,EXACT_SET
Stim8hr,all_200,0.85000000000000009,lowest_risk_accept,171,170,1,1,EXACT_SET
Stim8hr,all_200,0.90000000000000013,lowest_risk_accept,181,180,1,1,EXACT_SET
Stim8hr,all_200,0.94999999999999996,lowest_risk_accept,190,189,1,1,EXACT_SET
Stim8hr,all_200,1,lowest_risk_accept,200,199,1,1,EXACT_SET
Stim8hr,all_200,0.20000000000000001,highest_risk_review,40,39,1,1,EXACT_SET
Stim48hr,all_200,0.20000000000000001,lowest_risk_accept,40,39,1,1,EXACT_SET
Stim48hr,all_200,0.25,lowest_risk_accept,50,49,1,1,EXACT_SET
Stim48hr,all_200,0.30000000000000004,lowest_risk_accept,61,60,1,1,EXACT_SET
Stim48hr,all_200,0.35000000000000003,lowest_risk_accept,70,69,1,1,EXACT_SET
Stim48hr,all_200,0.40000000000000002,lowest_risk_accept,80,79,1,1,EXACT_SET
Stim48hr,all_200,0.45000000000000001,lowest_risk_accept,90,89,1,1,EXACT_SET
Stim48hr,all_200,0.5,lowest_risk_accept,100,99,1,1,EXACT_SET
Stim48hr,all_200,0.55000000000000004,lowest_risk_accept,111,110,1,1,EXACT_SET
Stim48hr,all_200,0.60000000000000009,lowest_risk_accept,121,120,1,1,EXACT_SET
Stim48hr,all_200,0.65000000000000002,lowest_risk_accept,130,129,1,1,EXACT_SET
Stim48hr,all_200,0.69999999999999996,lowest_risk_accept,140,139,1,1,EXACT_SET
Stim48hr,all_200,0.75,lowest_risk_accept,150,149,1,1,EXACT_SET
Stim48hr,all_200,0.80000000000000004,lowest_risk_accept,160,159,1,1,EXACT_SET
Stim48hr,all_200,0.85000000000000009,lowest_risk_accept,171,170,1,1,EXACT_SET
Stim48hr,all_200,0.90000000000000013,lowest_risk_accept,181,180,1,1,EXACT_SET
Stim48hr,all_200,0.94999999999999996,lowest_risk_accept,190,189,1,1,EXACT_SET
Stim48hr,all_200,1,lowest_risk_accept,200,199,1,1,EXACT_SET
Stim48hr,all_200,0.20000000000000001,highest_risk_review,40,39,1,1,EXACT_SET
