panel_id,culture_condition,stratum,n_tasks,original_single_seed_pair_median_spearman,original_single_seed_pair_ci95_lower,original_single_seed_pair_passed,loo_two_seed_family_mean_median_spearman,loo_two_seed_family_mean_ci95_lower,loo_two_seed_family_mean_passed,gate_threshold_median_spearman,gate_threshold_ci95_lower_exclusive
P01,Rest,all_200,200,0.55840996024900635,0.4591574886281693,True,0.9118937973449337,0.87746652317573137,True,0.5,0
P01,Rest,seen_160,160,0.31274463846243988,0.17959531416661831,False,0.85616723309504283,0.79997902709838364,True,0.5,0
P01,Stim8hr,all_200,200,0.55548488712217814,0.45300404750926537,True,0.90667816695417391,0.87070431307272367,True,0.5,0
P01,Stim8hr,seen_160,160,0.31147017461619592,0.172070655211817,False,0.84535333411461389,0.78164506806611833,True,0.5,0
P01,Stim48hr,all_200,200,0.54653566339158466,0.44817724040663742,True,0.90608865221630552,0.871513744127421,True,0.5,0
P01,Stim48hr,seen_160,160,0.29970116020157028,0.1629260438544545,False,0.84406422125864289,0.7773940699346874,True,0.5,0
P02,Rest,all_200,200,0.67047776194404862,0.58706769339390563,True,0.90283657091427294,0.86569576204220178,True,0.5,0
P02,Rest,seen_160,160,0.4839710535567795,0.35771400139839071,False,0.85054494316184226,0.78581732251436032,True,0.5,0
P02,Stim8hr,all_200,200,0.66518712967824201,0.57630074695351785,True,0.90079951998799979,0.86459398161340173,True,0.5,0
P02,Stim8hr,seen_160,160,0.47238075706082272,0.34410931786798737,False,0.84935251377006915,0.78832547407694575,True,0.5,0
P02,Stim48hr,all_200,200,0.66073501837545945,0.56649213186984626,True,0.89984849621240559,0.86279213923167963,True,0.5,0
P02,Stim48hr,seen_160,160,0.46488632368451888,0.33156556505228668,False,0.8464315012305168,0.77920627904574746,True,0.5,0
P03,Rest,all_200,200,0.87659641491037277,0.83834060496139218,True,0.96318607965199132,0.94860913263640756,True,0.5,0
P03,Rest,seen_160,160,0.8173063400914099,0.74673587295106325,True,0.95257236610805107,0.92411554988896261,True,0.5,0
P03,Stim8hr,all_200,200,0.87580739518487971,0.84021298285284041,True,0.96361659041476044,0.94701339041019628,True,0.5,0
P03,Stim8hr,seen_160,160,0.81640689089417551,0.74975915767193191,True,0.95254013828665185,0.92176598166537549,True,0.5,0
P03,Stim48hr,all_200,200,0.87726393159828997,0.83799529954589147,True,0.96384459611490303,0.94614505869327392,True,0.5,0
P03,Stim48hr,seen_160,160,0.81720965662721201,0.74605961303604773,True,0.95255771709832404,0.92251328789761577,True,0.5,0
P04,Rest,all_200,200,0.42198754968874219,0.3062485951167912,False,0.8472541813545339,0.79052733554566079,True,0.5,0
P04,Rest,seen_160,160,0.1207664361889136,-0.0034433873561959,False,0.74827434665416614,0.6535966872032748,True,0.5,0
P04,Stim8hr,all_200,200,0.4170194254856372,0.30844054191322778,False,0.8411970299257483,0.78264912703005896,True,0.5,0
P04,Stim8hr,seen_160,160,0.10500703152466891,-0.018910964457556901,False,0.73549748037032692,0.63779213480992647,True,0.5,0
P04,Stim48hr,all_200,200,0.41036675916897919,0.28946904786899308,False,0.83416185404635135,0.77134886059949004,True,0.5,0
P04,Stim48hr,seen_160,160,0.088781788351107394,-0.0175021706728836,False,0.72580276573303637,0.62392095819258986,True,0.5,0
