e172_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e172_selection_sha256,e172_column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,excluded_all_e168_and_e170_targets,selection_used_expression_abundance_effect_error_or_e171_validation
201,Q02,1,ENSG00000213918,DNASE1,2,DNASE1-1+DNASE1-2,True,DNASE1,True,True,DNASE1,True,True,15ce2ff55ab364f5453ea35a90af598753c2287a6757aa9908db962708ce335b,508df12731ff1132829a9ee523d9a9cdd2e0fbfcd83e285827631006a13b14ea,0af70827aeb8642642badfd68c4a7b96459b741a15abd9efe5cd35d54043237c,ce8b2164879e293ee8fdd8a3128bc19364070f6629e38812ffa610ee3b7f804c,DONOR_UNSEEN_ONLY,6,True,False
202,Q02,2,ENSG00000147065,MSN,2,MSN-1+MSN-2,True,MSN,True,True,MSN,True,True,71bd4c8da14b5821dad0840ebcc00cb6215b5cdaa4ee147bd8952b2b6bd7753e,8780811b409ec6c8721ec934fa4c8df7ea6a0509417046bc6a5a26561b301c0a,0b13770fcc43738e0dd2f85d71dc7327f1df509b681bed02223cee1f4e5ae44f,4bdf7668eda93b6ba6921fa58ad6470698c134caf89420e52f585b5075e908da,DONOR_UNSEEN_ONLY,6,True,False
203,Q02,3,ENSG00000108854,SMURF2,2,SMURF2-1+SMURF2-2,True,SMURF2,True,True,SMURF2,True,True,da75b62e3e00b1c23457bd480a1667129faa4c6285585a5f130f19b0df50e0bf,36af5b43014737980b7bdb6b95b1c7db8cc4b2e2557ea45ca03240b32dc410f7,0b22d53f8ffedd4b74e8ba7c0b1eff7410ac91479b2a5e12240c0778cacaecd8,db850c3ff66b9eaca1895f90dbac067acd7b8eee0101dadda4c491b51a018f43,DONOR_UNSEEN_ONLY,6,True,False
204,Q02,4,ENSG00000188643,S100A16,2,S100A16-1+S100A16-2,True,S100A16,True,True,S100A16,True,True,eca111fd8a37a48b83d7d7febc8784dca52f67d16de3a68801afdc4119e6dfae,07f99af4fde0e08cdd4274e2714d7cb996904785fef96c36472f3aff7466dcff,0b2fbbc4e0d066e073b9704d41f04e3276a1d5b9b62116823bdbd99f7c720e62,18c4f005c81087a32a3b783c9de481f5844bfde5e866cf5b9236213f80433126,COLUMN_UNSEEN,0,True,False
205,Q02,5,ENSG00000114107,CEP70,2,CEP70-1+CEP70-2,True,CEP70,True,True,CEP70,True,True,c11978e91cc9c322433f2e18c79d0163b62f769408e9a46fbf60367207d1b9b3,c1daf58494d2e622df5d1b62be84efb5f6b8913929f9e2cdbf11f017f9ac0776,0b81b35cd32af6cfd65fddebbd9efc916b7ce5e7e54bb6a9f669e59866e7b7dd,cd60abdc9199cb9ee1e302a9b748822557dc011c606a3ea68d5ab67961592327,DONOR_UNSEEN_ONLY,6,True,False
206,Q02,6,ENSG00000135953,MFSD9,2,MFSD9-1+MFSD9-2,True,MFSD9,True,True,MFSD9,True,True,babe1b39f51c61862acc09b5936f9d7eeaec174a0899a4dd02b5eb662a79c0f7,bdc73b848a3c57f7237215d42703908bf625a8ba84638a43d7e722024e00423f,0b914970427ade1cb05da7f1d4eb72bc4629b3690e62a0ea17ff8e0f9ac5eee1,90d1393e3e06101c973da2e16de8d8d8b3ce2f24ab3692ddfd1d286aec0db714,DONOR_UNSEEN_ONLY,6,True,False
207,Q02,7,ENSG00000143546,S100A8,2,S100A8-1+S100A8-2,True,S100A8,True,True,S100A8,True,True,5cfe2e754ba89c4dfa59f4178c49186d49b6d40b66f9954547616e1938282c26,4dc67dd827a4e0e13f44037a4ecc659a040bfd676da432bf2c72dfd87330472e,0b976e78d125153fd8a9b465d9417e59d98544d5d79a1f5c32b9ac914ba65a68,8c11924de3d72a3574e877c98fd420357e94647e97ef0f0cc63dca393787f879,DONOR_UNSEEN_ONLY,6,True,False
208,Q02,8,ENSG00000110108,TMEM109,2,TMEM109-1+TMEM109-2,True,TMEM109,True,True,TMEM109,True,True,533d0c538f82ab30251ca3ab9d3139a4b15d596e3a11bf8140660e93cc1d8848,57914cf5144ba5d8361dbc939d00f4d7c1b58d067174b6de0a79ff9a62693941,0b9d0e6b3a26df7bb1b3ca47ed85abf581e1ead5f98b56e2992b157165260721,45e24b8836142ca0d654c1bf441cc9a8f8862d3b288feda02c0ae8dffcef7c83,DONOR_UNSEEN_ONLY,6,True,False
209,Q02,9,ENSG00000221963,APOL6,2,APOL6-1+APOL6-2,True,APOL6,True,True,APOL6,True,True,5e9d0aceed9d6146cfed34379ef8d60619fe13d1b54d78d7cce9ea683e12c896,315b69e6c9315f1f52fbac5393df46da304b8e0d6174fcee4eb3e09103c0318c,0ba8682a4c46c8ecad1b2815b2f21b797d2aaf6fe273921720580d872a4b2541,8e5d4a68b5ffa977e3dfbc4e4a73d350273b1df1ab434a36abee663cb18a2361,DONOR_UNSEEN_ONLY,6,True,False
210,Q02,10,ENSG00000151500,THYN1,2,THYN1-1+THYN1-2,True,THYN1,True,True,THYN1,True,True,a58554f1904be56c086dc24356f1abd642fa6bb403619ebdae2ba5b4fcaa73e9,66f66093f5d3e29a7a49e3a91a8b44934d2088c5a7f96a5d9b4927607eb3f15f,0bac90510fd2f90e66b708d9313de905c922fa881db9ea2885157e8877146f84,facb7987c081a3dbace80f777fb8c06deae2778492289032064acb06c3414f7d,DONOR_UNSEEN_ONLY,6,True,False
