panel_id,culture_condition,stratum,score_name,n_tasks,n_operational_levels,max_tie_fraction,aurc_tie_average,aurc_best_legal_tie_order,aurc_worst_legal_tie_order
Q01,Rest,all_200,SafeConf,200,200,0.0050000000000000001,0.12251984551941389,0.12251984551941389,0.12251984551941389
Q01,Rest,all_200,magnitude,200,198,0.01,0.12249641607417795,0.12249641607417795,0.12249641607417795
Q01,Rest,all_200,disagreement_only,200,199,0.01,0.1193266461621461,0.11931363734463896,0.11933965497965324
Q01,Rest,all_200,support_only,200,2,0.80000000000000004,0.12259195267481801,0.097868402915681982,0.14676483762415976
Q01,Rest,all_200,context_only,200,1,1,0.12008349743280067,0.087042816894008085,0.15477025974375538
Q01,Rest,seen_160,SafeConf,160,160,0.0062500000000000003,0.12255274308597804,0.12255274308597804,0.12255274308597804
Q01,Rest,seen_160,magnitude,160,159,0.012500000000000001,0.12472219821886542,0.12472219821886542,0.12472219821886542
Q01,Rest,seen_160,disagreement_only,160,160,0.0062500000000000003,0.12255274308597804,0.12255274308597804,0.12255274308597804
Q01,Rest,seen_160,support_only,160,1,1,0.12299000246416124,0.089683310299024654,0.15789501337135178
Q01,Rest,seen_160,context_only,160,1,1,0.12299000246416124,0.089683310299024654,0.15789501337135178
Q01,Rest,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.11296509745583588,0.11296509745583588,0.11296509745583588
Q01,Rest,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.11638821902862566,0.11638821902862566,0.11638821902862566
Q01,Rest,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.11296509745583588,0.11296509745583588,0.11296509745583588
Q01,Rest,column_unseen_40_descriptive,support_only,40,1,1,0.10845747730735839,0.078251084011012648,0.14002182906242025
Q01,Rest,column_unseen_40_descriptive,context_only,40,1,1,0.10845747730735839,0.078251084011012648,0.14002182906242025
Q01,Stim8hr,all_200,SafeConf,200,200,0.0050000000000000001,0.12018352871525982,0.12018352871525982,0.12018352871525982
Q01,Stim8hr,all_200,magnitude,200,196,0.01,0.12032508306643884,0.12032508306643884,0.12032508306643884
Q01,Stim8hr,all_200,disagreement_only,200,200,0.0050000000000000001,0.1190487839305612,0.1190487839305612,0.1190487839305612
Q01,Stim8hr,all_200,support_only,200,2,0.80000000000000004,0.12224607439752927,0.10470608813812464,0.1395059248786728
Q01,Stim8hr,all_200,context_only,200,1,1,0.12086806308448247,0.096616695974004338,0.14582446084845799
Q01,Stim8hr,seen_160,SafeConf,160,160,0.0062500000000000003,0.11992689508075882,0.11992689508075882,0.11992689508075882
Q01,Stim8hr,seen_160,magnitude,160,158,0.012500000000000001,0.12126515059464919,0.12126515059464919,0.12126515059464919
Q01,Stim8hr,seen_160,disagreement_only,160,160,0.0062500000000000003,0.11992689508075882,0.11992689508075882,0.11992689508075882
Q01,Stim8hr,seen_160,support_only,160,1,1,0.12246474168873027,0.0986989643367224,0.1468615511334451
Q01,Stim8hr,seen_160,context_only,160,1,1,0.12246474168873027,0.0986989643367224,0.1468615511334451
Q01,Stim8hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.11812709592806561,0.11812709592806561,0.11812709592806561
Q01,Stim8hr,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.1178594163745165,0.1178594163745165,0.1178594163745165
Q01,Stim8hr,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.11812709592806561,0.11812709592806561,0.11812709592806561
Q01,Stim8hr,column_unseen_40_descriptive,support_only,40,1,1,0.11448134866749124,0.089417788494967274,0.14028084152911571
Q01,Stim8hr,column_unseen_40_descriptive,context_only,40,1,1,0.11448134866749124,0.089417788494967274,0.14028084152911571
Q01,Stim48hr,all_200,SafeConf,200,200,0.0050000000000000001,0.11743109495243954,0.11743109495243954,0.11743109495243954
Q01,Stim48hr,all_200,magnitude,200,199,0.01,0.11678227348558122,0.11676713606817431,0.11679741090298813
Q01,Stim48hr,all_200,disagreement_only,200,199,0.01,0.11335332222796413,0.11335332222796413,0.11335332222796413
Q01,Stim48hr,all_200,support_only,200,2,0.80000000000000004,0.12082067482587069,0.097110218489770903,0.14379417409821743
Q01,Stim48hr,all_200,context_only,200,1,1,0.11835854866940668,0.088183848254734548,0.1500001477062691
Q01,Stim48hr,seen_160,SafeConf,160,160,0.0062500000000000003,0.11662435225727801,0.11662435225727801,0.11662435225727801
Q01,Stim48hr,seen_160,magnitude,160,159,0.012500000000000001,0.11957614642041267,0.11957614642041267,0.11957614642041267
Q01,Stim48hr,seen_160,disagreement_only,160,159,0.012500000000000001,0.11662435225727801,0.11662435225727801,0.11662435225727801
Q01,Stim48hr,seen_160,support_only,160,1,1,0.1212113729661049,0.089112263680249867,0.15486324927635736
Q01,Stim48hr,seen_160,context_only,160,1,1,0.1212113729661049,0.089112263680249867,0.15486324927635736
Q01,Stim48hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.10729120076716586,0.10729120076716586,0.10729120076716586
Q01,Stim48hr,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.10649758139065993,0.10649758139065993,0.10649758139065993
Q01,Stim48hr,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.10729120076716586,0.10729120076716586,0.10729120076716586
Q01,Stim48hr,column_unseen_40_descriptive,support_only,40,1,1,0.10694725148261371,0.085129216149501502,0.12947780221062924
Q01,Stim48hr,column_unseen_40_descriptive,context_only,40,1,1,0.10694725148261371,0.085129216149501502,0.12947780221062924
Q02,Rest,all_200,SafeConf,200,200,0.0050000000000000001,0.12095957184360309,0.12095957184360309,0.12095957184360309
Q02,Rest,all_200,magnitude,200,200,0.0050000000000000001,0.11942957146441692,0.11942957146441692,0.11942957146441692
Q02,Rest,all_200,disagreement_only,200,198,0.01,0.12167614675244749,0.12167614675244749,0.12167614675244749
Q02,Rest,all_200,support_only,200,2,0.80000000000000004,0.12640880446153199,0.098655167140340269,0.15363050608730797
Q02,Rest,all_200,context_only,200,1,1,0.12772749915174483,0.09012764164647144,0.16732024869171011
Q02,Rest,seen_160,SafeConf,160,160,0.0062500000000000003,0.11937619923008037,0.11937619923008037,0.11937619923008037
Q02,Rest,seen_160,magnitude,160,160,0.0062500000000000003,0.11805985458596437,0.11805985458596437,0.11805985458596437
Q02,Rest,seen_160,disagreement_only,160,159,0.012500000000000001,0.11937619923008037,0.11937619923008037,0.11937619923008037
Q02,Rest,seen_160,support_only,160,1,1,0.12619954972385328,0.088973067104637815,0.16544155821632134
Q02,Rest,seen_160,context_only,160,1,1,0.12619954972385328,0.088973067104637815,0.16544155821632134
Q02,Rest,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.13049881331805915,0.13049881331805915,0.13049881331805915
Q02,Rest,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.12631727948167262,0.12631727948167262,0.12631727948167262
Q02,Rest,column_unseen_40_descriptive,disagreement_only,40,39,0.050000000000000003,0.13049881331805915,0.13049881331805915,0.13049881331805915
Q02,Rest,column_unseen_40_descriptive,support_only,40,1,1,0.1338392968633112,0.095556735832687686,0.17345369365629476
Q02,Rest,column_unseen_40_descriptive,context_only,40,1,1,0.1338392968633112,0.095556735832687686,0.17345369365629476
Q02,Stim8hr,all_200,SafeConf,200,200,0.0050000000000000001,0.11971355528382113,0.11971355528382113,0.11971355528382113
Q02,Stim8hr,all_200,magnitude,200,195,0.01,0.11947272019578092,0.11947272019578092,0.11947272019578092
Q02,Stim8hr,all_200,disagreement_only,200,200,0.0050000000000000001,0.12007413763449541,0.12007413763449541,0.12007413763449541
Q02,Stim8hr,all_200,support_only,200,2,0.80000000000000004,0.12452905767746057,0.10580327502931614,0.14307904988746317
Q02,Stim8hr,all_200,context_only,200,1,1,0.12406007793731087,0.099100745260194995,0.1498751443676562
Q02,Stim8hr,seen_160,SafeConf,160,160,0.0062500000000000003,0.11843691091996014,0.11843691091996014,0.11843691091996014
Q02,Stim8hr,seen_160,magnitude,160,155,0.012500000000000001,0.11886581240712085,0.11884085521553492,0.11889076959870677
Q02,Stim8hr,seen_160,disagreement_only,160,160,0.0062500000000000003,0.11843691091996014,0.11843691091996014,0.11843691091996014
Q02,Stim8hr,seen_160,support_only,160,1,1,0.12460347689915763,0.09909241557541186,0.15102673007793616
Q02,Stim8hr,seen_160,context_only,160,1,1,0.12460347689915763,0.09909241557541186,0.15102673007793616
Q02,Stim8hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.12749502763629864,0.12749502763629864,0.12749502763629864
Q02,Stim8hr,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.12446732222739497,0.12446732222739497,0.12446732222739497
Q02,Stim8hr,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.12749502763629864,0.12749502763629864,0.12749502763629864
Q02,Stim8hr,column_unseen_40_descriptive,support_only,40,1,1,0.12188648208992378,0.099490252266034529,0.14465360083402704
Q02,Stim8hr,column_unseen_40_descriptive,context_only,40,1,1,0.12188648208992378,0.099490252266034529,0.14465360083402704
Q02,Stim48hr,all_200,SafeConf,200,200,0.0050000000000000001,0.1166432883566357,0.1166432883566357,0.1166432883566357
Q02,Stim48hr,all_200,magnitude,200,199,0.01,0.11530158314399987,0.11530158314399987,0.11530158314399987
Q02,Stim48hr,all_200,disagreement_only,200,199,0.01,0.11622498813035342,0.11622498813035342,0.11622498813035342
Q02,Stim48hr,all_200,support_only,200,2,0.80000000000000004,0.12708945345706346,0.10255665181466773,0.15101130751971018
Q02,Stim48hr,all_200,context_only,200,1,1,0.1261073776224052,0.094371531518983864,0.15923613789466648
Q02,Stim48hr,seen_160,SafeConf,160,160,0.0062500000000000003,0.11504954266755255,0.11504954266755255,0.11504954266755255
Q02,Stim48hr,seen_160,magnitude,160,159,0.012500000000000001,0.11504528050045912,0.11504528050045912,0.11504528050045912
Q02,Stim48hr,seen_160,disagreement_only,160,159,0.012500000000000001,0.11504954266755255,0.11504954266755255,0.11504954266755255
Q02,Stim48hr,seen_160,support_only,160,1,1,0.1272452924262254,0.093944725360604567,0.16190952366995456
Q02,Stim48hr,seen_160,context_only,160,1,1,0.1272452924262254,0.093944725360604567,0.16190952366995456
Q02,Stim48hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.11924045301020265,0.11924045301020265,0.11924045301020265
Q02,Stim48hr,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.12024175321368738,0.12024175321368738,0.12024175321368738
Q02,Stim48hr,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.11924045301020265,0.11924045301020265,0.11924045301020265
Q02,Stim48hr,column_unseen_40_descriptive,support_only,40,1,1,0.12155571840712444,0.096506489089745531,0.1475719335428336
Q02,Stim48hr,column_unseen_40_descriptive,context_only,40,1,1,0.12155571840712444,0.096506489089745531,0.1475719335428336
Q03,Rest,all_200,SafeConf,200,200,0.0050000000000000001,0.11646807031089224,0.11646807031089224,0.11646807031089224
Q03,Rest,all_200,magnitude,200,198,0.01,0.11481853515899816,0.11481853515899816,0.11481853515899816
Q03,Rest,all_200,disagreement_only,200,199,0.01,0.1144978308644861,0.1144978308644861,0.1144978308644861
Q03,Rest,all_200,support_only,200,2,0.80000000000000004,0.11652190809668418,0.092442196964139939,0.14012309000557663
Q03,Rest,all_200,context_only,200,1,1,0.11399433669218105,0.082878453423782597,0.14680996614466552
Q03,Rest,seen_160,SafeConf,160,160,0.0062500000000000003,0.11801065790539157,0.11801065790539157,0.11801065790539157
Q03,Rest,seen_160,magnitude,160,159,0.012500000000000001,0.11771510438487606,0.11771510438487606,0.11771510438487606
Q03,Rest,seen_160,disagreement_only,160,159,0.012500000000000001,0.11810731198412712,0.11801065790539157,0.11820396606286268
