panel_id,culture_condition,stratum,safeconf_aurc,magnitude_aurc,delta_magnitude_minus_safeconf,n_tasks,context_unique,support_unique,disagreement_unique,safeconf_unique
Q01,Rest,all_200,0.12251984551941389,0.12249641607417795,-2.3429445235936819e-05,200,1,2,199,200
Q01,Rest,seen_160,0.12255274308597804,0.12472219821886542,0.0021694551328873823,160,1,1,160,160
Q01,Rest,column_unseen_40_descriptive,0.11296509745583588,0.11638821902862566,0.0034231215727897751,40,1,1,40,40
Q01,Stim8hr,all_200,0.12018352871525982,0.12032508306643884,0.00014155435117901849,200,1,2,200,200
Q01,Stim8hr,seen_160,0.11992689508075882,0.12126515059464919,0.0013382555138903712,160,1,1,160,160
Q01,Stim8hr,column_unseen_40_descriptive,0.11812709592806561,0.1178594163745165,-0.0002676795535491161,40,1,1,40,40
Q01,Stim48hr,all_200,0.11743109495243954,0.11678227348558122,-0.00064882146685832365,200,1,2,199,200
Q01,Stim48hr,seen_160,0.11662435225727801,0.11957614642041267,0.0029517941631346661,160,1,1,159,160
Q01,Stim48hr,column_unseen_40_descriptive,0.10729120076716586,0.10649758139065993,-0.00079361937650593295,40,1,1,40,40
Q02,Rest,all_200,0.12095957184360309,0.11942957146441692,-0.0015300003791861722,200,1,2,198,200
Q02,Rest,seen_160,0.11937619923008037,0.11805985458596437,-0.0013163446441160076,160,1,1,159,160
Q02,Rest,column_unseen_40_descriptive,0.13049881331805915,0.12631727948167262,-0.0041815338363865306,40,1,1,39,40
Q02,Stim8hr,all_200,0.11971355528382113,0.11947272019578092,-0.00024083508804020881,200,1,2,200,200
Q02,Stim8hr,seen_160,0.11843691091996014,0.11886581240712085,0.00042890148716070997,160,1,1,160,160
Q02,Stim8hr,column_unseen_40_descriptive,0.12749502763629864,0.12446732222739497,-0.0030277054089036665,40,1,1,40,40
Q02,Stim48hr,all_200,0.1166432883566357,0.11530158314399987,-0.0013417052126358381,200,1,2,199,200
Q02,Stim48hr,seen_160,0.11504954266755255,0.11504528050045912,-4.2621670934273048e-06,160,1,1,159,160
Q02,Stim48hr,column_unseen_40_descriptive,0.11924045301020265,0.12024175321368738,0.0010013002034847257,40,1,1,40,40
Q03,Rest,all_200,0.11646807031089224,0.11481853515899816,-0.0016495351518940743,200,1,2,199,200
Q03,Rest,seen_160,0.11801065790539157,0.11771510438487606,-0.00029555352051550965,160,1,1,159,160
Q03,Rest,column_unseen_40_descriptive,0.10711593498117289,0.10720836432756953,9.2429346396638579e-05,40,1,1,40,40
Q03,Stim8hr,all_200,0.12533742423596028,0.12564071572078353,0.00030329148482324819,200,1,2,199,199
Q03,Stim8hr,seen_160,0.1262151910094301,0.1269760434098528,0.0007608524004227013,160,1,1,159,159
Q03,Stim8hr,column_unseen_40_descriptive,0.12197780106252244,0.11972656700629451,-0.0022512340562279298,40,1,1,40,40
Q03,Stim48hr,all_200,0.11740627122299517,0.12159023022901576,0.0041839590060205878,200,1,2,200,200
Q03,Stim48hr,seen_160,0.11741513219361761,0.11819862213673087,0.00078348994311325248,160,1,1,160,160
Q03,Stim48hr,column_unseen_40_descriptive,0.12992558510497387,0.13224317693391491,0.0023175918289410347,40,1,1,40,40
Q04,Rest,all_200,0.11936745584327238,0.11756704440811334,-0.0018004114351590356,200,1,2,200,200
Q04,Rest,seen_160,0.11819401716609233,0.11878593924109869,0.00059192207500635696,160,1,1,160,160
Q04,Rest,column_unseen_40_descriptive,0.11750388975099291,0.11735640998220881,-0.00014747976878409785,40,1,1,40,40
Q04,Stim8hr,all_200,0.12430319580421882,0.123778924073786,-0.00052427173043281816,200,1,2,198,200
Q04,Stim8hr,seen_160,0.12424348883008876,0.12220853168717054,-0.0020349571429182228,160,1,1,160,160
Q04,Stim8hr,column_unseen_40_descriptive,0.13513382032861301,0.13069100297068498,-0.0044428173579280361,40,1,1,40,40
Q04,Stim48hr,all_200,0.11849815234021556,0.11821053912585917,-0.00028761321435638587,200,1,2,200,200
Q04,Stim48hr,seen_160,0.11742701961443207,0.11511603154604512,-0.0023109880683869488,160,1,1,160,160
Q04,Stim48hr,column_unseen_40_descriptive,0.1336140198626804,0.13291235318962571,-0.000701666673054685,40,1,1,40,40
