seed,model,epoch,train_mse,validation_mse
3407,scGPT,1,0.24147242712788283,0.0094914183796693877
3407,scGPT,2,0.018602433459212381,0.010221929755061865
3407,scGPT,3,0.0178062974785765,0.010673050566886862
3407,scGPT,4,0.0180831339986374,0.0094748272715757288
3407,scGPT,5,0.017963093426078557,0.009713532278935115
3407,scGPT,6,0.017786089191213252,0.0096871958735088512
3407,scGPT,7,0.01772979732292394,0.0095015131402760751
3407,GEARS,1,0.020395477271328368,0.0096979954590400066
3407,GEARS,2,0.017366342727715769,0.010424802203973134
3407,GEARS,3,0.017141814498851698,0.010089882649481297
3407,GEARS,4,0.016789261468996605,0.01018445510417223
3407,GEARS,5,0.01672007340627412,0.0098771959388007716
3407,GEARS,6,0.016424035637949905,0.0098962521646171805
3407,GEARS,7,0.016350071923807264,0.010389163407186668
3408,scGPT,1,0.14839605103867751,0.014244360197335482
3408,scGPT,2,0.018151471562062701,0.0094176514695088077
3408,scGPT,3,0.017886461379627388,0.010024867362032334
3408,scGPT,4,0.018039945311223469,0.0096471005585044619
3408,scGPT,5,0.017891177131483953,0.0097747602500021461
3408,GEARS,1,0.020019654572630923,0.010122391162440181
3408,GEARS,2,0.017401049736266334,0.010024024778977037
3408,GEARS,3,0.01706986433515946,0.0099604507442563779
3408,GEARS,4,0.016967833368107678,0.010108879938100775
3408,GEARS,5,0.016784122120589016,0.0098223285439113777
3408,GEARS,6,0.016635435804103812,0.010004654775063198
3408,GEARS,7,0.016328400357936819,0.009836584888398647
3408,GEARS,8,0.016245822701603175,0.010070497697840134
3408,GEARS,9,0.016115247178822754,0.010061693548535307
3408,GEARS,10,0.016079477733001113,0.010454179253429174
3408,GEARS,11,0.016029480130722126,0.010091834065193931
3409,scGPT,1,0.23869510314737757,0.0095787469918529201
3409,scGPT,2,0.017751459249605736,0.010117941830928127
3409,scGPT,3,0.01844163811765611,0.0094521252438426011
3409,scGPT,4,0.018358126142993571,0.011256663408130408
3409,scGPT,5,0.01781861303995053,0.0094559789945681885
3409,scGPT,6,0.01798558219646414,0.0094267714147766423
3409,scGPT,7,0.017942260081569354,0.010231558435286085
3409,scGPT,8,0.017792022538681826,0.0096437979955226183
3409,scGPT,9,0.018006307212635873,0.0096877580353369307
3409,GEARS,1,0.020258600714926918,0.010040628941108782
3409,GEARS,2,0.017423544048021235,0.0098687480669468648
3409,GEARS,3,0.017169310788934428,0.0099556605486820146
3409,GEARS,4,0.016856630301723876,0.010030608220646779
3409,GEARS,5,0.016647902317345142,0.0098308314258853599
3409,GEARS,6,0.016428153185794752,0.010325455634544293
3409,GEARS,7,0.016327463540559015,0.010375639935955406
3409,GEARS,8,0.016211379552260041,0.0099831198031703639
3409,GEARS,9,0.016157094016671182,0.0099967794648061197
3409,GEARS,10,0.01597958317336937,0.0097880306808898841
3409,GEARS,11,0.015871483056495588,0.0099077599588781595
3409,GEARS,12,0.0158129819513609,0.0096100156816343475
3409,GEARS,13,0.015724221880858143,0.0098193825067331396
3409,GEARS,14,0.015642241512735685,0.0099265607539564364
3409,GEARS,15,0.015597825326646367,0.0097620377317070954
3409,GEARS,16,0.015411350456997753,0.0098556695040315397
3409,GEARS,17,0.015421640469382207,0.0094875195529311902
3409,GEARS,18,0.015380202373489738,0.0097482763541241486
3409,GEARS,19,0.015215092742194732,0.0098977677058428529
3409,GEARS,20,0.01522534730223318,0.0097764642753948774
3409,GEARS,21,0.015117781438554327,0.0099712041982760024
3409,GEARS,22,0.015150027458245556,0.0095052151785542573
3409,GEARS,23,0.01507742521353066,0.0098484545014798641
