e176_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e176_selection_sha256,e176_column_unseen_sha256,target_stratum,e176_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_e174_targets,selection_used_expression_effect_error_or_prior_outcome
1,H01,1,ENSG00000162139,NEU3,2,NEU3-1+NEU3-2,True,NEU3,True,True,NEU3,True,True,636081936d25c931067038b3f95b1c67a0ad9c40d20ba41f0f292ce2166f4341,4b3c06043627119606cb2714a92ffc9bb8d625f3176bace547578b972bb1b2a6,003f936c5f2b17809f8da22e34cb2a30878f86ef5723a14de6d70110b5835621,c186fcaf0a51c62bade27833f92af46b70722b4d1bb2a3a1abfc641113d7df77,DONOR_UNSEEN_ONLY,8d312c1af1ad32e46f803a3d0104e810ac98d033751f6ae67787844dcfbef210,EVALUATION_80PCT,6,True,False
2,H01,2,ENSG00000183742,MACC1,2,MACC1-1+MACC1-2,True,MACC1,True,True,MACC1,True,True,cbed07e574c64495c8e9a94eb055fc42bdade5e26d7b09f6062b4e2f912db10e,f1dd12a978285e993b7d1c02d7ada498bf83675ea15d70a77d933a3ac901f6ab,0062ee02358d58f5625df37aed988e05bfffb031b7f305e6e6f1e212b60851fb,c9e763507c395bf57d81050a3ae22ab67b7a8805cd0522478af047a685fa033f,DONOR_UNSEEN_ONLY,f8e5e59d0a0d41055fa50ac293537acab1b4829b1e507fc19bf0524404798a4b,EVALUATION_80PCT,6,True,False
3,H01,3,ENSG00000073910,FRY,2,FRY-1+FRY-2,True,FRY,True,True,FRY,True,True,de559ac9fc59e2b10ce5b40defc76b029429228609dba062c480a290262fa683,d5d2372775bfc09424f05d56203951bd107e2b2f2967fdef136ddff0cf884ca2,0075253ae0a5bb49b32e472093261cd97298bda05b0ff173d9ace8cbb16b5812,4e65e8b1cbc60b3b48bff037c78274e56e22863d18cbacc4a631183fa5b4044b,DONOR_UNSEEN_ONLY,08e2578ac5915bf537ebbdcb70270f93850e931479de3d02b11fa0d222fab325,CALIBRATION_20PCT,6,True,False
4,H01,4,ENSG00000135374,ELF5,2,ELF5-1+ELF5-2,True,ELF5,True,True,ELF5,True,True,7a7383bcbd2276b23ca218582068e48bd7292dc52e0a1759b1b8d1364132bcf9,678bb62aa231b6b35b10ebe3bd3150e2213437125700eb10bb9218cb5936d50c,0090e5ccc11a6189ca08157ea902c55bb0ea9c7e41fa60a906539ec9eac6c612,a57fd2021a378268ae7108ed7b790ad7c395af1337369f076c994ba108b666d8,DONOR_UNSEEN_ONLY,491e57125119128c655b1f390868eed7fecc19280d78bf670067e37c13db964b,EVALUATION_80PCT,6,True,False
5,H01,5,ENSG00000186174,BCL9L,2,BCL9L-1+BCL9L-2,True,BCL9L,True,True,BCL9L,True,True,db9040104225a562e95bf708114b12786dc2d9a963650e35ffa7c11f9dbea8ac,4d5a199b184f20ebc2c2ba517373ba5a51feb10c2c2ebbab333ca70885227583,009f7a5123e1ce786a2d9ba5a14deee9083c1403764c19d7f34e5556c2176fa9,67be089d8eebca2f4ea9eaf19f231ce601600df4e2d3084264ab4a250635d500,DONOR_UNSEEN_ONLY,7a99472b01c539975ebf067d758c460a4b2d218bc71ab7241e709a976509bd17,EVALUATION_80PCT,6,True,False
6,H01,6,ENSG00000115271,GCA,2,GCA-1+GCA-2,True,GCA,True,True,GCA,True,True,b6b168b7414f1cc24d4dc692ec7cd5c6badb52d1c815e0033d22bcf29d246ae8,dafb6bac954eef7db55c4e783cf57caf53170cd7ae721ec76a6314ffb49b2d6f,00e2652fe9e6d8546dff9743e63d2bcd0839a21b5a9b6f64adaad8c1019744e1,4068f0487dcf195747ef47f704ee84b332a97d7a3d6e4cb7f9e8673fe52643bc,COLUMN_UNSEEN,7a761cea86c0f195d107997094e167d43a5e5ab9fc997e514cc7e44681b5736c,EVALUATION_80PCT,0,True,False
7,H01,7,ENSG00000106638,TBL2,2,TBL2-1+TBL2-2,True,TBL2,True,True,TBL2,True,True,b05d3715ce0d469efdad2a4f1343eed6191ca18f8f925e89448491c839b45f9b,bb1ae876dbb0e62abad135343a2dd4cdb6e3c869c87ae5de189200c009401ffd,010cb6e8a955e1e5f6be135908cce05b7fb233c604566177694e6c4c94bc3864,beec36e9c1c909c63afc8a578bae320e224caadb67737e29183ac92f18342de7,DONOR_UNSEEN_ONLY,f1a9584242cb3343cf0cdef9eb26509bc2fc2d63a11f82463d61a676ac1ae291,EVALUATION_80PCT,6,True,False
8,H01,8,ENSG00000081189,MEF2C,2,MEF2C-1+MEF2C-2,True,MEF2C,True,True,MEF2C,True,True,239976010c74471827264e8b0137693b8ad146b6994a246953de81aafe95d661,8f223084d4de6ce4a9ca35bce2a945b993cd7eb636d379707a8bce85e0f5761f,0118813fd53f3f2bb4800352fda859b30e1a4d4031af9f171a6d7d0fed629730,7217374f8f80ddf07908d91a77acd571006cfe5034b4270ad5b9541f0d3d4aeb,DONOR_UNSEEN_ONLY,c4db73046ab98f91eef17b6b68746759f86ede864870c53867e1595c2df9ddf8,EVALUATION_80PCT,6,True,False
9,H01,9,ENSG00000150687,PRSS23,2,PRSS23-1+PRSS23-2,True,PRSS23,True,True,PRSS23,True,True,c1e9b4747d1cc0ee77ddaf3897b1e7ffb1d0e10d4b9c05f8d3d732e94a4018ee,7ac75d16a8ad2949c1084972be3850082de1c50c4b5626f77d3014428be1cc32,012cf5779f6da39108076146243f663109598d83dced6d323f11154e159986a6,c59d6d0b234a4b88b2f93e900bedd5cb0ea41fba810ab2d357b2bec69b3852dd,DONOR_UNSEEN_ONLY,b03379c883a70d50a869c56c4fd7e9be88bbfa828b687aae42fe1f40945b18f4,EVALUATION_80PCT,6,True,False
10,H01,10,ENSG00000169442,CD52,2,CD52-1+CD52-2,True,CD52,True,True,CD52,True,True,bfa77025359f2ad4d906ca8a851c5a22e8b9c316911c19f862066e5ce68ee92d,56efbcf5f00de7f90d982800b350706b7a98cae88e2eba3367c3b50d11afde8e,01b0cc29158df1e98479b9511b2cfe9a99a1f303b55d17a43fc0741ad6cee754,7343ffae5afb30b6115f99956edd6652cc61b4b2747a4467c53e6728cbca5fa1,DONOR_UNSEEN_ONLY,e7ebcac2e9867c573c911d9a32ba5b9a3ee12df5dbc30a452dd36cd8364a904e,EVALUATION_80PCT,6,True,False
