seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,2,0.017194443071881931,129,,
3407,GEARS,1,0.017171813671787581,,1454,4877
3408,scGPT,8,0.01719587150340279,129,,
3408,GEARS,1,0.017188585083931684,,1454,4877
3409,scGPT,1,0.017210777631650367,129,,
3409,GEARS,9,0.017123310547322034,,1454,4877
3410,scGPT,3,0.017204079839090506,129,,
3410,GEARS,1,0.017182528972625732,,1454,4877
3411,scGPT,1,0.017220436098674931,129,,
3411,GEARS,1,0.017157667068143687,,1454,4877
