seed,model,best_epoch,best_validation_mse,matched_pretrained_parameter_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,5,0.081330619007349017,129,,
3407,GEARS,9,0.080164255946874624,,1568,3893
3408,scGPT,1,0.084576793760061261,129,,
3408,GEARS,5,0.079465449601411817,,1568,3893
3409,scGPT,1,0.081581570953130719,129,,
3409,GEARS,5,0.080887679755687711,,1568,3893
3410,scGPT,5,0.081306759268045425,129,,
3410,GEARS,2,0.080440974235534674,,1568,3893
3411,scGPT,4,0.08158383443951607,129,,
3411,GEARS,5,0.0800153598189354,,1568,3893
