perturbation,n_exact_cells,1,2,3,4,5,6,7,8,in_expression_var,in_scgpt_vocab,is_single_gene_label,min_exact_cells_per_technical_group,n_technical_groups_with_cells,eligible_e177_target,e177_selection_sha256
ACE2,134,14,18,17,15,10,24,22,14,True,True,True,10,8,True,0da197935a322708b0b981b3331bd9c360cd2389e45356691b1b1e50dff3eec3
ANPEP,191,23,26,25,28,19,30,11,29,True,True,True,11,8,True,ac5edf56b7f91319b9611f074b656281a0477af108ecd1bbdf68b1321e0d2fbf
AP3B1,73,11,9,6,8,9,10,8,12,True,True,True,6,8,True,aae3d787d6a2abeef58da2948cc4e831d4362644ff9ddf3e47a0899e03a6a4ba
ARF1,75,8,20,5,9,12,8,8,5,True,True,True,5,8,True,f4d89206b5799dd3df2b6a9e71943450443dfb68853550a2a472f2d7938ce5fa
ARFRP1,155,26,24,17,18,17,16,18,19,True,True,True,16,8,True,9f1c6a47fc0de727cb8279a4d0ad7fcaa1dd85dec48834ee0cd62e69c9f9a650
ATF4,95,14,9,12,15,11,10,12,12,True,True,True,9,8,True,9b019949d482dd34f618557ef8ea5363650d0d3e9131bdf1c0a6ae9f9196bcce
ATF6,121,16,13,15,24,13,16,12,12,True,True,True,12,8,True,cdeb7665e1689bbd7a41677922abf6b86f40177b9cb3fd4743f98f297824e550
ATG14,118,17,20,12,17,9,11,12,20,True,True,True,9,8,True,2b1bc19fa34146f89c0cd10cb0f49fea886295c547d4c9fc3c8f3c8bdc99b15e
ATG9A,91,15,9,11,9,14,6,15,12,True,True,True,6,8,True,f42d9b4b05b4281d27d8e514dc29762b4d13fb9c55bae90c7a6458646d533bde
ATP1A1,76,10,7,7,9,12,8,12,11,True,True,True,7,8,True,29878a5f475055d77f4920b113136b393a838465d57e67137c3a7c8ea978c1e3
B3GALT6,148,22,23,15,19,19,20,14,16,True,True,True,14,8,True,a79448a8be3ea5a14e92ea5a915affa3ae662bdf1047fe4fb19fa63db1b66020
BAG6,78,11,7,10,12,12,11,7,8,True,True,True,7,8,True,cf970ab8967b7a594d5de255c6fdc07299026959e32f1137ff0d2290f1a049fe
BAX,106,16,14,17,15,6,13,10,15,True,True,True,6,8,True,da66c9f9ace2c4967c08600ba03046c3bf938fd178b7158fc699d2a76b6ccf9d
BCKDK,138,17,15,13,22,20,25,11,15,True,True,True,11,8,True,fb8c2ecf5d2f44f0bbafddcff7a98b9d43262fc4a3d4e55133d995768cd60dbd
BCL2,105,15,14,11,14,12,13,10,16,True,True,True,10,8,True,68b54fd245ccbd6c09735007534b79c92aab61b221e9dea0b35bb76a66d4b07e
BECN1,78,8,13,6,5,11,7,15,13,True,True,True,5,8,True,28a4635f8e54ec4b105418ec188ab99bc58b8532d50ed7a1998bebc0d53dca6d
BID,147,17,20,22,23,16,19,12,18,True,True,True,12,8,True,4f3868ded94e2a3769b3f96047aa1ff9a3abce5cef9d68ba41335e9534c4ab30
BRD2,228,32,34,26,32,25,24,23,32,True,True,True,23,8,True,b238cd61c4c7b9b8afb82d50726bf61ddee28f183b30fd7d114590606ecfca66
BRD4,88,18,10,13,13,12,4,11,7,True,True,True,4,8,True,eb684e01a90ada1b37e5762761d4d78afa5c9f87fca8d094838142b0f9175d2b
BST2,137,19,23,11,12,16,13,24,19,True,True,True,11,8,True,bc51b09ae15d85f263ac6ae71f8fcd56e6ea89ec6e21cb1e3180887836084482
BTF3,55,5,8,16,3,7,6,5,5,True,True,True,3,8,True,bdac4c766a1361d9520a75348b412b6a82337e45aab9c3b0fd81f43c1b0e0d84
BZW2,62,10,10,8,7,9,7,7,4,True,True,True,4,8,True,deb00b2ab6741170b3fd11302e5e11064c904460871baa630573d93fc6193137
CASP3,141,20,22,14,16,13,20,14,22,True,True,True,13,8,True,298334fda8a4a6f9309a893aa8fafca89c3d783461bcab8cbcef0245fc9d104c
CASP7,86,10,9,9,11,12,16,9,10,True,True,True,9,8,True,5fdc3dc9a5fc8289f496caae8a5c85a4407d4823b696cce778bb9becb3f047b9
CASP8,138,20,21,21,9,19,16,16,16,True,True,True,9,8,True,da21b040522e4e03cd1f7ae79f4e994982b307cc5f6f25308d37f9ef1e1410f0
CASP9,122,16,19,19,12,19,11,14,12,True,True,True,11,8,True,b177a6190c96d268c9c3ca98fc5d0ef2d8129151ae4f9eb91b4abc93a362b3a8
CCZ1,190,24,28,20,22,17,30,23,26,True,True,True,17,8,True,e59fceac2facf175d801c22854ca05f9101a541a0d9daeeec4b04143b0a8f20e
CCZ1B,154,22,21,19,17,13,18,19,25,True,True,True,13,8,True,570113f44782a1351dc70f7b16e18c7c387632d3ff512433a86f2aa90c9b9de8
CDK6,122,12,16,20,20,10,13,14,17,True,True,True,10,8,True,3b120156b1761cb0fdbfd5168597b27538913088f1acf1594b2449845c2fa3d5
CHD7,204,23,32,27,29,22,26,22,23,True,True,True,22,8,True,1024f9d826313a7447b9e62acdf90de328cf480c626d25d43870aef0222d42ec
CHEK2,164,16,30,14,19,24,23,20,18,True,True,True,14,8,True,cbf4171426abe1fbf09dc52d1666d0dc9099080ffdb2430f90b479a5e528a2bb
CKM,171,22,25,23,25,14,23,20,19,True,True,True,14,8,True,97cfe0c9709bff279ef87b42c890d9a672e4cf423e0bd460875c9734c2214259
CNBP,708,103,94,83,86,68,87,91,96,True,True,True,68,8,True,f26fee7aab9519425ea57304142db0f6372176b7ffae9fae31b303528b705710
COG5,103,15,13,10,14,12,17,10,12,True,True,True,10,8,True,876ace00e2484ac4848c5d31d66a344aa0db330bd1313030c183c41d0c052b9d
COG6,60,12,4,3,9,11,10,7,4,True,True,True,3,8,True,c573ddcbb7fc1a2fb4158c7d71199a5d412df3f7306ed0185abe832d574febe1
CTSB,108,18,9,15,9,16,14,13,14,True,True,True,9,8,True,418d6711aca975141e37b0930f40d90472b0c121f2c467bf895268235f049705
CTSL,179,23,30,14,19,18,22,23,30,True,True,True,14,8,True,badcfc1403c6dff1b809b0dc8b15b207b146e59934344f7e7d2fefe4572b8191
CWC27,184,29,19,26,29,17,15,31,18,True,True,True,15,8,True,2a1516ed9822d2024cecad20fe64d854c6e6e4233fbe1d2d0920ca3f1805778f
CYB5B,109,11,13,10,19,20,9,14,13,True,True,True,9,8,True,376acf8c87fdca6f85fe3d7f8c24966825660ae54f793d3a82b620c27b5ccbf1
DDX1,78,11,7,13,8,12,11,8,8,True,True,True,7,8,True,b913a110333ad677c6d3f128e6e06dbbe1ffd124c3c8806e8baff2eec8785629
DDX58,136,16,21,11,23,14,18,14,19,True,True,True,11,8,True,4987fa8993c472b9679073b3b7b5e2c0d5fa1873b6a3991187339e367d953cf7
DPP4,158,21,24,17,13,16,27,24,16,True,True,True,13,8,True,dc308c05a2c8ad07992fe7fd8008e8e7ccfc20d0b75e4ad1ac69b6aaf79784eb
EIF2AK2,117,19,10,18,16,12,14,18,10,True,True,True,10,8,True,f9081d9cddb24261c35c50b7ae2628bbd38ac0ba31688f739ba5805e62c8df72
EIF2AK3,158,22,18,22,22,18,11,24,21,True,True,True,11,8,True,269006df53a1dd5753d44f0758556f1b5ddd53e37b4993ff8642b367758cf113
EIF3F,73,12,4,12,14,7,3,7,14,True,True,True,3,8,True,2c6c82dab69205c74163b7fe173e88e27f3a4ce7e878277200b46d162a992f3a
EIF4B,111,8,16,13,22,15,13,7,17,True,True,True,7,8,True,0cb1cbf9ccd1b399fdbf600482a362efbab98a1d97b4f2ae9ab21e156449a316
EIF4E2,110,13,20,14,13,14,13,10,13,True,True,True,10,8,True,e56b7d5804f07abef334617c1098e1ecb5a4ce4b53d41b8ee73fa2d47ef0120f
EIF4H,137,20,16,13,26,17,16,19,10,True,True,True,10,8,True,e5909482bf9185d50e8232381aecdd33883f71fa4f0f9e6b86fd0f28deb41da8
EMC2,75,11,9,8,11,9,8,9,10,True,True,True,8,8,True,89b2de3984b2f8debc90beae53cba8f9d49fbd6dd0e31896a6eede42771aae61
EMC4,118,13,17,16,20,9,18,10,15,True,True,True,9,8,True,c1484dab3b31c295e88166d3bdee2969faa78e66a1c8cad89fab073a22d2a8ba
ERN1,156,22,19,16,24,13,23,20,19,True,True,True,13,8,True,197ef4fd24f58752c0ef4bf13a162f6c9756fc0e6a43bcfdeb0d3826718a3cb3
