perturbation,method,cluster_residual_max,selected_quantile_boundary
PDHA1,constant,0.057145967671596479,False
SMARCD1,constant,0.059293017470046422,False
ARID2,constant,0.062862854350813624,False
STAG2,constant,0.070743491092915223,False
SLC2A1,constant,0.074668588573484337,False
CHD1,constant,0.075137077765383309,False
TIAL1,constant,0.076780661950613643,False
SDHB,constant,0.079031578761699001,False
FOXK1,constant,0.081674315127920283,False
ERCC2,constant,0.086810017223808544,False
SCO1,constant,0.086975789103932596,False
ETF1,constant,0.08779795228102602,False
IGF2BP1,constant,0.089037947781252708,False
SLC28A1,constant,0.09247816406297088,False
DIS3,constant,0.092946852719060669,False
SCO2,constant,0.096544354615601902,False
NDUFS2,constant,0.098549678145578967,False
SLC29A1,constant,0.11606987675762184,False
CSTF3,constant,0.12043475770704905,False
PRPF38B,constant,0.12770513579905274,False
MED21,constant,0.14954643331804857,False
SMG5,constant,0.15221618390168395,False
UPF2,constant,0.16521540538742557,False
ATP6V1A,constant,0.16819621632688289,False
DHX15,constant,0.17949553227782786,False
CPSF2,constant,0.18012184514434737,False
EXOSC2,constant,0.2168090299069399,True
LSM6,constant,0.22694780986528057,False
LRPPRC,constant,0.26573399355418181,False
PDHA1,predicted_magnitude,0.044988986818823178,False
SMARCD1,predicted_magnitude,0.046743085597506825,False
ARID2,predicted_magnitude,0.050749331311727826,False
STAG2,predicted_magnitude,0.058070078286721824,False
CHD1,predicted_magnitude,0.059721955003303108,False
SLC2A1,predicted_magnitude,0.062809497706058037,False
TIAL1,predicted_magnitude,0.062884377815485948,False
SDHB,predicted_magnitude,0.067417997155617401,False
FOXK1,predicted_magnitude,0.069503773401553684,False
ETF1,predicted_magnitude,0.072713073840937725,False
ERCC2,predicted_magnitude,0.073453526663240148,False
IGF2BP1,predicted_magnitude,0.074971873522861207,False
SCO1,predicted_magnitude,0.075047887181656392,False
DIS3,predicted_magnitude,0.076641619672892666,False
SLC28A1,predicted_magnitude,0.079548772583371979,False
SCO2,predicted_magnitude,0.084021219743096898,False
NDUFS2,predicted_magnitude,0.086563594574246561,False
SLC29A1,predicted_magnitude,0.10353863150689094,False
CSTF3,predicted_magnitude,0.10653067527849845,False
PRPF38B,predicted_magnitude,0.11457820596725644,False
SMG5,predicted_magnitude,0.13689170904697306,False
MED21,predicted_magnitude,0.13710353919606647,False
UPF2,predicted_magnitude,0.15180651681272586,False
ATP6V1A,predicted_magnitude,0.15437517401623338,False
CPSF2,predicted_magnitude,0.16488545567585977,False
DHX15,predicted_magnitude,0.16630711148474206,False
EXOSC2,predicted_magnitude,0.20475731050794641,True
LSM6,predicted_magnitude,0.21508660981333566,False
LRPPRC,predicted_magnitude,0.250558440977662,False
PDHA1,magnitude_plus_pair_lower,0.044988986818823178,False
SMARCD1,magnitude_plus_pair_lower,0.046743085597506825,False
ARID2,magnitude_plus_pair_lower,0.050749331311727826,False
STAG2,magnitude_plus_pair_lower,0.058070078286721824,False
CHD1,magnitude_plus_pair_lower,0.059721955003303108,False
SLC2A1,magnitude_plus_pair_lower,0.062809497706058037,False
TIAL1,magnitude_plus_pair_lower,0.062884377815485948,False
SDHB,magnitude_plus_pair_lower,0.067417997155617401,False
FOXK1,magnitude_plus_pair_lower,0.069503773401553684,False
ETF1,magnitude_plus_pair_lower,0.072713073840937725,False
ERCC2,magnitude_plus_pair_lower,0.073453526663240148,False
IGF2BP1,magnitude_plus_pair_lower,0.074971873522861207,False
SCO1,magnitude_plus_pair_lower,0.075047887181656392,False
DIS3,magnitude_plus_pair_lower,0.076641619672892666,False
SLC28A1,magnitude_plus_pair_lower,0.079548772583371979,False
SCO2,magnitude_plus_pair_lower,0.084021219743096898,False
NDUFS2,magnitude_plus_pair_lower,0.086563594574246561,False
SLC29A1,magnitude_plus_pair_lower,0.10353863150689094,False
CSTF3,magnitude_plus_pair_lower,0.10653067527849845,False
PRPF38B,magnitude_plus_pair_lower,0.11457820596725644,False
SMG5,magnitude_plus_pair_lower,0.13689170904697306,False
MED21,magnitude_plus_pair_lower,0.13710353919606647,False
UPF2,magnitude_plus_pair_lower,0.15180651681272586,False
ATP6V1A,magnitude_plus_pair_lower,0.15437517401623338,False
CPSF2,magnitude_plus_pair_lower,0.16488545567585977,False
DHX15,magnitude_plus_pair_lower,0.16630711148474206,False
EXOSC2,magnitude_plus_pair_lower,0.20475731050794641,True
LSM6,magnitude_plus_pair_lower,0.21508660981333566,False
LRPPRC,magnitude_plus_pair_lower,0.250558440977662,False
PDHA1,extra_trees_vector,-0.035205360208555123,False
SMARCD1,extra_trees_vector,-0.030674441449197079,False
CHD1,extra_trees_vector,-0.028256032391958688,False
DIS3,extra_trees_vector,-0.024443834025738631,False
ETF1,extra_trees_vector,-0.024095906755006974,False
STAG2,extra_trees_vector,-0.021208770184049278,False
TIAL1,extra_trees_vector,-0.020298546170106957,False
ARID2,extra_trees_vector,-0.016480322887231377,False
SCO1,extra_trees_vector,-0.01484981920534871,False
SDHB,extra_trees_vector,-0.013447093262092397,False
ERCC2,extra_trees_vector,-0.012086748109197354,False
IGF2BP1,extra_trees_vector,-0.0064900839073542965,False
SLC2A1,extra_trees_vector,-0.0054138625462848561,False
FOXK1,extra_trees_vector,-0.0024203132306496178,False
SCO2,extra_trees_vector,0.0082689990033116001,False
SLC28A1,extra_trees_vector,0.011315474535374875,False
NDUFS2,extra_trees_vector,0.013606050372678063,False
CSTF3,extra_trees_vector,0.023840694930585951,False
SLC29A1,extra_trees_vector,0.024536022722655842,False
PRPF38B,extra_trees_vector,0.033614970160424931,False
SMG5,extra_trees_vector,0.034531583557775053,False
ATP6V1A,extra_trees_vector,0.062608982326866292,False
UPF2,extra_trees_vector,0.067324200808053167,False
CPSF2,extra_trees_vector,0.071597549853062672,False
MED21,extra_trees_vector,0.072398682810581372,False
DHX15,extra_trees_vector,0.082777767103586253,False
EXOSC2,extra_trees_vector,0.13568374053254861,True
LSM6,extra_trees_vector,0.14279376697523216,False
LRPPRC,extra_trees_vector,0.15783122902054841,False
