feature,importance
ensemble_max_abs,0.1361056448244089
disagreement_abs_p99,0.11447993394754713
gears_seed_spread,0.11201171858046825
ensemble_seed_spread,0.095860346532169377
ensemble_abs_p99,0.062121154027695732
disagreement_gene_std,0.054873949862206055
pair_lower_bound,0.054107070079133096
gears_magnitude,0.053314013215110305
ensemble_gene_std,0.047477559572474709
sign_agreement,0.045287617466801842
disagreement_mean_abs,0.035930190957928279
model_cosine,0.030659009955058679
scgpt_seed_spread,0.030342713042490425
predicted_magnitude,0.030175976281977317
ensemble_mean_abs,0.027064034277880365
disagreement_abs_p90,0.025799395083144775
scgpt_magnitude,0.023926695292588326
ensemble_abs_p90,0.020462977000916285
