seed,model,best_epoch,best_validation_mse,matched_pretrained_parameter_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,7,0.010665863131483396,129,,
3407,GEARS,6,0.01093377328167359,,1529,514
3408,scGPT,4,0.010751008133714398,129,,
3408,GEARS,6,0.010925941867753863,,1529,514
3409,scGPT,10,0.010663214760522047,129,,
3409,GEARS,6,0.011055378088106712,,1529,514
3410,scGPT,3,0.010782343878721198,129,,
3410,GEARS,5,0.010961947807421287,,1529,514
3411,scGPT,6,0.010678440642853579,129,,
3411,GEARS,5,0.011132560282324752,,1529,514
