perturbation,Cell_cycle_phase,n_cells
ACLY,G1,73
ACLY,G2M,279
ACLY,S,243
ACO2,G1,156
ACO2,G2M,543
ACO2,S,379
ARID2,G1,191
ARID2,G2M,643
ARID2,S,475
ATP11A,G1,152
ATP11A,G2M,594
ATP11A,S,421
ATP12A,G1,80
ATP12A,G2M,286
ATP12A,S,176
ATP6V1A,G1,19
ATP6V1A,G2M,97
ATP6V1A,S,73
BCS1L,G1,104
BCS1L,G2M,293
BCS1L,S,234
BRD7,G1,114
BRD7,G2M,395
BRD7,S,324
CASC3,G1,90
CASC3,G2M,337
CASC3,S,234
CCT3,G1,38
CCT3,G2M,108
CCT3,S,85
CCT4,G1,9
CCT4,G2M,35
CCT4,S,22
CHD1,G1,126
CHD1,G2M,559
CHD1,S,463
CMPK1,G1,98
CMPK1,G2M,395
CMPK1,S,255
CNOT3,G1,19
CNOT3,G2M,96
CNOT3,S,71
COX6B1,G1,126
COX6B1,G2M,405
COX6B1,S,304
CPSF2,G1,34
CPSF2,G2M,120
CPSF2,S,88
CREBBP,G1,118
CREBBP,G2M,511
CREBBP,S,372
CS,G1,95
CS,G2M,418
CS,S,325
CSTF3,G1,63
CSTF3,G2M,295
CSTF3,S,178
CYC1,G1,68
CYC1,G2M,218
CYC1,S,192
DDX19B,G1,110
DDX19B,G2M,444
DDX19B,S,362
DDX39B,G1,46
DDX39B,G2M,178
DDX39B,S,143
DDX56,G1,16
DDX56,G2M,59
DDX56,S,46
DHX15,G1,53
DHX15,G2M,189
DHX15,S,134
DHX29,G1,20
DHX29,G2M,72
DHX29,S,44
DICER1,G1,54
DICER1,G2M,175
DICER1,S,146
DIS3,G1,102
DIS3,G2M,270
DIS3,S,209
DLAT,G1,175
DLAT,G2M,632
DLAT,S,449
DLD,G1,50
DLD,G2M,254
DLD,S,181
DLST,G1,84
DLST,G2M,352
DLST,S,262
DNMT3A,G1,106
DNMT3A,G2M,417
DNMT3A,S,303
DROSHA,G1,74
DROSHA,G2M,286
DROSHA,S,214
EEF1D,G1,84
EEF1D,G2M,339
EEF1D,S,226
EEF1G,G1,56
EEF1G,G2M,234
EEF1G,S,163
ENO2,G1,110
ENO2,G2M,459
ENO2,S,299
ERCC2,G1,74
ERCC2,G2M,225
ERCC2,S,167
ERCC3,G1,53
ERCC3,G2M,188
ERCC3,S,122
ETF1,G1,41
ETF1,G2M,186
ETF1,S,143
EXOSC2,G1,38
EXOSC2,G2M,121
EXOSC2,S,92
EXOSC5,G1,30
EXOSC5,G2M,71
EXOSC5,S,64
EXOSC6,G1,55
EXOSC6,G2M,171
EXOSC6,S,126
FH,G1,75
FH,G2M,280
FH,S,210
FOS,G1,134
FOS,G2M,467
FOS,S,352
FOXK1,G1,131
FOXK1,G2M,474
FOXK1,S,373
GAPDH,G1,42
GAPDH,G2M,109
GAPDH,S,98
GTF2A1,G1,55
GTF2A1,G2M,215
GTF2A1,S,164
GTF2A2,G1,68
GTF2A2,G2M,210
GTF2A2,S,172
GTF2H3,G1,63
GTF2H3,G2M,185
GTF2H3,S,144
HDAC1,G1,118
HDAC1,G2M,421
HDAC1,S,298
HDAC2,G1,98
HDAC2,G2M,443
HDAC2,S,337
IDH3A,G1,96
IDH3A,G2M,274
IDH3A,S,213
IGF2BP1,G1,62
IGF2BP1,G2M,325
IGF2BP1,S,208
IGF2BP2,G1,63
IGF2BP2,G2M,269
IGF2BP2,S,172
INO80,G1,84
INO80,G2M,294
INO80,S,209
JUN,G1,43
JUN,G2M,126
JUN,S,103
KDM1A,G1,102
KDM1A,G2M,350
KDM1A,S,259
KDM4A,G1,142
KDM4A,G2M,536
KDM4A,S,452
KMT2A,G1,120
KMT2A,G2M,566
KMT2A,S,361
LDB1,G1,156
LDB1,G2M,582
LDB1,S,411
LDHA,G1,197
LDHA,G2M,753
