source_row_index,task_id,perturbation,guide_id,target_split,logical_x_row_read_count
9,E182::TARDBP::TARDBP_1,TARDBP,TARDBP_1,conformal_calibration,1
27,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
30,E182::SF3B1::SF3B1_2,SF3B1,SF3B1_2,conformal_calibration,1
49,E182::QKI::QKI_2,QKI,QKI_2,conformal_calibration,1
80,E182::PABPC4::PABPC4_2,PABPC4,PABPC4_2,conformal_calibration,1
95,E182::ZC3H10::ZC3H10_1,ZC3H10,ZC3H10_1,conformal_calibration,1
140,E182::UPF1::UPF1_1,UPF1,UPF1_1,conformal_calibration,1
157,E182::HNRNPK::HNRNPK_2,HNRNPK,HNRNPK_2,conformal_calibration,1
166,E182::TARDBP::TARDBP_2,TARDBP,TARDBP_2,conformal_calibration,1
190,E182::PABPC4::PABPC4_1,PABPC4,PABPC4_1,conformal_calibration,1
209,E182::TARDBP::TARDBP_2,TARDBP,TARDBP_2,conformal_calibration,1
231,E182::RBM15::RBM15_2,RBM15,RBM15_2,conformal_calibration,1
341,E182::SF3B1::SF3B1_1,SF3B1,SF3B1_1,conformal_calibration,1
389,E182::SF3B1::SF3B1_1,SF3B1,SF3B1_1,conformal_calibration,1
446,E182::QKI::QKI_2,QKI,QKI_2,conformal_calibration,1
451,E182::PABPC3::PABPC3_2,PABPC3,PABPC3_2,conformal_calibration,1
464,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
513,E182::PABPC3::PABPC3_2,PABPC3,PABPC3_2,conformal_calibration,1
519,E182::CSTF2T::CSTF2T_1,CSTF2T,CSTF2T_1,conformal_calibration,1
533,E182::RBM15::RBM15_2,RBM15,RBM15_2,conformal_calibration,1
541,E182::RBFOX2::RBFOX2_1,RBFOX2,RBFOX2_1,conformal_calibration,1
544,E182::FASTKD2::FASTKD2_1,FASTKD2,FASTKD2_1,conformal_calibration,1
550,E182::ZRANB2::ZRANB2_1,ZRANB2,ZRANB2_1,conformal_calibration,1
575,E182::LIN28B::LIN28B_1,LIN28B,LIN28B_1,conformal_calibration,1
590,E182::ZRANB2::ZRANB2_1,ZRANB2,ZRANB2_1,conformal_calibration,1
602,E182::SND1::SND1_1,SND1,SND1_1,conformal_calibration,1
608,E182::HNRNPK::HNRNPK_2,HNRNPK,HNRNPK_2,conformal_calibration,1
635,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
656,E182::QKI::QKI_2,QKI,QKI_2,conformal_calibration,1
666,E182::UPF1::UPF1_1,UPF1,UPF1_1,conformal_calibration,1
706,E182::GPKOW::GPKOW_2,GPKOW,GPKOW_2,conformal_calibration,1
713,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
727,E182::PABPC3::PABPC3_2,PABPC3,PABPC3_2,conformal_calibration,1
777,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
786,E182::FAM120A::FAM120A_1,FAM120A,FAM120A_1,conformal_calibration,1
793,E182::RBM15::RBM15_2,RBM15,RBM15_2,conformal_calibration,1
833,E182::TIA1::TIA1_2,TIA1,TIA1_2,conformal_calibration,1
836,E182::ZRANB2::ZRANB2_1,ZRANB2,ZRANB2_1,conformal_calibration,1
856,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
860,E182::TARDBP::TARDBP_2,TARDBP,TARDBP_2,conformal_calibration,1
871,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
952,E182::GPKOW::GPKOW_1,GPKOW,GPKOW_1,conformal_calibration,1
975,E182::TARDBP::TARDBP_2,TARDBP,TARDBP_2,conformal_calibration,1
1001,E182::CSTF2T::CSTF2T_1,CSTF2T,CSTF2T_1,conformal_calibration,1
1029,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
1066,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
1084,E182::GPKOW::GPKOW_1,GPKOW,GPKOW_1,conformal_calibration,1
1085,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
1100,E182::RBM15::RBM15_2,RBM15,RBM15_2,conformal_calibration,1
1103,E182::RBFOX2::RBFOX2_2,RBFOX2,RBFOX2_2,conformal_calibration,1
1108,E182::PABPC3::PABPC3_2,PABPC3,PABPC3_2,conformal_calibration,1
1153,E182::CSTF2T::CSTF2T_2,CSTF2T,CSTF2T_2,conformal_calibration,1
1155,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
1189,E182::ZC3H10::ZC3H10_1,ZC3H10,ZC3H10_1,conformal_calibration,1
1191,E182::RBM15::RBM15_2,RBM15,RBM15_2,conformal_calibration,1
1245,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
1247,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
1252,E182::TARDBP::TARDBP_2,TARDBP,TARDBP_2,conformal_calibration,1
1264,E182::KHDRBS2::KHDRBS2_2,KHDRBS2,KHDRBS2_2,conformal_calibration,1
1280,E182::KHDRBS2::KHDRBS2_2,KHDRBS2,KHDRBS2_2,conformal_calibration,1
1292,E182::SND1::SND1_2,SND1,SND1_2,conformal_calibration,1
1339,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
1361,E182::ZRANB2::ZRANB2_2,ZRANB2,ZRANB2_2,conformal_calibration,1
1368,E182::RBFOX2::RBFOX2_1,RBFOX2,RBFOX2_1,conformal_calibration,1
1387,E182::QKI::QKI_2,QKI,QKI_2,conformal_calibration,1
1404,E182::UPF1::UPF1_1,UPF1,UPF1_1,conformal_calibration,1
1414,E182::QKI::QKI_2,QKI,QKI_2,conformal_calibration,1
1417,E182::UPF1::UPF1_1,UPF1,UPF1_1,conformal_calibration,1
1426,E182::PABPC4::PABPC4_2,PABPC4,PABPC4_2,conformal_calibration,1
1436,E182::RBM15::RBM15_2,RBM15,RBM15_2,conformal_calibration,1
1460,E182::HNRNPK::HNRNPK_1,HNRNPK,HNRNPK_1,conformal_calibration,1
1461,E182::PABPC4::PABPC4_2,PABPC4,PABPC4_2,conformal_calibration,1
1471,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
1498,E182::RBM15::RBM15_2,RBM15,RBM15_2,conformal_calibration,1
1503,E182::FAM120A::FAM120A_1,FAM120A,FAM120A_1,conformal_calibration,1
1529,E182::ZC3H10::ZC3H10_2,ZC3H10,ZC3H10_2,conformal_calibration,1
1536,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
1555,E182::GPKOW::GPKOW_1,GPKOW,GPKOW_1,conformal_calibration,1
1581,E182::PABPC3::PABPC3_2,PABPC3,PABPC3_2,conformal_calibration,1
1588,E182::FASTKD2::FASTKD2_1,FASTKD2,FASTKD2_1,conformal_calibration,1
1609,E182::UPF1::UPF1_1,UPF1,UPF1_1,conformal_calibration,1
1612,E182::FAM120A::FAM120A_2,FAM120A,FAM120A_2,conformal_calibration,1
1619,E182::TIA1::TIA1_1,TIA1,TIA1_1,conformal_calibration,1
1622,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
1635,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
1670,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
1702,E182::QKI::QKI_1,QKI,QKI_1,conformal_calibration,1
1715,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
1726,E182::GPKOW::GPKOW_1,GPKOW,GPKOW_1,conformal_calibration,1
1737,E182::FAM120A::FAM120A_1,FAM120A,FAM120A_1,conformal_calibration,1
1750,E182::UPF1::UPF1_1,UPF1,UPF1_1,conformal_calibration,1
1760,E182::KHDRBS2::KHDRBS2_2,KHDRBS2,KHDRBS2_2,conformal_calibration,1
1768,E182::CSTF2T::CSTF2T_2,CSTF2T,CSTF2T_2,conformal_calibration,1
1771,E182::TARDBP::TARDBP_2,TARDBP,TARDBP_2,conformal_calibration,1
1773,E182::PABPC4::PABPC4_2,PABPC4,PABPC4_2,conformal_calibration,1
1778,E182::GPKOW::GPKOW_1,GPKOW,GPKOW_1,conformal_calibration,1
1814,E182::RBFOX2::RBFOX2_1,RBFOX2,RBFOX2_1,conformal_calibration,1
1815,E182::TIA1::TIA1_2,TIA1,TIA1_2,conformal_calibration,1
1831,E182::GPKOW::GPKOW_1,GPKOW,GPKOW_1,conformal_calibration,1
1837,E182::FASTKD2::FASTKD2_2,FASTKD2,FASTKD2_2,conformal_calibration,1
1881,E182::FASTKD2::FASTKD2_2,FASTKD2,FASTKD2_2,conformal_calibration,1
1889,E182::QKI::QKI_2,QKI,QKI_2,conformal_calibration,1
1938,E182::UPF1::UPF1_1,UPF1,UPF1_1,conformal_calibration,1
1956,E182::RBFOX2::RBFOX2_2,RBFOX2,RBFOX2_2,conformal_calibration,1
1966,E182::FASTKD2::FASTKD2_2,FASTKD2,FASTKD2_2,conformal_calibration,1
1984,E182::GPKOW::GPKOW_2,GPKOW,GPKOW_2,conformal_calibration,1
2036,E182::RBM15::RBM15_2,RBM15,RBM15_2,conformal_calibration,1
2057,E182::RBM15::RBM15_1,RBM15,RBM15_1,conformal_calibration,1
2064,E182::TARDBP::TARDBP_1,TARDBP,TARDBP_1,conformal_calibration,1
2066,E182::FASTKD2::FASTKD2_2,FASTKD2,FASTKD2_2,conformal_calibration,1
2077,E182::KHDRBS2::KHDRBS2_2,KHDRBS2,KHDRBS2_2,conformal_calibration,1
2154,E182::PABPC4::PABPC4_2,PABPC4,PABPC4_2,conformal_calibration,1
2156,E182::HNRNPK::HNRNPK_1,HNRNPK,HNRNPK_1,conformal_calibration,1
2165,E182::FAM120A::FAM120A_1,FAM120A,FAM120A_1,conformal_calibration,1
2177,E182::PABPC3::PABPC3_2,PABPC3,PABPC3_2,conformal_calibration,1
2189,E182::CSTF2T::CSTF2T_2,CSTF2T,CSTF2T_2,conformal_calibration,1
2215,E182::TARDBP::TARDBP_1,TARDBP,TARDBP_1,conformal_calibration,1
